,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),label
302,1.55965331868e+18,2.706072693,1.182540894,10.09964767,train
303,1.55965331918e+18,2.187550964,1.109941864,9.213041382,train
304,1.55965331948e+18,2.675835571,1.017733612,10.00743942,train
305,1.55965331998e+18,2.152523804,0.9753717041,9.164392548,train
306,1.55965332028e+18,2.500250702,0.9238787842,9.865235138,train
307,1.55965332058e+18,2.327509918,1.012045441,9.311237183,train
308,1.55965332088e+18,2.484234009,0.8738827515,9.883646851,train
309,1.55965332118e+18,2.348466339,1.059496765,9.688452759,train
310,1.55965332168e+18,2.328707428,1.045426025,9.603429565,train
311,1.55965332198e+18,2.360291748,1.087787933,10.02091141,train
312,1.55965332228e+18,2.451152802,1.071172485,9.400152283,train
313,1.55965332258e+18,2.404749298,1.020727386,9.325457611,train
314,1.55965332288e+18,2.461930389,0.8952882385,9.664502563,train
315,1.55965332318e+18,2.425256653,0.8309220886,9.652826843,train
316,1.55965332348e+18,2.289488983,0.8994795227,9.628577271,train
317,1.55965332378e+18,2.388433228,1.017883301,9.535470886,train
318,1.55965332408e+18,2.532733154,1.091530151,9.476194153,train
319,1.55965332438e+18,2.569706268,1.151705017,9.447902985,train
320,1.55965332468e+18,2.373763733,1.006357269,9.518406372,train
321,1.55965332498e+18,2.510130157,1.023421783,9.565857697,train
322,1.55965332528e+18,2.406545563,0.8821156311,9.255852356,train
323,1.55965332558e+18,2.658621368,1.203347626,9.564211121,train
324,1.55965332588e+18,2.819087677,0.982407074,9.883197784,train
325,1.55965332618e+18,2.548899536,0.9485774231,9.635762329,train
326,1.55965332648e+18,2.292033691,0.9602531433,9.571695557,train
327,1.55965332698e+18,2.547851715,0.9916877747,9.513766022,train
328,1.55965332748e+18,2.538121948,1.0086026,9.724228363,train
329,1.55965332788e+18,2.455942841,0.9253756714,9.470206604,train
330,1.55965332828e+18,2.324366455,1.190624084,9.617500305,train
331,1.55965332868e+18,2.583777008,0.6945556641,9.62513443,train
332,1.55965332898e+18,2.389780426,0.8111631775,9.335486755,train
333,1.55965332928e+18,2.597398682,0.9563612366,10.01058289,train
334,1.55965332978e+18,2.557731171,1.100212097,9.260642395,train
335,1.55965333008e+18,2.65607666,0.9954299927,9.948013,train
336,1.55965333038e+18,2.672243042,0.9416917419,9.702074432,train
337,1.55965333068e+18,2.211950226,0.9388476562,9.529034271,train
338,1.55965333098e+18,2.402054901,1.017134857,9.745334473,train
339,1.55965333128e+18,2.395618286,1.015787659,9.578132172,train
340,1.55965333168e+18,2.307301941,0.9976753235,9.324260101,train
341,1.55965333198e+18,2.368075562,1.069376221,9.675579529,train
342,1.55965333228e+18,2.601739655,0.928818512,9.641749878,train
343,1.55965333258e+18,2.404150543,0.8469387817,9.502689056,train
344,1.55965333298e+18,2.534529419,0.9219328308,9.974358215,train
345,1.55965333338e+18,2.190993805,1.1174263,9.156159668,train
346,1.55965333378e+18,2.403851166,1.151705017,9.710906067,train
347,1.55965333418e+18,2.291135559,1.07057373,9.356892242,train
348,1.55965333458e+18,2.35190918,0.8810678101,9.501940613,train
349,1.55965333508e+18,2.482288055,0.9895921326,9.700577545,train
350,1.55965333548e+18,2.306703186,1.164727936,9.656569061,train
351,1.55965333588e+18,2.326761475,0.8746311951,9.623188477,train
352,1.55965333628e+18,2.363285522,0.619561615,9.032516785,train
353,1.55965333668e+18,2.492017822,0.7117698669,9.858948212,train
354,1.55965333718e+18,2.171534271,1.044677582,9.245374146,train
355,1.55965333758e+18,2.733615417,1.371148682,9.873917084,train
356,1.55965333798e+18,2.295326843,0.9764195251,9.534572754,train
357,1.55965333838e+18,2.658321991,0.9684860229,9.69069809,train
358,1.55965333878e+18,2.450554047,0.6815327454,9.704469452,train
359,1.55965333908e+18,2.600093079,0.9086105347,9.782756653,train
360,1.55965333938e+18,2.392325134,1.160536652,9.760153656,train
361,1.55965333978e+18,2.492017822,0.953966217,9.56660614,train
362,1.55965334018e+18,2.266736298,1.040785675,9.42859314,train
363,1.55965334058e+18,2.536026306,0.9626481628,9.796378326,train
364,1.55965334088e+18,2.577190704,0.928818512,9.470206604,train
365,1.55965334118e+18,2.533930664,0.8945397949,9.715995483,train
366,1.55965334148e+18,2.435136108,0.9404942322,9.506281586,train
367,1.55965334178e+18,2.541265411,0.8183482361,9.671388245,train
368,1.55965334208e+18,2.619702301,0.9196875,9.84038681,train
369,1.55965334238e+18,2.336042175,1.112636261,9.479187927,train
370,1.55965334288e+18,2.305805054,1.095422058,9.060658264,train
371,1.55965334318e+18,2.628234558,0.9243278503,9.95744339,train
372,1.55965334368e+18,2.287243652,0.9720785522,9.478289795,train
373,1.55965334398e+18,2.637664948,0.9012757874,9.996362457,train
374,1.55965334428e+18,2.471809845,1.00396225,9.418414307,train
375,1.55965334468e+18,2.739453278,1.182391205,9.75386673,train
376,1.55965334498e+18,2.388882294,1.185834045,9.44850174,train
377,1.55965334538e+18,2.628833313,1.090931396,9.711355133,train
378,1.55965334578e+18,2.44546463,0.8749305725,9.377249908,train
379,1.55965334618e+18,2.49695755,0.8231382751,9.861941986,train
380,1.55965334658e+18,2.571352844,1.025517426,9.96088623,train
381,1.55965334698e+18,2.344424744,1.056053925,9.722731476,train
382,1.55965334738e+18,2.757266235,1.002315674,9.920470276,train
383,1.55965334778e+18,2.445913696,1.023421783,9.725575562,train
384,1.55965334818e+18,2.591411133,0.5783972168,9.741143188,train
385,1.55965334858e+18,2.529589691,0.9680369568,10.02914429,train
386,1.55965334898e+18,2.311642914,0.9880952454,9.331744537,train
387,1.55965334938e+18,2.698139191,0.8198451233,9.490414581,train
388,1.55965334978e+18,2.456242218,0.9942324829,9.862391052,train
389,1.55965335018e+18,2.53557724,0.8605604553,9.627529449,train
390,1.55965335058e+18,2.343975677,0.7923023987,9.734407196,train
391,1.55965335098e+18,2.470911713,0.9568103027,9.466614075,train
392,1.55965335138e+18,2.488874359,0.9446855164,9.577832794,train
393,1.55965335178e+18,2.40684494,1.128802643,9.788145447,train
