,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),label
38,1.55965321043e+18,2.989283752,-4.91323288,9.003926239,biking
39,1.55965321068e+18,3.795207825,-4.770280151,8.7522995,biking
40,1.55965321093e+18,9.170230408,-4.140090637,5.453160095,biking
41,1.55965321118e+18,3.051703949,-4.106260986,6.899302826,biking
42,1.55965321143e+18,5.121749268,-4.791086884,10.24873764,biking
43,1.55965321168e+18,3.567980347,-2.711760864,5.418731689,biking
44,1.55965321193e+18,2.722089386,-2.308200073,9.195976868,biking
45,1.55965321218e+18,10.23481659,-3.486998749,0.287252655,biking
46,1.55965321244e+18,2.757415924,-5.826184387,10.40097107,biking
47,1.55965321269e+18,7.57634491,-5.140610046,6.456224213,biking
48,1.55965321294e+18,7.973618774,-3.930975494,4.824018402,biking
49,1.55965321319e+18,3.110531616,-3.575464783,8.599317627,biking
50,1.55965321344e+18,5.422623596,-4.678970032,8.338410187,biking
51,1.55965321369e+18,7.680378571,-4.863685913,6.286327515,biking
52,1.55965321394e+18,6.353687439,-5.865702209,10.52700897,biking
53,1.55965321419e+18,7.519313507,-4.873116302,6.493646393,biking
54,1.55965321444e+18,5.099445648,-5.684578857,7.416327667,biking
55,1.55965321469e+18,2.974913635,-6.5758255,10.87383774,biking
56,1.55965321494e+18,8.460256805,-5.868995361,8.395740967,biking
57,1.55965321519e+18,3.799848175,-1.89431076,3.646267548,biking
58,1.55965321544e+18,7.876919861,-4.338428192,7.311545563,biking
59,1.55965321569e+18,8.32284256,-6.531817017,2.194286957,biking
60,1.55965321595e+18,7.209757233,-5.815257111,9.857601013,biking
61,1.5596532162e+18,3.960314484,-5.835315399,12.24229202,biking
62,1.55965321645e+18,-0.3580554199,-4.399201813,8.706794128,biking
63,1.5596532167e+18,4.214036865,-6.382427673,11.45897095,biking
64,1.55965321695e+18,3.832929382,-4.394411774,5.369783478,biking
65,1.5596532172e+18,9.259594574,-5.111271057,3.741319885,biking
66,1.55965321745e+18,1.667083282,-6.2997995,9.408834229,biking
67,1.5596532177e+18,7.204518127,-7.122638397,9.662107544,biking
68,1.55965321795e+18,7.330855408,-4.550836487,2.404000854,biking
69,1.5596532182e+18,2.86668869,-7.363936615,12.44242584,biking
70,1.55965321845e+18,3.470682678,-1.978136444,3.59687027,biking
71,1.5596532187e+18,1.12206665,-5.944438477,12.48463806,biking
72,1.55965321895e+18,6.263574829,-7.240293732,10.16670822,biking
73,1.5596532192e+18,6.049969025,-6.308331757,8.198900299,biking
74,1.55965321946e+18,6.276448059,-4.609215088,9.639354858,biking
75,1.55965321971e+18,4.328698425,-7.042255554,9.554780731,biking
76,1.55965321996e+18,2.125430145,-4.06958725,7.868387604,biking
77,1.55965322021e+18,2.127675476,-5.920188904,10.3966301,biking
78,1.55965322046e+18,4.752018127,-6.164331207,7.511829071,biking
79,1.55965322071e+18,3.1943573,-9.120234375,15.59187653,biking
80,1.55965322096e+18,3.754043427,-5.066813507,11.05391327,biking
81,1.55965322121e+18,9.245074768,-6.428382111,5.381010132,biking
82,1.55965322146e+18,9.370513916,-2.405797119,0.4210743713,biking
83,1.55965322171e+18,9.649982758,-4.66280365,1.946103058,biking
84,1.55965322196e+18,3.131488037,-7.256011047,8.537346497,biking
85,1.55965322221e+18,3.103346558,-6.590345306,12.60663437,biking
86,1.55965322246e+18,0.5462141418,-4.665048981,8.646170197,biking
87,1.55965322271e+18,5.452411652,-5.537883911,4.555027771,biking
88,1.55965322297e+18,6.255341949,-6.473588104,6.892866211,biking
89,1.55965322322e+18,2.568808136,-6.026767273,7.808362427,biking
90,1.55965322347e+18,4.883145447,-3.222498779,2.999911652,biking
91,1.55965322372e+18,4.993765411,-7.847431183,8.737929382,biking
92,1.55965322397e+18,3.39673645,-4.659510498,7.77872406,biking
