"Time (s)","Pressure (hPa)"
7.689165386E1,1.021854980E3
7.699164210E1,1.021861572E3
7.709163030E1,1.021862305E3
7.719161850E1,1.021868652E3
7.729160670E1,1.021866699E3
7.739159480E1,1.021857666E3
7.749158290E1,1.021858887E3
7.759157113E1,1.021859375E3
7.769155936E1,1.021868896E3
7.779154756E1,1.021872314E3
7.789153576E1,1.021876709E3
7.799152406E1,1.021880127E3
7.809151230E1,1.021883789E3
7.819150050E1,1.021880615E3
7.829148870E1,1.021953125E3
7.839147670E1,1.022013428E3
7.849146460E1,1.021998291E3
7.859145260E1,1.021945068E3
7.869144080E1,1.021907715E3
7.879142896E1,1.021888672E3
7.889141713E1,1.021883789E3
7.899140529E1,1.021882324E3
7.909139349E1,1.021880615E3
7.919138166E1,1.021875488E3
7.929136982E1,1.021870117E3
7.939135799E1,1.021866211E3
7.949134596E1,1.021865479E3
7.959133382E1,1.021854980E3
7.969132176E1,1.021834961E3
7.979130976E1,1.021833496E3
7.989129776E1,1.021837646E3
7.999128572E1,1.021839844E3
8.009127372E1,1.021832031E3
8.019126172E1,1.021830322E3
8.029124969E1,1.021828613E3
8.039123782E1,1.021826904E3
8.049122579E1,1.021830322E3
8.059121365E1,1.021826416E3
8.069120152E1,1.021827148E3
8.079118968E1,1.021831055E3
8.089117792E1,1.021838623E3
8.099116605E1,1.021828369E3
8.109115425E1,1.021833740E3
8.119114248E1,1.021835205E3
8.129113072E1,1.021832764E3
8.139111892E1,1.021828613E3
8.149110712E1,1.021826172E3
8.159109522E1,1.021832275E3
8.169108312E1,1.021829834E3
8.179107102E1,1.021808350E3
8.189105928E1,1.021788330E3
8.199104752E1,1.021812500E3
8.209103572E1,1.021860352E3
8.219102392E1,1.021845947E3
8.229101215E1,1.021834961E3
8.239100038E1,1.021802490E3
8.249098868E1,1.021765381E3
8.259097688E1,1.021778076E3
8.269096505E1,1.021776123E3
8.279095315E1,1.021775879E3
8.289094128E1,1.021792236E3
8.299092951E1,1.021812988E3
8.309091771E1,1.021839355E3
8.319090591E1,1.021842773E3
8.329089411E1,1.021850342E3
8.339088218E1,1.021881104E3
8.349087041E1,1.021902832E3
8.359087551E1,1.021908447E3
8.369086371E1,1.021895996E3
8.379085164E1,1.021888184E3
8.389083951E1,1.021882812E3
8.399082761E1,1.021864746E3
8.409081581E1,1.021858643E3
8.419080397E1,1.021858887E3
8.429079217E1,1.021844238E3
8.439078034E1,1.021831299E3
8.449076854E1,1.021869385E3
8.459075670E1,1.021898193E3
8.469074487E1,1.021862305E3
8.479073310E1,1.021891602E3
8.489072094E1,1.021902588E3
8.499070880E1,1.021840332E3
8.509069680E1,1.021837891E3
8.519068480E1,1.021858398E3
8.529067284E1,1.021871582E3
8.539066080E1,1.021896973E3
8.549064870E1,1.022069092E3
8.559063670E1,1.022105713E3
8.569062467E1,1.021889160E3
8.579061270E1,1.021822021E3
8.589060067E1,1.021786377E3
8.599058853E1,1.021750244E3
8.609057643E1,1.021705322E3
8.619056467E1,1.021677246E3
8.629055296E1,1.021658936E3
8.639054116E1,1.021661621E3
8.649052936E1,1.021672852E3
8.659051760E1,1.021690186E3
8.669050583E1,1.021710449E3
8.679049410E1,1.021726074E3
8.689048230E1,1.021727295E3
8.699047030E1,1.021735352E3
8.709045820E1,1.021796875E3
8.719044613E1,1.021876953E3
8.729043440E1,1.021941895E3
8.739042263E1,1.021931152E3
8.749041083E1,1.021922119E3
8.759039903E1,1.021897461E3
8.769038726E1,1.021884033E3
8.779037550E1,1.021867432E3
8.789036376E1,1.021880859E3
8.799035196E1,1.021879639E3
8.809034006E1,1.021875000E3
8.819032816E1,1.021872559E3
8.829031629E1,1.021878418E3
8.839030453E1,1.021877686E3
