"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.053346280E2,5.233780816E1,4.867143034E0,-1.737586498E0,-1.000000000E0,-1.000000000E0,1.002533353E2,1.002533353E2
2.070020001E2,5.233387539E1,4.867313169E0,4.814720154E-1,-1.000000000E0,-1.000000000E0,1.000000000E2,1.000000000E2
2.080019912E2,5.233388163E1,4.867319120E0,5.162010193E-1,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.090019816E2,5.233388498E1,4.867320880E0,5.397605896E-1,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.100019723E2,5.233389039E1,4.867361281E0,5.762596130E-1,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.110019633E2,5.233388616E1,4.867373183E0,5.667381287E-1,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.120019540E2,5.233389919E1,4.867396234E0,5.898704529E-1,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.130019449E2,5.233411259E1,4.867415344E0,6.259422302E-1,6.000000238E-1,2.148046875E2,5.000000000E1,5.000000000E1
2.140019348E2,5.233408858E1,4.867428085E0,6.458396912E-1,1.320000052E0,1.923046875E2,5.000000000E1,5.000000000E1
2.150019252E2,5.233428518E1,4.867417188E0,7.709617615E-1,6.800000072E-1,1.873828125E2,3.000000000E1,3.000000000E1
2.160019168E2,5.233429255E1,4.867405454E0,9.012718201E-1,8.000000119E-1,1.838671875E2,1.000000000E1,1.000000000E1
2.170019071E2,5.233427730E1,4.867403861E0,1.211269379E0,-1.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
2.180018971E2,5.233425722E1,4.867399335E0,1.507900238E0,-1.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
2.190018877E2,5.233424381E1,4.867401179E0,1.653896332E0,1.080000043E0,1.719140625E2,1.000000000E1,1.000000000E1
2.200018791E2,5.233423258E1,4.867399251E0,1.917934418E0,1.080000043E0,1.705078125E2,1.000000000E1,1.000000000E1
2.210018692E2,5.233422345E1,4.867394976E0,2.102565765E0,1.000000000E0,1.733203125E2,1.000000000E1,1.000000000E1
2.220018594E2,5.233421385E1,4.867379470E0,2.088283539E0,1.000000000E0,2.017968750E2,1.000000000E1,1.000000000E1
2.230018508E2,5.233421230E1,4.867366394E0,2.025600433E0,8.500000238E-1,2.351953125E2,1.000000000E1,1.000000000E1
2.240018417E2,5.233421837E1,4.867344601E0,2.126369476E0,8.500000238E-1,2.728125000E2,1.000000000E1,1.000000000E1
2.250018318E2,5.233422089E1,4.867319288E0,2.146022797E0,8.799999952E-1,2.921484375E2,1.000000000E1,1.000000000E1
2.260018222E2,5.233422445E1,4.867287101E0,2.157070160E0,8.799999952E-1,2.865234375E2,1.000000000E1,1.000000000E1
2.270018129E2,5.233422663E1,4.867257010E0,2.190639496E0,1.110000014E0,2.812500000E2,1.000000000E1,1.000000000E1
