"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.594020467E1,-2.550775146E1,1.227091217E1,1.597106934E1
3.618977767E1,-1.501377869E1,2.559947968E1,1.334368896E1
3.643938275E1,-2.118923950E1,1.919881439E1,1.179498291E1
3.668895575E1,-2.281950378E1,2.296926117E1,2.163757324E0
3.693855875E1,-2.445098877E1,2.116519928E1,-1.514648438E0
3.718813175E1,-3.511585999E1,5.681068420E0,6.594116211E0
3.743773687E1,-3.626899719E1,8.102302551E0,5.622009277E0
3.768730988E1,-3.013342285E1,2.182358551E1,-5.836547852E0
3.793688288E1,-1.832522583E1,2.871030426E1,-1.553314209E1
3.818648588E1,-2.368452454E1,2.574221039E1,-2.176245117E1
3.843605163E1,-3.827072144E1,1.465714264E1,-8.062622070E0
3.868565463E1,-3.435758972E1,2.173685455E1,-5.793395996E0
3.893522762E1,-1.953601074E1,3.686740875E1,-1.137292480E1
3.918483063E1,-9.050155640E0,4.260019684E1,-7.387268066E0
3.943440454E1,-1.552534485E1,3.558634186E1,-8.928894043E0
3.968397754E1,-3.622811890E1,1.280364227E1,-3.067871094E0
3.993358054E1,-2.049223328E1,2.965282440E1,-1.171063232E1
4.018315354E1,4.645004272E0,3.435300446E1,-9.944458008E0
4.043275250E1,-6.141510010E-1,3.489006805E1,-1.526184082E1
4.068232550E1,-2.768228149E1,2.420789337E1,-1.181585693E1
4.093192850E1,-2.897009277E1,2.210753632E1,-1.296429443E1
4.118150150E1,4.095458984E-2,3.422875214E1,-1.605792236E1
4.143108267E1,6.194046021E0,3.279921722E1,-1.871258545E1
4.168068667E1,-2.696554565E1,2.671100616E1,-1.586389160E1
4.193025867E1,-3.264187622E1,1.871816254E1,-1.215075684E1
4.217986267E1,-1.183839417E1,3.055002594E1,-2.280706787E1
4.242943025E1,-1.447174072E0,3.047475433E1,-2.559082031E1
4.267903425E1,-2.784159851E1,2.524033356E1,-1.618005371E1
4.292860725E1,-3.800126648E1,1.474704742E1,-1.138079834E1
4.317817925E1,-1.901747131E1,2.971955109E1,-2.373004150E1
4.342776454E1,5.660858154E0,3.433475494E1,-2.480450439E1
4.367733654E1,-5.034057617E0,2.988172150E1,-3.417730713E1
4.392694054E1,-3.733883667E1,4.742301941E0,-1.354132080E1
4.417651254E1,-3.450585938E1,2.340675354E0,-1.073468018E1
4.442612050E1,-2.770339966E1,1.871776581E1,-8.216247559E0
4.467569250E1,-1.829409790E1,2.494193268E1,-1.813311768E1
4.492526550E1,-2.699432373E-1,3.033156586E1,-1.726287842E1
4.517486850E1,-5.481369019E0,2.519744110E1,-2.262139893E1
4.542443417E1,-2.603060913E1,2.452317047E1,-2.266662598E0
4.567403717E1,-3.103746033E1,1.939473724E1,4.274169922E0
4.592361017E1,-1.822396851E1,3.188173676E1,4.699523926E0
4.617321317E1,-4.442489624E0,3.778533173E1,6.693847656E0
4.642278550E1,-3.701934814E0,3.701248932E1,1.051629639E1
4.667235850E1,-2.013006592E1,3.687894440E1,9.854675293E0
4.692196150E1,-3.330534363E1,2.270146942E1,1.968066406E1
4.717153450E1,-2.269953918E1,3.487831879E1,1.761743164E1
4.742114750E1,-1.593116760E1,3.912975311E1,1.460675049E1
4.767072050E1,-1.473371887E1,3.774958038E1,1.888677979E1
4.792029350E1,-2.881605530E1,1.990413666E1,1.887402344E1
4.816989650E1,-1.835783386E1,3.486746979E1,1.230352783E1
4.841948213E1,4.246841431E0,4.582733917E1,1.620819092E1
4.866908513E1,-1.453323364E0,4.182819366E1,4.968811035E0
4.891865813E1,-2.046862793E1,2.346498871E1,1.419873047E1
4.916826112E1,-1.409817505E1,3.158267975E1,1.070147705E1
4.941783317E1,5.962799072E0,3.444432831E1,1.499810791E1
4.966740617E1,4.809570312E-1,3.584816742E1,5.489807129E0
4.991700917E1,-1.900923157E1,2.370172882E1,1.273638916E1
5.016658217E1,-1.633357239E1,2.548926544E1,1.322772217E1
5.041616850E1,-3.117675781E0,3.223789215E1,1.146905518E1
5.066574150E1,-1.395919800E0,3.336884308E1,8.108947754E0
5.091534450E1,-2.276829529E1,2.117881012E1,1.089654541E1
5.116491750E1,-2.576681519E1,1.232024384E1,1.576239014E1
5.141449842E1,-2.224746704E1,2.024123383E1,1.516485596E1
5.166410242E1,-2.864779663E1,1.783246613E1,7.461791992E0
5.191367442E1,-2.877984619E1,1.986869049E1,-4.428771973E0
5.216327842E1,-3.557379150E1,1.282735443E1,-2.467529297E0
5.241283637E1,-3.850781250E1,4.688529968E0,7.157592773E-1
5.266240937E1,-3.416909790E1,1.941613007E1,-9.827270508E-1
5.291201238E1,-2.732293701E1,2.693473053E1,-9.620544434E0
5.316158538E1,-1.942623901E1,3.131327057E1,-1.145672607E1
5.341120104E1,-3.084555054E1,2.007648468E1,-9.685852051E0
5.366077304E1,-3.063688660E1,2.184099579E1,-1.044427490E1
5.391037704E1,-1.332702637E1,3.140607452E1,-1.264916992E1
5.415994904E1,-2.299316406E0,3.264272308E1,-1.569329834E1
5.440950113E1,-2.305848694E1,2.647064972E1,-8.217956543E0
5.465910412E1,-3.280575562E1,1.139057159E1,-6.618225098E0
5.490867713E1,-1.890771484E1,2.613303375E1,-1.371594238E1
5.515828013E1,9.672851562E-1,3.141016388E1,-1.659991455E1
5.540787725E1,-1.941041565E1,2.469670868E1,-1.490252686E1
5.565745025E1,-3.254719543E1,7.560340881E0,-7.805419922E0
5.590705325E1,-2.401200867E1,2.128501129E1,-1.398809814E1
5.615662625E1,-2.175125122E0,3.122464752E1,-1.661071777E1
5.640621275E1,-2.059474182E1,2.285289764E1,-1.650933838E1
5.665578575E1,-3.516703796E1,6.940284729E0,-7.792419434E0
5.690535875E1,-2.816973877E1,1.736061859E1,-1.573925781E1
5.715496175E1,-1.852005005E0,2.943958282E1,-2.162353516E1
5.740454438E1,-6.239578247E0,2.720920563E1,-2.516156006E1
5.765414738E1,-3.416772461E1,1.020795441E1,-1.682183838E1
5.790372038E1,-3.696302795E1,-3.119789124E0,-9.135314941E0
5.815332338E1,-3.562954712E1,9.760108948E0,-9.942321777E0
5.840289263E1,-2.461131287E1,1.930413055E1,-2.598022461E1
5.865249562E1,-6.633178711E0,2.702257538E1,-3.162280273E1
5.890206863E1,-1.201530457E1,2.599292755E1,-2.310992432E1
5.915167163E1,-2.730836487E1,1.752217865E1,-1.126354980E1
5.940122575E1,-2.500581360E1,2.240772247E1,-5.838623047E0
5.965082875E1,-1.766561890E1,2.975913239E1,2.386962891E0
5.990040175E1,-1.408886719E1,3.135419464E1,2.421813965E0
6.015000475E1,-4.838607788E0,3.688463593E1,8.242309570E0
6.039959925E1,-1.327047729E1,3.125322723E1,9.166442871E0
6.064920225E1,-1.976196289E1,2.476839447E1,1.504132080E1
6.089880525E1,-2.688034058E0,3.512186432E1,1.123065186E1
6.114837825E1,2.030014038E0,3.373816681E1,1.499481201E1
6.139796313E1,-1.144825745E1,3.258055878E1,1.104333496E1
6.164753613E1,-2.433432007E1,2.062625885E1,1.338592529E1
6.189713913E1,-5.691406250E0,3.304767609E1,1.222747803E1
6.214674313E1,3.795913696E0,3.262552643E1,1.471765137E1
6.239632250E1,-3.104858398E0,3.345635223E1,7.436279297E0
6.264592650E1,-1.806286621E1,2.256969452E1,1.449395752E1
6.289549850E1,-1.143644714E1,2.885822296E1,1.139605713E1
6.314510250E1,2.739074707E0,3.172251129E1,1.314569092E1
6.339471717E1,1.064086914E0,3.403557587E1,3.048278809E0
6.364429017E1,-1.965899658E1,2.126062775E1,1.223443604E1
6.389389317E1,-1.817288208E1,2.378185272E1,9.313476562E0
6.414349617E1,2.470794678E0,3.171749115E1,9.653503418E0
6.439305975E1,3.062210083E0,3.189000702E1,2.327392578E0
6.464266275E1,-2.040435791E1,1.695703888E1,3.719299316E0
6.489226675E1,-2.446656799E1,1.416239166E1,6.065368652E0
6.514183875E1,-1.858782959E1,2.131472015E1,-3.935485840E0
6.539144925E1,-1.345121765E1,2.430089569E1,-9.104675293E0
6.564105225E1,-2.837144470E1,1.836943817E1,4.669677734E0
6.589062525E1,-3.278277588E1,7.529373169E-1,1.544445801E1
6.614022825E1,-3.423310852E1,1.287572479E1,1.047088623E1
6.638981163E1,-3.132861328E1,2.246846771E1,-9.025878906E-1
6.663938462E1,-2.844235229E1,2.566558075E1,-1.057537842E1
6.688898763E1,-3.726930237E1,1.188629913E1,2.256469727E-1
6.713859062E1,-3.641302490E1,8.403480530E0,1.847717285E0
6.738818463E1,-3.314299011E1,1.749692535E1,-1.815795898E0
6.763778863E1,-2.230935669E1,2.954158783E1,-9.121765137E0
6.788739163E1,-2.156536865E1,2.799674225E1,-9.212097168E0
6.813699463E1,-2.922969055E1,1.548473358E1,-2.112426758E0
6.838655113E1,-3.132846069E1,9.980522156E0,-3.536315918E0
6.863615413E1,-2.063645935E1,2.328548431E1,-9.488464355E0
6.888575713E1,-8.907531738E0,3.008724213E1,-1.068035889E1
6.913533013E1,-1.639868164E1,2.494956207E1,-1.245159912E1
6.938492612E1,-3.124975586E1,1.210424042E1,-8.673461914E0
6.963453013E1,-3.051719666E1,1.261191559E1,-1.191735840E1
6.988410213E1,-7.977859497E0,2.832566071E1,-1.839947510E1
7.013370613E1,-9.838790894E0,2.919699860E1,-1.992248535E1
7.038331800E1,-3.470971680E1,2.005252838E1,-1.608837891E1
7.063292100E1,-3.469718933E1,7.029014587E0,-2.183288574E0
7.088249400E1,-2.789062500E1,1.952559662E1,-1.236596680E1
7.113209700E1,-9.180648804E0,3.089550018E1,-1.636956787E1
7.138171313E1,-2.092877197E1,2.174227142E1,-1.446490479E1
7.163128513E1,-3.300119019E1,2.184593201E0,-1.384716797E1
7.188088913E1,-2.850508118E1,1.306024933E1,-1.868072510E1
7.213049213E1,-8.440093994E0,2.393640900E1,-2.295965576E1
7.238007263E1,-2.848699951E1,1.455095673E1,-2.533331299E1
7.262964563E1,-3.294221497E1,4.473777771E0,-1.026159668E1
7.287924863E1,-2.963084412E1,1.077335358E1,-1.307098389E1
7.312885162E1,-2.088357544E1,2.343087006E1,-1.684503174E1
7.337847712E1,-1.315350342E1,3.355425262E1,-1.184674072E1
7.362804912E1,3.297607422E0,3.398032379E1,-1.746154785E1
7.387765313E1,-2.102484131E1,2.567168427E1,-1.295074463E1
7.412725613E1,-2.108239746E1,2.912776947E1,-3.142272949E0
7.437685175E1,-1.472097778E1,3.535900116E1,3.153442383E0
7.462642475E1,-6.180969238E0,3.560884857E1,1.549731445E1
7.487602775E1,-7.127532959E-1,3.882405853E1,1.384564209E1
7.512563175E1,-1.562480164E1,3.610164642E1,1.158129883E1
7.537524242E1,-2.658287048E1,2.577419281E1,1.704113770E1
7.562481542E1,-1.199357605E1,3.290061188E1,1.819842529E1
7.587441842E1,-5.829696655E0,3.119937897E1,2.073107910E1
7.612402142E1,-8.247695923E0,3.794747162E1,1.753179932E1
7.637357975E1,-2.433880615E1,2.561383820E1,1.692578125E1
7.662318275E1,-1.474659729E1,3.285994720E1,1.940234375E1
7.687278575E1,-5.022308350E0,3.189813995E1,2.647686768E1
7.712235875E1,-1.564575195E0,3.915110016E1,1.254461670E1
7.737196775E1,-2.039588928E1,2.786051178E1,1.664819336E1
7.762157175E1,-1.822987366E1,2.997257233E1,1.606121826E1
7.787114375E1,2.725921631E0,3.808077240E1,1.501025391E1
7.812074775E1,-6.382446289E-1,3.876148224E1,1.009661865E1
7.837035838E1,-1.544949341E1,3.123491669E1,1.267248535E1
7.861993138E1,-1.523887634E1,3.110968781E1,1.128051758E1
7.886953438E1,-2.820220947E0,3.634233856E1,9.700012207E0
7.911913738E1,-8.995819092E-1,3.594570160E1,1.089025879E1
7.936868463E1,-7.695373535E0,3.443064117E1,1.031719971E1
7.961828763E1,-1.807690430E1,2.708113861E1,1.678332520E1
7.986786063E1,-1.301832581E1,2.972354889E1,1.724426270E1
8.011746362E1,-1.224798584E1,3.187564850E1,1.323370361E1
8.036706763E1,-1.430014038E1,3.300475311E1,9.378723145E0
8.061665838E1,-2.473667908E1,2.677469635E1,1.223724365E1
8.086626237E1,-3.391735840E1,6.552162170E0,2.024572754E1
8.111586538E1,-3.431126404E1,1.253235626E1,1.639630127E1
8.136543838E1,-3.402859497E1,2.306147003E1,3.064208984E0
8.161503425E1,-2.265303040E1,3.261865997E1,-1.114166260E1
8.186460725E1,-3.264645386E1,2.299947357E1,-1.821838379E1
8.211421025E1,-4.041661072E1,5.990272522E0,-5.027526855E0
8.236381325E1,-3.860888672E1,1.122176361E1,-1.197760010E1
8.261337179E1,-1.657804871E1,3.796680450E1,-9.934997559E0
8.286297479E1,-9.976974487E0,3.795616913E1,-1.114636230E1
8.311254779E1,-3.413702393E1,1.673331451E1,-6.313049316E0
8.336215079E1,-3.762394714E1,7.174201965E0,-4.157775879E0
8.361177438E1,-1.830682373E1,2.944492340E1,-1.362969971E1
8.386134638E1,1.982940674E0,3.485109711E1,-1.193927002E1
8.411095038E1,-2.029760742E1,2.559676361E1,-1.463507080E1
8.436052238E1,-3.554541016E1,1.549934387E0,-8.564453125E0
8.461011442E1,-3.102322388E1,1.188201141E1,-1.728808594E1
8.485968642E1,-2.787384033E0,2.987407684E1,-2.400665283E1
8.510929042E1,-1.288096619E1,2.529007721E1,-2.793078613E1
8.535889342E1,-3.526757812E1,7.532279968E0,-9.912902832E0
8.560848188E1,-3.261685181E1,7.632850647E0,-1.392840576E1
8.585808487E1,-8.838623047E0,2.815331268E1,-2.462677002E1
8.610765787E1,-1.003775024E1,2.377632904E1,-2.785546875E1
8.635726088E1,-3.257104492E1,1.006223297E1,-1.439288330E1
8.660683663E1,-3.194671631E1,9.754478455E0,-1.810278320E1
8.685643963E1,-9.259826660E0,2.489075470E1,-2.825256348E1
8.710601263E1,2.536270142E0,2.464348602E1,-3.108782959E1
8.735561563E1,-2.328701782E1,6.686500549E0,-3.102514648E1
8.760517079E1,-2.795317078E1,-5.864715576E-2,-1.615002441E1
8.785477379E1,-2.540904236E1,1.120212555E1,-1.515173340E1
8.810437679E1,-1.739451599E1,2.167136383E1,-1.827014160E1
8.835394979E1,-5.859359741E0,3.044403839E1,-1.498724365E1
8.860354688E1,-1.514407349E1,3.161019135E1,-1.222589111E1
8.885311987E1,-1.963546753E1,3.066733551E1,-4.635681152E0
8.910272288E1,-1.029826355E1,3.676111603E1,-9.912719727E-1
8.935229588E1,-2.120132446E0,3.815196991E1,8.871276855E0
8.960190800E1,8.089172363E0,3.630280304E1,1.283966064E1
8.985148100E1,-7.007812500E0,3.808473969E1,4.152832031E0
9.010108400E1,-2.163676453E1,2.948662567E1,8.234191895E0
9.035065700E1,-5.823516846E0,3.572982025E1,1.000299072E1
9.060027125E1,3.196533203E0,2.998380280E1,2.008862305E1
9.084984425E1,-1.777496338E-1,3.583592987E1,1.029974365E1
9.109944725E1,-2.036976624E1,2.626232147E1,1.371752930E1
9.134902025E1,-1.386598206E1,2.985260773E1,1.288067627E1
9.159860025E1,3.747329712E0,3.083066559E1,1.565979004E1
9.184817325E1,3.158477783E0,3.290190887E1,1.089984131E1
9.209777625E1,-1.548962402E1,2.725492096E1,9.160339355E0
9.234738025E1,-1.805369568E1,2.440836334E1,9.536315918E0
9.259696150E1,3.419021606E0,3.201288605E1,1.014855957E1
9.284656450E1,6.599182129E0,3.210478973E1,1.034442139E1
9.309613750E1,-6.702896118E0,3.157741547E1,5.576843262E0
9.334574050E1,-2.123426819E1,2.239444733E1,9.250305176E0
9.359532613E1,-1.399357605E1,2.880944061E1,8.405700684E0
9.384492912E1,-4.930328369E0,3.136138153E1,1.320623779E1
9.409450213E1,-7.279266357E0,3.257935333E1,6.178894043E0
9.434410513E1,-2.930389404E1,1.396030426E1,8.153686523E0
9.459365729E1,-2.818264771E1,1.457543182E1,1.287402344E1
9.484326029E1,-2.617805481E1,2.318968964E1,8.977661133E0
9.509283329E1,-2.913551331E1,2.414209747E1,3.627929688E-1
9.534243629E1,-2.845057678E1,2.795325470E1,3.562133789E0
9.559200929E1,-3.310646057E1,9.172721863E0,1.697894287E1
9.584161229E1,-2.710029602E1,1.200060272E1,2.245880127E1
9.609118529E1,-2.556005859E1,2.047241974E1,2.252655029E1
9.634078829E1,-3.844125366E1,2.025591278E1,2.621887207E0
9.659035350E1,-3.337141418E1,2.136365509E1,-7.180175781E-1
9.683995650E1,-2.938743591E1,7.745826721E0,-6.185302734E-1
9.708952950E1,-2.803253174E1,9.679740906E0,-4.853759766E0
9.733910150E1,-1.653732300E1,2.648741913E1,-7.440185547E0
9.758871163E1,-8.886505127E0,2.831003571E1,-8.839172363E0
