"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.341120104E1,-3.430550694E-1,2.083814442E-1,-1.859292388E0
5.366077304E1,-2.761420906E-1,6.503287554E-1,1.873369694E0
5.391037704E1,-8.217808604E-1,1.950448036E0,1.634836555E0
5.415994904E1,7.313874364E-1,-2.536525130E-1,-1.219444990E0
5.440950113E1,-4.930725992E-1,-1.094279438E-2,-2.502554417E0
5.465910412E1,-1.881099939E0,2.699934959E0,6.184071898E-1
5.490867713E1,-3.008669913E-1,1.692600489E0,3.328813314E0
5.515828013E1,3.807528019E-1,2.967711985E-1,-8.459427357E-1
5.540787725E1,-6.191281676E-1,-2.376355886E0,-3.161413670E0
5.565745025E1,-1.350701302E-1,-2.577669621E-1,-5.428396463E-1
5.590705325E1,-2.880700678E-2,1.852509260E0,4.233888626E0
5.615662625E1,1.160201669E0,-7.049930841E-2,1.120976061E-1
5.640621275E1,-8.588958383E-1,-3.304518461E0,-3.039303780E0
5.665578575E1,-7.333474159E-1,-6.284023523E-1,-1.089626670E0
5.690535875E1,4.848347604E-1,1.033197761E0,3.111426353E0
5.715496175E1,-3.103993535E-1,2.126012325E0,3.786126375E-1
5.740454438E1,6.476045251E-1,-2.259152889E0,-1.628748417E0
5.765414738E1,-3.614206910E-1,-6.128541231E-1,-2.528154850E0
5.790372038E1,-4.371209145E-1,1.015260629E-2,4.186942577E-1
5.815332338E1,1.341597270E-2,4.582818747E-1,9.027189016E-1
5.840289263E1,-1.335632920E0,1.687867761E0,5.499846935E-1
5.865249562E1,1.322273165E-3,1.985678911E0,1.178778052E0
5.890206863E1,-4.727015495E-1,-8.751259446E-1,-3.253498793E0
5.915167163E1,-5.096996427E-1,-4.376992881E-1,-1.376642704E0
5.940122575E1,-1.431713939E0,4.550735354E-1,1.398655415E0
5.965082875E1,-1.541683078E0,3.024558067E0,1.200105906E0
5.990040175E1,-8.375662565E-1,1.807812452E0,5.165900588E-1
6.015000475E1,1.244329214E0,-1.602667212E0,-1.238644838E0
6.039959925E1,-1.629193425E-1,-1.129902601E0,-1.635398030E0
6.064920225E1,-1.701843977E0,2.180228472E0,2.229838133E0
6.089880525E1,-7.000840902E-1,2.039283991E0,3.362471342E0
6.114837825E1,1.034028053E0,-1.926490307E0,5.480051637E-1
6.139796313E1,-5.722606182E-1,1.796052814E0,-4.169938564E0
6.164753613E1,-2.304217100E0,2.468316555E0,1.252160549E0
6.189713913E1,-5.402233005E-1,2.774672031E0,3.560203314E0
6.214674313E1,-1.864295751E-1,7.529171705E-1,-9.000236392E-1
6.239632250E1,-1.219789982E0,-8.448640704E-1,-2.668262720E0
