"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.661974475E1,8.905431061E0,-9.136700134E0,1.243763580E0
5.702129475E1,4.595443726E-1,-1.070079758E1,2.193388824E0
5.742287575E1,9.741891632E0,-9.540859680E0,7.514373779E-1
5.782446638E1,6.971003723E0,-9.439520416E0,1.534758453E0
5.822601637E1,8.093369751E0,-9.231153717E0,1.000519409E0
5.862759363E1,6.231990509E0,-5.408103790E0,1.497485962E0
5.902917363E1,1.067400330E1,-1.116617981E1,1.197509766E0
5.943078563E1,6.171965332E0,-4.792284393E0,-1.715133362E0
5.983231675E1,7.830216980E0,-8.883875885E0,9.623487854E-1
6.023383675E1,9.569300537E0,-9.199868774E0,1.742376709E-1
6.063537825E1,5.538332977E0,-7.031477966E0,9.249266052E-1
6.103686725E1,5.624403992E0,-7.295977936E0,-1.633103943E-1
6.143838725E1,7.783514099E0,-6.633455658E0,2.090702362E0
6.183985813E1,5.347629547E0,-1.396071854E1,3.218307495E-2
6.224134712E1,8.796008606E0,-7.919581146E0,5.357359314E-1
6.264284350E1,7.543413391E0,-9.529633026E0,3.195854187E-1
6.304433350E1,2.806962891E0,-9.837842102E0,6.258485413E-1
6.344585250E1,7.207960968E0,-8.838819580E0,1.900447998E0
6.384738417E1,8.093220062E0,-1.490749969E1,1.866318970E0
6.424890417E1,5.152136078E0,-8.632249146E0,9.882449341E-1
6.465038375E1,8.104446716E0,-8.336613922E0,-6.273454285E-1
6.505181175E1,3.241209869E0,-9.538764038E0,4.966671753E-1
6.545324075E1,7.456294556E0,-6.358178101E0,2.677781525E0
6.585467525E1,8.876690826E0,-1.023331970E1,-2.636018372E-1
6.625610325E1,3.175646210E0,-7.709268494E0,-2.239343262E-1
6.665745062E1,5.998775482E0,-6.631958771E0,2.857857056E0
6.705884862E1,8.056845703E0,-1.169772446E1,2.005828857E-1
6.746027663E1,9.525441742E0,-1.380025223E1,7.036866760E-1
6.786172562E1,6.869963837E0,-5.437891846E0,-1.017733612E0
6.826318463E1,7.516469421E0,-9.570797424E0,1.122815094E0
6.866459612E1,3.633993073E0,-1.061966629E1,1.801354065E0
6.906602513E1,1.021820114E1,-8.401878204E0,1.379381561E0
6.946745312E1,6.426585846E0,-7.741900635E0,1.710043945E0
6.986887413E1,2.739752655E0,-7.194189606E0,1.403780823E0
7.027027213E1,8.582103424E0,-1.059287201E1,5.523513794E-2
7.067170900E1,6.259982300E0,-7.452851715E0,1.861828308E0
7.107316800E1,5.229225769E0,-6.616091766E0,-5.040019226E-1
7.147465700E1,7.635172577E0,-7.712411957E0,-3.363505554E-1
7.187615813E1,-4.634362793E-1,-9.695637817E0,1.416204987E0
7.227755613E1,7.100634155E0,-6.927444305E0,-5.842350769E-1
7.267893162E1,6.651118927E0,-9.651928711E0,6.938072205E-1
7.308032863E1,4.326902161E0,-8.922046509E0,-5.773493958E-1
7.348172662E1,4.333937531E0,-6.504423981E0,1.862127686E0
7.388314613E1,7.605234833E0,-5.569318542E0,1.571282501E0
7.428457412E1,5.054988098E0,-5.315296783E0,-1.791175232E0
7.468602575E1,4.361629944E0,-6.480922852E0,4.367916870E-1
7.508742275E1,7.773035889E0,-4.575235748E0,8.918453979E-1
7.548885175E1,6.960824890E0,-1.327125229E1,-6.087840271E-1
7.589028742E1,6.728657684E0,-8.700656891E0,1.218615875E0
7.629174642E1,8.143216095E0,-9.301507416E0,1.112187195E0
7.669315975E1,2.531236267E0,-9.787546692E0,1.137035522E0
7.709464875E1,1.249691254E1,-9.578132172E0,3.319347382E0
7.749607675E1,6.075715485E0,-8.394842834E0,1.292412415E0
7.789754175E1,4.962630157E0,-6.806196442E0,6.367758179E-1
7.829903075E1,7.287745056E0,-8.060138855E0,2.722837830E-1
7.870049738E1,7.456444244E0,-1.194875244E1,2.040257263E0
7.910195638E1,5.793103180E0,-7.014263763E0,8.068222046E-1
