,Heart Rate,Time
496,65,01:04:35
497,64,01:04:40
498,65,01:04:50
499,63,01:04:55
500,62,01:05:00
501,63,01:05:05
502,62,01:05:12
503,61,01:05:17
504,63,01:05:22
505,65,01:05:27
506,63,01:05:37
507,65,01:05:42
508,61,01:05:47
509,62,01:06:02
510,63,01:06:07
511,61,01:06:12
512,63,01:06:17
513,64,01:06:22
514,65,01:06:27
515,63,01:06:37
516,65,01:06:42
517,64,01:06:47
518,65,01:06:52
519,66,01:06:57
520,65,01:07:02
521,64,01:07:12
522,62,01:07:17
523,61,01:07:22
524,59,01:07:27
525,61,01:07:32
526,65,01:07:42
527,66,01:07:47
528,65,01:07:52
529,64,01:07:58
530,63,01:08:03
531,61,01:08:08
532,63,01:08:13
533,64,01:08:23
534,64,01:08:38
535,64,01:08:53
536,65,01:08:58
537,64,01:09:08
538,65,01:09:13
539,64,01:09:18
540,65,01:09:23
541,66,01:09:38
542,65,01:09:43
543,67,01:09:48
544,66,01:09:53
545,66,01:10:08
546,65,01:10:18
547,63,01:10:28
548,64,01:10:33
549,65,01:10:43
550,66,01:10:58
551,65,01:11:03
552,66,01:11:08
553,65,01:11:13
554,66,01:11:18
555,65,01:11:23
556,64,01:11:30
557,65,01:11:35
558,64,01:11:40
559,66,01:11:45
560,65,01:12:00
561,66,01:12:05
562,65,01:12:15
563,67,01:12:20
564,68,01:12:25
565,66,01:12:30
566,64,01:12:35
567,65,01:12:40
568,66,01:12:45
569,65,01:12:50
570,66,01:12:55
571,65,01:13:05
572,66,01:13:15
573,68,01:13:20
574,66,01:13:25
575,67,01:13:30
576,66,01:13:35
577,65,01:13:45
578,66,01:13:55
579,65,01:14:00
580,66,01:14:05
581,67,01:14:10
582,65,01:14:20
583,65,01:14:27
584,66,01:14:32
585,67,01:14:37
586,66,01:14:47
587,65,01:14:57
588,66,01:15:02
589,66,01:15:17
590,67,01:15:27
591,66,01:15:32
592,67,01:15:37
593,67,01:15:52
594,66,01:15:57
595,65,01:16:07
596,66,01:16:12
597,67,01:16:17
598,65,01:16:22
599,66,01:16:27
600,67,01:16:37
601,68,01:16:42
602,67,01:16:47
603,68,01:16:52
604,67,01:16:57
605,68,01:17:02
606,66,01:17:07
607,68,01:17:12
608,67,01:17:22
609,69,01:17:32
610,69,01:17:39
611,70,01:17:44
612,68,01:17:49
613,67,01:17:54
614,66,01:17:59
615,67,01:18:14
616,68,01:18:29
617,66,01:18:34
618,68,01:18:39
619,67,01:18:44
620,69,01:18:49
621,68,01:18:54
622,67,01:18:59
623,68,01:19:09
624,69,01:19:19
625,67,01:19:29
626,66,01:19:34
627,67,01:19:49
628,69,01:19:54
