,Time (s),Heart Rate
324,2019-06-04 13:36:39,89
325,2019-06-04 13:36:44,90
326,2019-06-04 13:36:49,92
327,2019-06-04 13:36:54,91
328,2019-06-04 13:36:59,92
329,2019-06-04 13:37:04,94
330,2019-06-04 13:37:09,96
331,2019-06-04 13:37:14,97
332,2019-06-04 13:37:19,99
333,2019-06-04 13:37:24,101
334,2019-06-04 13:37:29,105
335,2019-06-04 13:37:34,107
336,2019-06-04 13:37:39,108
337,2019-06-04 13:37:44,109
338,2019-06-04 13:37:54,110
339,2019-06-04 13:37:59,113
340,2019-06-04 13:38:05,114
341,2019-06-04 13:38:10,116
342,2019-06-04 13:38:15,117
343,2019-06-04 13:38:30,118
344,2019-06-04 13:38:45,120
345,2019-06-04 13:39:00,120
346,2019-06-04 13:39:05,120
347,2019-06-04 13:39:15,120
348,2019-06-04 13:39:25,121
349,2019-06-04 13:39:40,121
350,2019-06-04 13:39:50,123
351,2019-06-04 13:39:55,124
352,2019-06-04 13:40:05,125
353,2019-06-04 13:40:15,126
354,2019-06-04 13:40:25,127
355,2019-06-04 13:40:40,129
356,2019-06-04 13:40:50,128
357,2019-06-04 13:40:55,127
358,2019-06-04 13:41:00,125
359,2019-06-04 13:41:15,116
360,2019-06-04 13:41:21,117
361,2019-06-04 13:41:26,116
362,2019-06-04 13:41:31,114
363,2019-06-04 13:41:36,116
364,2019-06-04 13:41:41,120
365,2019-06-04 13:41:46,123
366,2019-06-04 13:41:51,124
367,2019-06-04 13:41:56,125
368,2019-06-04 13:42:01,127
369,2019-06-04 13:42:06,128
370,2019-06-04 13:42:11,129
371,2019-06-04 13:42:16,128
372,2019-06-04 13:42:21,127
373,2019-06-04 13:42:36,128
374,2019-06-04 13:42:41,129
375,2019-06-04 13:42:46,131
376,2019-06-04 13:42:51,136
377,2019-06-04 13:42:56,134
378,2019-06-04 13:43:01,135
379,2019-06-04 13:43:16,135
380,2019-06-04 13:43:21,134
381,2019-06-04 13:43:26,131
382,2019-06-04 13:43:41,131
383,2019-06-04 13:43:46,132
384,2019-06-04 13:43:51,133
385,2019-06-04 13:43:56,132
386,2019-06-04 13:44:01,131
387,2019-06-04 13:44:08,130
388,2019-06-04 13:44:13,129
389,2019-06-04 13:44:18,129
390,2019-06-04 13:44:23,128
391,2019-06-04 13:44:28,127
392,2019-06-04 13:44:38,128
393,2019-06-04 13:44:43,129
394,2019-06-04 13:44:58,125
395,2019-06-04 13:45:03,126
396,2019-06-04 13:45:08,125
397,2019-06-04 13:45:13,126
398,2019-06-04 13:45:18,127
399,2019-06-04 13:45:23,128
400,2019-06-04 13:45:28,130
401,2019-06-04 13:45:33,129
402,2019-06-04 13:45:38,128
403,2019-06-04 13:45:43,129
404,2019-06-04 13:45:48,131
405,2019-06-04 13:45:53,134
406,2019-06-04 13:45:58,133
407,2019-06-04 13:46:03,132
408,2019-06-04 13:46:13,133
409,2019-06-04 13:46:28,104
410,2019-06-04 13:46:33,102
411,2019-06-04 13:46:38,97
412,2019-06-04 13:46:43,99
413,2019-06-04 13:46:48,98
414,2019-06-04 13:46:53,93
415,2019-06-04 13:47:03,95
416,2019-06-04 13:47:13,94
417,2019-06-04 13:47:18,95
418,2019-06-04 13:47:23,94
419,2019-06-04 13:47:28,93
420,2019-06-04 13:47:33,92
421,2019-06-04 13:47:43,89
422,2019-06-04 13:47:48,83
423,2019-06-04 13:47:58,82
424,2019-06-04 13:48:13,80
425,2019-06-04 13:48:18,77
426,2019-06-04 13:48:23,80
427,2019-06-04 13:48:30,82
428,2019-06-04 13:48:35,83
429,2019-06-04 13:48:40,82
430,2019-06-04 13:48:45,81
431,2019-06-04 13:48:50,76
432,2019-06-04 13:48:55,75
433,2019-06-04 13:49:05,77
434,2019-06-04 13:49:15,83
435,2019-06-04 13:49:20,87
436,2019-06-04 13:49:25,88
437,2019-06-04 13:49:30,87
438,2019-06-04 13:49:40,86
439,2019-06-04 13:49:45,85
440,2019-06-04 13:49:50,81
441,2019-06-04 13:49:55,76
442,2019-06-04 13:50:05,74
443,2019-06-04 13:50:10,73
444,2019-06-04 13:50:20,76
445,2019-06-04 13:50:25,78
446,2019-06-04 13:50:40,77
447,2019-06-04 13:50:45,76
448,2019-06-04 13:50:50,75
449,2019-06-04 13:51:00,74
450,2019-06-04 13:51:05,75
451,2019-06-04 13:51:10,77
452,2019-06-04 13:51:25,77
453,2019-06-04 13:51:30,76
454,2019-06-04 13:51:37,76
455,2019-06-04 13:51:42,78
456,2019-06-04 13:51:47,83
457,2019-06-04 13:51:52,86
458,2019-06-04 13:51:57,90
459,2019-06-04 13:52:02,95
460,2019-06-04 13:52:07,101
461,2019-06-04 13:52:12,103
462,2019-06-04 13:52:17,107
463,2019-06-04 13:52:22,109
464,2019-06-04 13:52:27,107
465,2019-06-04 13:52:32,108
466,2019-06-04 13:52:42,110
467,2019-06-04 13:52:47,111
468,2019-06-04 13:52:52,114
469,2019-06-04 13:52:57,117
470,2019-06-04 13:53:02,118
471,2019-06-04 13:53:07,116
472,2019-06-04 13:53:12,117
473,2019-06-04 13:53:17,119
474,2019-06-04 13:53:22,118
475,2019-06-04 13:53:27,117
476,2019-06-04 13:53:32,118
477,2019-06-04 13:53:37,119
478,2019-06-04 13:53:47,122
479,2019-06-04 13:53:57,120
480,2019-06-04 13:54:07,121
481,2019-06-04 13:54:14,120
482,2019-06-04 13:54:19,119
483,2019-06-04 13:54:24,119
484,2019-06-04 13:54:29,122
485,2019-06-04 13:54:34,122
486,2019-06-04 13:54:39,121
487,2019-06-04 13:54:44,120
488,2019-06-04 13:54:49,119
489,2019-06-04 13:54:54,117
490,2019-06-04 13:54:59,118
491,2019-06-04 13:55:04,115
492,2019-06-04 13:55:14,119
493,2019-06-04 13:55:24,120
494,2019-06-04 13:55:29,121
495,2019-06-04 13:55:39,120
496,2019-06-04 13:55:49,122
497,2019-06-04 13:55:54,124
498,2019-06-04 13:56:04,126
499,2019-06-04 13:56:09,129
500,2019-06-04 13:56:14,128
501,2019-06-04 13:56:24,126
502,2019-06-04 13:56:39,99
503,2019-06-04 13:56:44,100
504,2019-06-04 13:56:49,101
505,2019-06-04 13:57:04,102
506,2019-06-04 13:57:09,103
507,2019-06-04 13:57:14,107
508,2019-06-04 13:57:19,110
509,2019-06-04 13:57:24,109
510,2019-06-04 13:57:39,111
511,2019-06-04 13:57:44,110
512,2019-06-04 13:57:49,113
513,2019-06-04 13:57:59,115
514,2019-06-04 13:58:09,118
515,2019-06-04 13:58:14,119
516,2019-06-04 13:58:19,118
517,2019-06-04 13:58:24,117
518,2019-06-04 13:58:34,121
519,2019-06-04 13:58:39,122
520,2019-06-04 13:58:49,121
521,2019-06-04 13:58:54,122
522,2019-06-04 13:58:59,120
523,2019-06-04 13:59:04,119
524,2019-06-04 13:59:14,122
525,2019-06-04 13:59:19,123
526,2019-06-04 13:59:24,125
527,2019-06-04 13:59:29,122
528,2019-06-04 13:59:36,121
529,2019-06-04 13:59:41,119
530,2019-06-04 13:59:46,120
531,2019-06-04 13:59:56,121
532,2019-06-04 14:00:01,120
533,2019-06-04 14:00:06,118
534,2019-06-04 14:00:11,119
535,2019-06-04 14:00:16,118
536,2019-06-04 14:00:26,117
537,2019-06-04 14:00:31,118
538,2019-06-04 14:00:41,114
539,2019-06-04 14:00:46,115
540,2019-06-04 14:00:56,116
541,2019-06-04 14:01:01,118
542,2019-06-04 14:01:06,115
543,2019-06-04 14:01:16,110
544,2019-06-04 14:01:21,109
545,2019-06-04 14:01:26,113
546,2019-06-04 14:01:31,114
