,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
146,1.55965412844e+18,-1.383672118,2.532753944,0.7220910192
147,1.55965412869e+18,-0.07322439551,1.301411629,0.8992878795
148,1.55965412894e+18,-0.8366041183,-1.275238752,-2.760416269
149,1.55965412919e+18,-0.3366571665,-0.8418515325,-0.941970408
150,1.55965412944e+18,-1.603618622,1.143848658,2.183237553
151,1.55965412969e+18,-1.415945053,2.683929682,1.067945719
152,1.55965412994e+18,0.8268774748,1.536280632,0.5562067032
153,1.55965413019e+18,-0.6073647738,-1.203678846,-3.103512526
154,1.55965413044e+18,0.1785862595,-1.106169939,-0.2111622542
155,1.55965413069e+18,-0.7835210562,0.8809572458,1.565270066
156,1.55965413094e+18,-0.1943750679,1.649242163,2.507584095
157,1.55965413118e+18,0.2359766215,-0.09209220111,-0.8057341576
158,1.55965413143e+18,-0.2484083623,-3.761100292,-2.880780697
159,1.55965413168e+18,0.6508828998,-1.596175551,-1.457814336
160,1.55965413193e+18,-1.729873776,2.355362415,3.217545033
161,1.55965413218e+18,-0.8616005182,0.5809959173,-0.1358706951
162,1.55965413243e+18,1.737510681,-4.443554878,-1.378322482
163,1.55965413268e+18,-0.4835838079,-1.748297572,-2.455649614
164,1.55965413293e+18,0.2422408015,0.9841147661,2.223505974
165,1.55965413318e+18,0.4912677109,0.6159312129,3.19285202
166,1.55965413343e+18,1.008560061,-1.994049549,-0.9569015503
167,1.55965413368e+18,-0.9520233274,-0.8471371531,-2.636007309
168,1.55965413393e+18,-0.2249413282,0.6281083822,1.91070962
169,1.55965413418e+18,0.6341958046,1.041747451,2.926372766
170,1.55965413443e+18,-0.0007211514749,-1.680431724,-1.476859331
171,1.55965413468e+18,-1.318171978,-0.8675562143,-2.229669571
172,1.55965413493e+18,0.4650303125,0.7186027765,1.357295156
173,1.55965413518e+18,-0.05657637119,1.896756411,2.538010836
174,1.55965413543e+18,-0.1498948783,1.157016158,0.2870110869
175,1.55965413568e+18,-0.9490727186,-0.4258244932,-4.99143219
176,1.55965413593e+18,-0.02081724815,-0.5398895144,-1.144254446
177,1.55965413618e+18,-0.7543824315,0.316808939,0.6292224526
178,1.55965413643e+18,1.898083687,-1.314115763,3.00541234
179,1.55965413668e+18,-2.939251661,2.763026237,0.4352920651
180,1.55965413693e+18,0.6386769414,1.066782594,1.034455538
181,1.55965413717e+18,0.5467047095,-1.647330165,-2.941459179
182,1.55965413742e+18,-0.685513258,-0.4575004578,-2.539311886
183,1.55965413767e+18,-0.8735100627,-0.3701532483,0.8985610008
184,1.55965413792e+18,0.6729800105,0.1580404937,3.167115927
185,1.55965413817e+18,-1.030956864,3.48210144,1.430885434
186,1.55965413842e+18,0.6969994903,-0.402736336,-0.1133589
187,1.55965413867e+18,-0.2773887813,-0.8403570056,-1.965581417
188,1.55965413892e+18,-1.839549899,1.268292665,-0.9475927949
189,1.55965413917e+18,-0.638263166,2.068632603,2.017225266
190,1.55965413942e+18,-0.375968039,-0.3752997816,-0.2707378566
191,1.55965413967e+18,0.5268462896,-2.223670959,-3.461197615
192,1.55965413992e+18,-1.49061203,1.382999778,-1.006602049
