"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
5.822397754E1	5.566175079E0	-5.465434570E0	-1.755699005E0
5.862541242E1	6.419550476E0	-6.870861969E0	5.686674500E-1
5.902687142E1	7.728129272E0	-7.358847198E0	-6.692582703E-1
5.942829942E1	6.665189667E0	-2.091600494E0	5.269342346E0
5.982973025E1	9.889933777E-1	3.158731384E0	6.049819336E0
6.023112725E1	1.130149841E0	5.192552032E0	1.123593475E1
6.063262512E1	8.713530121E0	-4.324207764E0	3.864813080E0
6.103414512E1	7.113357697E0	-4.278103638E0	-1.087039490E0
6.143563512E1	7.228019257E0	-9.105415192E0	-1.760489044E0
6.183708362E1	6.577322388E0	-1.221205490E1	-1.506467285E0
6.223857362E1	7.070995789E0	-6.817872162E0	-1.542991333E0
6.264003187E1	5.933960266E0	-8.703500977E0	1.702409821E0
6.304152087E1	5.057532806E0	-9.100026398E0	-1.359173584E-1
6.344297987E1	7.298822021E0	-1.080228653E1	3.835025024E-1
6.384447600E1	4.571044464E0	-7.840395813E0	6.695576477E-1
6.424596500E1	5.982459412E0	-8.056845703E0	6.765930176E-2
6.464747625E1	7.117698669E0	-1.029154861E1	-3.736230469E-1
6.504899525E1	3.442092133E0	-5.234165497E0	-4.337979126E-1
6.545051525E1	6.620283051E0	-9.665251007E0	1.121767273E0
6.585202275E1	6.223009186E0	-6.766079865E0	9.075627136E-1
6.625354275E1	6.967710571E0	-1.055036041E1	-7.622149658E-1
6.665501537E1	4.892875214E0	-4.736749878E0	-7.360194397E-1
6.705656538E1	5.777685242E0	-6.686894531E0	1.704804840E0
6.745808538E1	8.138575745E0	-7.726333008E0	-2.304158478E0
6.785961812E1	5.041067047E0	-6.887926483E0	-2.444416809E-1
6.826107612E1	6.652166748E0	-6.459966431E0	-2.694396973E-2
6.866257987E1	7.192093964E0	-7.054979095E0	-3.001258850E-1
6.906406887E1	4.261039124E0	-1.109343109E1	-6.256988525E-2
6.946552787E1	6.180048523E0	-5.294490051E0	6.735992432E-2
6.986694187E1	7.790998535E0	-1.152827682E1	1.507664795E0
7.026846187E1	5.415438538E0	-1.243329483E1	5.755531311E-1
7.067003929E1	7.166497192E0	-7.945028229E0	-7.408094788E-1
7.107161929E1	6.695875854E0	-8.498427429E0	1.277144165E0
7.147310929E1	5.808820496E0	-9.666298828E0	1.228944397E-1
7.187462687E1	9.146579590E0	-9.473499756E0	-2.906954956E-1
7.227611688E1	4.051923981E0	-7.654781799E0	6.893165588E-1
7.267761050E1	6.812483368E0	-8.883576508E0	3.849993896E-1
