"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.994717175E1,-2.063834108E-3,-2.895575017E-5,-1.505013555E-3
3.019674475E1,2.073879354E-3,3.476925194E-4,1.723729074E-4
3.044631775E1,-8.448776789E-4,4.783887416E-4,-2.310341224E-4
3.069586538E1,-6.858985871E-4,4.443619400E-4,7.365439087E-4
3.094543837E1,9.696977213E-5,-2.862763591E-3,-3.301268443E-4
3.119501037E1,-1.930883154E-4,-5.263909698E-4,2.775806934E-5
3.144455338E1,-3.028307110E-4,2.106400207E-3,2.415962517E-4
3.169413246E1,-8.175233379E-4,-1.083006151E-3,-1.277192496E-3
3.194370546E1,-7.554087788E-4,1.221393235E-3,-1.446804963E-3
3.219324746E1,-1.850955188E-3,1.092957333E-3,-5.374457687E-4
3.244282046E1,-1.002278179E-3,2.316206694E-3,-1.279841177E-3
3.269237258E1,-1.677984837E-3,-1.076315530E-3,-1.144809648E-4
3.294191458E1,1.678884961E-3,-2.029884607E-3,1.244259067E-3
3.319148758E1,2.467280719E-3,7.867673412E-4,3.044325858E-4
3.344106058E1,-8.184695616E-4,-4.259617999E-4,-2.504903823E-4
3.369064383E1,1.103438903E-3,1.915603876E-3,1.312736422E-4
3.394018683E1,-9.425687604E-4,-4.646079615E-4,1.252407208E-3
3.418975883E1,-4.410045221E-4,1.705195755E-3,8.108690381E-4
3.443933183E1,-4.564831033E-5,-2.646129578E-4,1.320463605E-3
3.468885071E1,5.044224672E-4,1.294485293E-3,3.284970298E-4
3.493842371E1,-2.697096206E-4,-1.367790624E-3,-1.036356203E-3
3.518799671E1,5.450928584E-4,7.582278922E-4,-1.464170404E-3
3.543753871E1,-8.293539286E-4,1.324072480E-3,-5.680071190E-4
3.568712858E1,1.853918657E-4,-1.701522619E-3,9.355675429E-4
3.593670158E1,7.267482579E-5,1.234546304E-3,-1.024073921E-3
3.618627358E1,8.891024627E-4,-6.672963500E-4,-6.824731827E-6
3.643581658E1,-6.859884597E-4,3.381464630E-4,-8.971309289E-4
3.668536700E1,-2.002096735E-4,-5.600629374E-4,4.280982539E-4
3.693494000E1,-5.472120829E-4,2.149380744E-4,-4.756897688E-4
3.718448200E1,3.624414094E-4,1.825941727E-4,-4.256907851E-4
3.743405500E1,9.864615276E-5,6.568515673E-4,-3.996873274E-4
3.768364538E1,4.110452719E-4,-7.129600272E-4,9.953016415E-4
3.793318738E1,3.635725006E-4,5.298061296E-4,-1.800889149E-4
3.818276037E1,2.177804708E-3,-1.693014055E-4,-1.506625675E-3
3.843233337E1,2.288477030E-3,3.052977845E-4,1.227317378E-3
3.868188908E1,-1.076334156E-4,-6.860774010E-5,-2.750968561E-4
3.893143208E1,-3.385981545E-4,5.980180576E-4,-1.197794452E-3
3.918100408E1,-2.257931046E-4,-1.188553870E-5,-6.933091208E-4
3.943057708E1,-2.569477074E-4,-1.138584688E-3,-8.846940473E-4
3.968011908E1,-5.032070912E-4,4.947129637E-4,1.345996745E-3
3.992969512E1,-4.842435010E-4,3.154603764E-4,2.650069073E-4
4.017926813E1,-1.236072276E-3,1.379278488E-3,-3.946926445E-4
4.042881012E1,-3.414833918E-4,4.697684199E-4,-2.716174349E-4
4.067838312E1,-1.985730603E-3,1.257844269E-4,1.306142658E-3
4.092792983E1,1.217786223E-3,-3.622360528E-4,1.342347823E-3
4.117750183E1,5.015814677E-4,-9.464118630E-4,-4.588710144E-4
4.142704483E1,2.152901143E-4,-3.385581076E-3,-7.061501965E-4
4.167661683E1,6.234678440E-4,1.074533910E-3,-1.568719745E-3
4.192619033E1,-5.766968243E-4,-5.302652717E-4,-4.764506593E-4
4.217573233E1,-4.922738299E-4,-5.746129900E-4,1.786127687E-4
4.242530533E1,-1.586966682E-3,-1.305693761E-3,2.490011975E-4
4.267487833E1,-1.523159444E-4,-1.140524633E-3,2.934262156E-4
4.292443796E1,3.877356648E-4,5.420409143E-4,5.269879475E-4
4.317401096E1,4.192208871E-4,1.350677572E-3,3.404356539E-5
4.342358396E1,-6.811786443E-5,9.371116757E-4,1.221009530E-3
4.367315596E1,1.024240162E-3,1.087728888E-4,4.402808845E-4
4.392268000E1,8.427291177E-4,-1.064206474E-3,-1.127060503E-3
4.417225200E1,-1.044124365E-4,1.007623971E-3,3.087464720E-4
4.442182500E1,-7.091769949E-4,-2.316165715E-3,1.079301350E-3
4.467136700E1,6.733792834E-4,-5.790079013E-4,-9.428253397E-4
4.492095287E1,1.179880463E-3,-8.600475267E-4,-1.052813604E-3
4.517052588E1,-4.984419793E-4,-2.335980535E-4,1.090303063E-3
4.542009888E1,2.707471140E-4,4.549138248E-5,-9.516235441E-4
4.566964087E1,7.741954178E-4,5.482854322E-4,2.382379025E-4
4.591919358E1,1.296925358E-3,1.403167844E-4,9.432425722E-4
4.616876558E1,-1.805443317E-3,1.287186518E-3,-7.119523361E-4
4.641830858E1,-6.002401933E-4,-1.001270488E-3,-2.889586613E-4
4.666788058E1,1.567050349E-3,2.793228254E-3,-2.693766728E-4
4.691745688E1,1.831779256E-3,2.825707197E-4,-3.221165389E-5
4.716699887E1,-4.427153617E-4,-7.973248139E-4,-1.050945371E-3
4.741657188E1,3.485097550E-4,-2.092390321E-3,5.631931126E-4
4.766614488E1,-2.535638399E-3,-3.986200318E-4,-6.821202114E-4
4.791569713E1,-1.178429462E-3,2.280166373E-4,3.520837054E-4
4.816523913E1,2.946984023E-5,3.826785833E-4,-4.497030750E-4
4.841481213E1,-8.355453610E-4,2.739485353E-4,4.606824368E-4
4.866438413E1,-3.878897987E-4,-6.827013567E-4,3.220168874E-4
4.891394696E1,-5.862149410E-4,9.178640321E-4,3.525167704E-4
4.916351896E1,-7.231105119E-4,1.506241970E-3,1.234633848E-3
4.941309196E1,1.102339476E-3,-5.787992850E-4,-2.327187918E-3
4.966266496E1,-1.443284098E-3,2.858331427E-4,1.438409090E-4
4.991217825E1,2.003428526E-4,5.478356034E-4,1.211876981E-3
5.016175125E1,8.834884502E-4,-1.005185768E-4,-2.626990899E-4
5.041132425E1,5.244323984E-5,1.091443934E-3,4.131058231E-4
5.066086625E1,-9.551923722E-5,-7.360810414E-4,-9.606517851E-4
5.091044733E1,4.766378552E-4,1.321864314E-3,1.406613737E-4
5.116001933E1,6.352872588E-4,-5.146116018E-5,1.717111096E-3
5.140959233E1,1.679764595E-3,-1.176204532E-4,-5.150623620E-4
5.165913433E1,1.420038752E-4,-9.431689978E-5,-3.434205428E-4
5.190870408E1,-1.336876303E-3,3.119688481E-4,1.470815390E-3
5.215827708E1,-1.154772937E-3,-1.005718485E-3,-3.334749490E-4
5.240781908E1,-1.618511975E-3,7.054749876E-4,-1.873215660E-4
5.265739208E1,8.726995438E-4,1.088470221E-3,-1.124395058E-3
5.290694971E1,5.670613609E-4,1.300908625E-4,-4.219487309E-4
5.315652171E1,-1.557737589E-3,1.057529822E-3,-1.574837603E-3
5.340606371E1,-5.633560941E-4,-1.990087330E-4,-3.842143342E-4
5.365563671E1,-5.030091852E-4,-2.458244562E-4,-1.385946758E-3
5.390521983E1,-3.745313734E-5,-1.502250321E-3,-3.774780780E-4
5.415476183E1,-1.969272271E-4,-2.130563371E-3,-1.989137381E-4
5.440433483E1,-7.764212787E-4,2.112584189E-4,-1.535229385E-4
5.465390783E1,9.282426909E-4,-1.676160842E-3,3.707716241E-4
5.490346763E1,7.033087313E-4,1.405427232E-3,1.473668963E-4
5.515301062E1,1.857104246E-3,-9.075729176E-4,4.717148840E-4
5.540258262E1,-4.402240738E-4,-8.570831269E-4,-1.504113898E-4
5.565215563E1,2.124974970E-3,8.482299745E-5,-1.186521724E-3
5.590170400E1,-1.083235256E-3,5.181347951E-4,-2.694586292E-4
5.615127700E1,-1.828374341E-3,1.149734482E-3,-2.109255642E-3
5.640085000E1,9.227776900E-5,-5.016988143E-4,-7.480755448E-5
5.665042300E1,4.703770392E-4,-1.789778471E-4,-1.554191113E-4
5.689994758E1,-3.232541727E-3,2.749853767E-3,-4.584109411E-4
5.714952058E1,3.880900331E-4,6.078630686E-4,3.386605531E-4
5.739909258E1,1.446747687E-3,-2.372292802E-4,-9.276894853E-4
5.764863558E1,-7.117339410E-4,-1.222363673E-3,1.109709032E-3
5.789822013E1,-3.823642619E-4,-5.779489875E-4,3.887964413E-4
5.814779313E1,1.056236681E-3,-9.352527559E-5,-6.028208882E-4
5.839736612E1,3.227991983E-3,-2.541150898E-4,-1.442269422E-3
5.864690813E1,1.478110440E-3,1.451782882E-4,-2.267213538E-3
5.889646546E1,1.840283163E-3,-9.087203071E-4,-3.866832703E-4
5.914603846E1,-2.120213583E-3,-2.567507327E-4,-1.450004987E-3
5.939561046E1,1.735909842E-3,1.112938859E-3,3.602867946E-4
5.964515346E1,-2.864589682E-3,1.855436713E-4,4.346752539E-4
5.989470671E1,3.249365836E-4,6.162114441E-4,3.769071773E-4
6.014427971E1,1.239413396E-4,5.850177258E-4,1.584880054E-3
6.039382171E1,-1.387395430E-3,-2.192963846E-3,3.507742658E-4
6.064339471E1,2.649314702E-4,9.331330657E-4,2.015978098E-4
6.089297858E1,3.704852425E-4,4.292633384E-4,-1.410884783E-3
6.114255158E1,1.200785395E-3,-1.280708238E-3,-1.399572939E-4
6.139209358E1,8.163275197E-4,1.913942397E-4,-1.584847458E-3
6.164166658E1,6.975978613E-5,-2.110088244E-4,-1.139246859E-3
6.189124696E1,-1.395942643E-3,-9.739566594E-4,1.218868420E-4
6.214078996E1,-4.187142476E-4,7.666544989E-4,-1.624483615E-3
6.239036196E1,2.180220559E-3,3.173900768E-4,1.401631162E-4
6.263993496E1,-1.229136251E-4,-1.152828336E-4,-1.753112301E-4
6.288948896E1,-6.211302243E-4,-5.301460624E-4,1.388030127E-3
6.313903096E1,1.851584762E-3,5.595218390E-4,-1.291858032E-3
6.338860396E1,-2.452968620E-4,-3.977594897E-4,-2.841595560E-4
6.363817696E1,-1.884425525E-3,2.057509497E-3,1.168316230E-4
6.388776008E1,2.157539129E-3,-7.373886183E-4,-5.069598556E-4
6.413730308E1,-3.201048821E-4,-4.484318197E-6,3.849808127E-4
6.438687508E1,-2.846098505E-4,2.979686484E-3,-1.967325807E-4
6.463644808E1,-2.526631579E-5,2.966411412E-4,-2.108048648E-5
6.488596150E1,-2.181958407E-4,-1.544440165E-4,2.360250801E-5
6.513553450E1,1.002601348E-3,-3.069695085E-4,-1.420759596E-3
6.538510750E1,6.538117304E-5,-1.048056409E-3,-4.781465977E-4
6.563468050E1,1.076157205E-4,-2.270145342E-3,1.010410488E-4
6.588421796E1,-1.788237132E-4,-6.897645071E-4,1.236089505E-3
6.613379096E1,-8.237133734E-4,-1.421831548E-4,-1.316591166E-3
6.638336296E1,-4.514087923E-4,-4.602828994E-4,5.583977327E-4
6.663293596E1,3.406847827E-4,-1.720615663E-3,1.672595739E-3
