,Time (s),X (rad/s),Y (rad/s),Z (rad/s),label
75,1.55965321872e+18,0.008121665567,-0.01716348715,-0.0001594433561,train
76,1.55965321897e+18,0.005504381377,-0.007915557362,0.005402068608,train
77,1.55965321922e+18,-0.003149410011,-0.001637130044,0.006652896758,train
78,1.55965321947e+18,0.02511477284,0.00141587574,0.004571805242,train
79,1.55965321972e+18,0.01729543693,-0.01531516016,-0.004727848805,train
80,1.55965321997e+18,-0.004936145619,-0.01262444071,-0.008229133673,train
81,1.55965322022e+18,0.03087033145,0.008480398916,0.001904337667,train
82,1.55965322047e+18,-0.02416050993,-0.005497656763,0.01584394649,train
83,1.55965322072e+18,-0.029350942,0.02600417845,0.01304126717,train
84,1.55965322097e+18,0.002356342971,0.00343108736,0.005869082641,train
85,1.55965322122e+18,-0.003724221373,0.006565843709,-0.0005713896826,train
