,Time (s),X (rad/s),Y (rad/s),Z (rad/s),label
39,1.55965355956e+45,-0.06815592945,-0.5130512714,0.373188585,biking
40,1.55965355956e+45,0.2597492933,-0.6325309873,-0.1151524484,biking
41,1.55965355956e+45,0.03393840045,0.316708833,0.3348261118,biking
42,1.55965355956e+45,0.2385105789,0.4587633014,0.0911462605,biking
43,1.55965355956e+45,-0.1471585929,-0.2815215886,-0.01631257683,biking
44,1.55965355956e+45,0.2887774408,0.08839585632,0.2085638195,biking
45,1.55965355956e+45,-0.2832410634,0.361120224,-0.6559564471,biking
46,1.55965355956e+45,-0.03426770866,0.1206077337,0.2188096642,biking
47,1.55965355956e+45,0.1256106347,-0.04252153635,-0.2196760774,biking
48,1.55965355956e+45,0.336342901,0.01608959213,0.3175086975,biking
49,1.55965355956e+45,-0.01133538038,-0.1666333973,0.7924882174,biking
50,1.55965355956e+45,0.7566327453,0.0718274489,0.6270260215,biking
51,1.55965355956e+45,-0.6995251775,0.3508800268,-0.7496919632,biking
52,1.55965355956e+45,0.0690992102,-0.09128728509,0.08829853684,biking
53,1.55965355956e+45,0.3895038068,0.2406442463,0.4456133842,biking
54,1.55965355956e+45,-0.731438756,-0.09541872889,-0.5746372342,biking
55,1.55965355956e+45,0.05490149558,-0.2610106766,-0.2469679564,biking
56,1.55965355956e+45,-0.07497286052,-0.3667142987,0.3624211252,biking
57,1.55965355956e+45,0.3305851221,-0.1553968489,0.06762800366,biking
58,1.55965355956e+45,-0.0007086787373,0.6892563105,-0.3520005643,biking
59,1.55965355956e+45,-0.2445983887,-0.5018646121,-0.1671753824,biking
60,1.55965355956e+45,0.2478254884,-0.3647867739,0.8780725002,biking
61,1.55965355956e+45,0.6974059343,0.2849041522,0.619402051,biking
62,1.55965355956e+45,-0.01785272919,-0.1491436064,-0.4143004417,biking
63,1.55965355956e+45,-0.2414847016,-0.2036198676,0.1318086088,biking
64,1.55965355956e+45,-0.128275916,-0.08209328353,-0.10298343,biking
65,1.55965355956e+45,-0.8065418005,0.385273993,-0.8514740467,biking
66,1.55965355956e+45,-0.1077628583,-0.4478640556,0.1469123065,biking
67,1.55965355956e+45,0.4192662239,-0.01675977372,-0.1439299732,biking
68,1.55965355956e+45,-0.2749732137,0.2323862761,-0.2253795266,biking
69,1.55965355956e+45,-0.1592345089,-0.174317643,0.07440751791,biking
70,1.55965355956e+45,0.7921485901,-1.474775314,0.7235179543,biking
71,1.55965355956e+45,0.6268306375,0.2522549927,0.05415492877,biking
72,1.55965355956e+45,-0.8952468634,0.936378479,-0.7680254579,biking
73,1.55965355956e+45,-0.3913917243,1.18205893,-0.142172277,biking
74,1.55965355956e+45,0.6160951853,-0.3766064346,0.3803524375,biking
75,1.55965355956e+45,0.09576974064,-0.4647172391,-0.02164316177,biking
76,1.55965355956e+45,-0.5120952725,0.2348303944,-0.7841484547,biking
77,1.55965355956e+45,-0.19862625,-0.5156428218,-0.02474696189,biking
78,1.55965355956e+45,-0.06685156375,-0.5411074758,-0.03663844615,biking
79,1.55965355956e+45,0.08287423104,-0.2294992059,0.0615310967,biking
80,1.55965355956e+45,0.08954645693,0.09973592311,-0.1778169423,biking
81,1.55965355956e+45,-0.4319391549,1.087047577,-0.1999867111,biking
82,1.55965355956e+45,0.1353858709,-1.400069118,0.6246411204,biking
83,1.55965355956e+45,0.3089905679,-0.5948740244,-0.644615829,biking
84,1.55965355956e+45,0.1287658811,0.1511959583,0.1270428896,biking
85,1.55965355956e+45,-0.1014913768,0.8048787713,0.2623051703,biking
86,1.55965355956e+45,-0.379440248,0.2490977347,0.02270108834,biking
87,1.55965355956e+45,0.225111559,-0.1645663083,0.6798025966,biking
88,1.55965355956e+45,0.3954823613,-0.6420460343,0.2938127518,biking
89,1.55965355956e+45,-0.03634599596,-0.0974431783,-0.7826436162,biking
90,1.55965355956e+45,-0.4407685399,0.7076016068,-0.5989208817,biking
91,1.55965355956e+45,-0.2334263623,-0.3820769787,0.07194063812,biking
92,1.55965355956e+45,0.1550422907,-0.559553504,0.3021799624,biking
93,1.55965355956e+45,0.2672387362,0.1321280599,0.7548069954,biking
94,1.55965355956e+45,-0.09621740878,0.06670793146,-0.5376328826,biking
