,Time (s),X (hPa)
222,1.55965378575e+18,1009.544983
223,1.55965378679e+18,1009.543457
224,1.55965378783e+18,1009.541168
225,1.55965378886e+18,1009.537125
226,1.5596537899e+18,1009.537125
227,1.55965379094e+18,1009.537506
228,1.55965379198e+18,1009.538345
229,1.55965379302e+18,1009.542694
230,1.55965379406e+18,1009.547348
231,1.5596537951e+18,1009.549942
232,1.55965379614e+18,1009.556885
233,1.55965379718e+18,1009.564896
234,1.55965379822e+18,1009.571304
235,1.55965379926e+18,1009.5784
236,1.55965380029e+18,1009.581757
237,1.55965380133e+18,1009.581757
238,1.55965380237e+18,1009.580841
239,1.55965380341e+18,1009.576874
240,1.55965380445e+18,1009.572449
241,1.55965380549e+18,1009.572067
242,1.55965380653e+18,1009.569473
243,1.55965380757e+18,1009.5681
244,1.55965380861e+18,1009.566116
245,1.55965380965e+18,1009.561691
246,1.55965381069e+18,1009.557114
247,1.55965381173e+18,1009.549408
248,1.55965381276e+18,1009.540024
249,1.5596538138e+18,1009.532776
250,1.55965381484e+18,1009.526443
251,1.55965381588e+18,1009.520798
252,1.55965381692e+18,1009.520798
253,1.55965381796e+18,1009.521408
254,1.559653819e+18,1009.52179
255,1.55965382004e+18,1009.522324
256,1.55965382108e+18,1009.52179
257,1.55965382212e+18,1009.520645
258,1.55965382316e+18,1009.519424
259,1.5596538242e+18,1009.517288
260,1.55965382524e+18,1009.517288
261,1.55965382628e+18,1009.51767
262,1.55965382732e+18,1009.51767
263,1.55965382836e+18,1009.517136
264,1.5596538294e+18,1009.517136
265,1.55965383044e+18,1009.519424
266,1.55965383148e+18,1009.522705
267,1.55965383251e+18,1009.523468
268,1.55965383355e+18,1009.523926
269,1.55965383459e+18,1009.523926
270,1.55965383563e+18,1009.523926
271,1.55965383667e+18,1009.52179
272,1.55965383771e+18,1009.521408
273,1.55965383875e+18,1009.52179
274,1.55965383979e+18,1009.525146
275,1.55965384083e+18,1009.526291
276,1.55965384187e+18,1009.533997
277,1.55965384291e+18,1009.53537
