"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.319148758E1,-3.186146545E1,-1.252380371E0,-2.476531982E1
3.344106058E1,-3.186087036E1,-1.495254517E0,-2.474725342E1
3.369064383E1,-3.206829834E1,-1.284942627E0,-2.464916992E1
3.394018683E1,-3.238053894E1,-1.133224487E0,-2.487713623E1
3.418975883E1,-3.205729675E1,-1.359634399E0,-2.504772949E1
3.443933183E1,-3.224009705E1,-1.136871338E0,-2.469287109E1
3.468885071E1,-3.222557068E1,-1.251296997E0,-2.456152344E1
3.493842371E1,-3.191993713E1,-1.230987549E0,-2.474639893E1
3.518799671E1,-3.205395508E1,-1.181823730E0,-2.479052734E1
3.543753871E1,-3.241899109E1,-1.081573486E0,-2.484600830E1
3.568712858E1,-3.190458679E1,-1.060577393E0,-2.475976562E1
3.593670158E1,-3.214030457E1,-1.275131226E0,-2.482336426E1
3.618627358E1,-3.221315002E1,-1.271209717E0,-2.484307861E1
3.643581658E1,-3.191365051E1,-1.577606201E0,-2.460772705E1
3.668536700E1,-3.188217163E1,-1.103118896E0,-2.468310547E1
3.693494000E1,-3.259042358E1,-1.265167236E0,-2.454528809E1
3.718448200E1,-3.218963623E1,-1.267456055E0,-2.474774170E1
3.743405500E1,-3.214804077E1,-1.494979858E0,-2.488427734E1
3.768364538E1,-3.207781982E1,-1.357376099E0,-2.464263916E1
3.793318738E1,-3.189851379E1,-1.383148193E0,-2.472216797E1
3.818276037E1,-3.237487793E1,-1.214660645E0,-2.451428223E1
3.843233337E1,-3.224877930E1,-1.167144775E0,-2.469323730E1
3.868188908E1,-3.199021912E1,-1.319091797E0,-2.459692383E1
3.893143208E1,-3.195303345E1,-1.101776123E0,-2.481591797E1
3.918100408E1,-3.212973022E1,-1.206130981E0,-2.478576660E1
3.943057708E1,-3.229548645E1,-1.368225098E0,-2.485046387E1
3.968011908E1,-3.220190430E1,-8.703002930E-1,-2.458276367E1
3.992969512E1,-3.218367004E1,-9.802246094E-1,-2.459826660E1
4.017926813E1,-3.207060242E1,-1.203460693E0,-2.476995850E1
4.042881012E1,-3.184341431E1,-1.176788330E0,-2.457629395E1
4.067838312E1,-3.197230530E1,-1.151885986E0,-2.455346680E1
4.092792983E1,-3.170579529E1,-8.815307617E-1,-2.473266602E1
4.117750183E1,-3.234140015E1,-1.219070435E0,-2.476379395E1
4.142704483E1,-3.305465698E1,-1.063110352E0,-2.459301758E1
4.167661683E1,-3.220292664E1,-1.004730225E0,-2.446661377E1
4.192619033E1,-3.218786621E1,-1.575653076E0,-2.463177490E1
4.217573233E1,-3.209059143E1,-1.542892456E0,-2.442419434E1
4.242530533E1,-3.231437683E1,-1.079284668E0,-2.474188232E1
4.267487833E1,-3.194776917E1,-1.309707642E0,-2.454614258E1
4.292443796E1,-3.198672485E1,-1.345184326E0,-2.476379395E1
4.317401096E1,-3.239573669E1,-1.359161377E0,-2.441955566E1
4.342358396E1,-3.247030640E1,-1.083908081E0,-2.478540039E1
4.367315596E1,-3.229257202E1,-1.010482788E0,-2.451568604E1
4.392268000E1,-3.208683777E1,-1.230194092E0,-2.473217773E1
4.417225200E1,-3.213209534E1,-1.076965332E0,-2.473858643E1
4.442182500E1,-3.243292236E1,-1.091003418E0,-2.498657227E1
4.467136700E1,-3.203872681E1,-1.314712524E0,-2.453662109E1
4.492095287E1,-3.206320190E1,-1.234008789E0,-2.437158203E1
4.517052588E1,-3.193490601E1,-1.105438232E0,-2.466918945E1
4.542009888E1,-3.198052979E1,-1.057678223E0,-2.485510254E1
4.566964087E1,-3.202636719E1,-1.036315918E0,-2.513909912E1
4.591919358E1,-3.210151672E1,-1.296951294E0,-2.475598145E1
4.616876558E1,-3.194430542E1,-1.344802856E0,-2.464501953E1
4.641830858E1,-3.241632080E1,-1.365890503E0,-2.458422852E1
4.666788058E1,-3.248353577E1,-1.145568848E0,-2.460559082E1
4.691745688E1,-3.237548828E1,-1.125076294E0,-2.459399414E1
4.716699887E1,-3.188546753E1,-1.401763916E0,-2.501068115E1
4.741657188E1,-3.245310974E1,-1.123794556E0,-2.495471191E1
4.766614488E1,-3.215191650E1,-1.210586548E0,-2.461163330E1
4.791569713E1,-3.207559204E1,-9.806060791E-1,-2.458282471E1
4.816523913E1,-3.220069885E1,-1.435424805E0,-2.450720215E1
4.841481213E1,-3.217543030E1,-1.139251709E0,-2.486950684E1
4.866438413E1,-3.209619141E1,-1.397689819E0,-2.472375488E1
4.891394696E1,-3.206831360E1,-1.197036743E0,-2.488830566E1
4.916351896E1,-3.207717896E1,-1.270477295E0,-2.457946777E1
4.941309196E1,-3.215476990E1,-1.356445312E0,-2.439654541E1
4.966266496E1,-3.224676514E1,-1.249771118E0,-2.474249268E1
4.991217825E1,-3.204393005E1,-1.284103394E0,-2.413275146E1
5.016175125E1,-3.201783752E1,-1.150680542E0,-2.489562988E1
5.041132425E1,-3.172650146E1,-1.354660034E0,-2.484051514E1
5.066086625E1,-3.167778015E1,-1.341369629E0,-2.471759033E1
5.091044733E1,-3.199958801E1,-1.278762817E0,-2.482849121E1
5.116001933E1,-3.201072693E1,-1.144241333E0,-2.507611084E1
5.140959233E1,-3.213220215E1,-1.349822998E0,-2.472705078E1
5.165913433E1,-3.234103394E1,-1.317092896E0,-2.486816406E1
5.190870408E1,-3.212414551E1,-1.394638062E0,-2.477716064E1
5.215827708E1,-3.210113525E1,-1.504241943E0,-2.481652832E1
5.240781908E1,-3.196641541E1,-1.523986816E0,-2.472814941E1
5.265739208E1,-3.184686279E1,-1.353973389E0,-2.472521973E1
5.290694971E1,-3.211807251E1,-1.734207153E0,-2.476739502E1
5.315652171E1,-3.198101807E1,-1.696899414E0,-2.459765625E1
5.340606371E1,-3.196449280E1,-1.403076172E0,-2.475671387E1
5.365563671E1,-3.178192139E1,-1.481796265E0,-2.467871094E1
5.390521983E1,-3.188352966E1,-1.750762939E0,-2.486895752E1
5.415476183E1,-3.210649109E1,-1.567474365E0,-2.479296875E1
5.440433483E1,-3.210386658E1,-1.105850220E0,-2.501159668E1
5.465390783E1,-3.217764282E1,-1.443771362E0,-2.496777344E1
5.490346763E1,-3.205155945E1,-1.239959717E0,-2.494732666E1
5.515301062E1,-3.265739441E1,-1.327285767E0,-2.451599121E1
5.540258262E1,-3.208978271E1,-1.736968994E0,-2.492944336E1
5.565215563E1,-3.187292480E1,-1.499328613E0,-2.488964844E1
5.590170400E1,-3.194740295E1,-1.226867676E0,-2.482092285E1
5.615127700E1,-3.213139343E1,-1.194046021E0,-2.482971191E1
5.640085000E1,-3.207023621E1,-1.279541016E0,-2.480261230E1
5.665042300E1,-3.204360962E1,-1.480300903E0,-2.490759277E1
5.689994758E1,-3.200665283E1,-1.106994629E0,-2.490429688E1
5.714952058E1,-3.218312073E1,-1.277343750E0,-2.452203369E1
5.739909258E1,-3.211492920E1,-1.278396606E0,-2.473040771E1
5.764863558E1,-3.253805542E1,-1.504196167E0,-2.461315918E1
5.789822013E1,-3.214393616E1,-1.630416870E0,-2.478302002E1
5.814779313E1,-3.193125916E1,-1.712524414E0,-2.453051758E1
5.839736612E1,-3.205268860E1,-1.479034424E0,-2.452960205E1
5.864690813E1,-3.195567322E1,-1.459716797E0,-2.481707764E1
5.889646546E1,-3.195005798E1,-1.434738159E0,-2.477416992E1
5.914603846E1,-3.200257874E1,-1.496078491E0,-2.449523926E1
5.939561046E1,-3.223994446E1,-1.459793091E0,-2.490332031E1
5.964515346E1,-3.207202148E1,-1.315032959E0,-2.485797119E1
5.989470671E1,-3.176460266E1,-1.237106323E0,-2.451562500E1
6.014427971E1,-3.188591003E1,-1.264617920E0,-2.483807373E1
6.039382171E1,-3.197074890E1,-1.480789185E0,-2.469677734E1
6.064339471E1,-3.228521729E1,-1.434646606E0,-2.462133789E1
6.089297858E1,-3.197509766E1,-1.139572144E0,-2.498779297E1
6.114255158E1,-3.220896912E1,-1.510116577E0,-2.480987549E1
6.139209358E1,-3.212652588E1,-1.451675415E0,-2.507421875E1
6.164166658E1,-3.235240173E1,-1.614715576E0,-2.435754395E1
6.189124696E1,-3.224780273E1,-1.661087036E0,-2.468341064E1
6.214078996E1,-3.216304016E1,-1.878570557E0,-2.475659180E1
6.239036196E1,-3.187522888E1,-1.300720215E0,-2.507550049E1
6.263993496E1,-3.196636963E1,-1.479171753E0,-2.451324463E1
6.288948896E1,-3.208007812E1,-1.244979858E0,-2.500805664E1
6.313903096E1,-3.204745483E1,-1.201171875E0,-2.476177979E1
6.338860396E1,-3.221374512E1,-1.637985229E0,-2.442303467E1
6.363817696E1,-3.245500183E1,-1.393493652E0,-2.458599854E1
6.388776008E1,-3.215328979E1,-1.377395630E0,-2.469671631E1
6.413730308E1,-3.211938477E1,-1.305648804E0,-2.443640137E1
6.438687508E1,-3.232878113E1,-1.473861694E0,-2.451513672E1
6.463644808E1,-3.214404297E1,-1.471618652E0,-2.470959473E1
6.488596150E1,-3.203967285E1,-1.458663940E0,-2.444165039E1
6.513553450E1,-3.209458923E1,-1.354873657E0,-2.451794434E1
6.538510750E1,-3.205850220E1,-1.285446167E0,-2.482147217E1
6.563468050E1,-3.224702454E1,-1.480636597E0,-2.482562256E1
6.588421796E1,-3.197219849E1,-1.890838623E0,-2.458032227E1
6.613379096E1,-3.243913269E1,-1.511352539E0,-2.486950684E1
6.638336296E1,-3.224473572E1,-1.385009766E0,-2.463092041E1
6.663293596E1,-3.196478271E1,-1.455429077E0,-2.486077881E1
6.688249221E1,-3.200653076E1,-1.342712402E0,-2.476898193E1
6.713206521E1,-3.208300781E1,-1.462402344E0,-2.455645752E1
6.738163821E1,-3.213206482E1,-1.362960815E0,-2.463458252E1
6.763118021E1,-3.188893127E1,-1.385787964E0,-2.449389648E1
6.788075521E1,-3.223780823E1,-1.331222534E0,-2.467608643E1
6.813032821E1,-3.208697510E1,-1.469116211E0,-2.459057617E1
6.837990021E1,-3.196432495E1,-1.286621094E0,-2.462310791E1
6.862944321E1,-3.222027588E1,-1.484405518E0,-2.455804443E1
6.887900746E1,-3.219996643E1,-1.505645752E0,-2.478295898E1
6.912858046E1,-3.192329407E1,-1.540908813E0,-2.472619629E1
6.937815346E1,-3.181646729E1,-1.185211182E0,-2.484106445E1
6.962769546E1,-3.200949097E1,-1.357696533E0,-2.473699951E1
6.987726088E1,-3.187893677E1,-1.499237061E0,-2.476373291E1
7.012683388E1,-3.194625854E1,-1.113800049E0,-2.471319580E1
7.037637587E1,-3.199667358E1,-1.487838745E0,-2.467224121E1
7.062594888E1,-3.222180176E1,-1.330612183E0,-2.449963379E1
7.087550283E1,-3.188293457E1,-9.631500244E-1,-2.457446289E1
7.112507583E1,-3.220787048E1,-1.070999146E0,-2.451635742E1
7.137461783E1,-3.230636597E1,-1.452438354E0,-2.486706543E1
7.162419083E1,-3.219635010E1,-1.529617310E0,-2.484039307E1
7.187378033E1,-3.210189819E1,-1.450454712E0,-2.464416504E1
7.212335333E1,-3.206878662E1,-1.428268433E0,-2.439367676E1
7.237289533E1,-3.207002258E1,-1.331665039E0,-2.479156494E1
7.262246833E1,-3.187413025E1,-1.087203979E0,-2.498370361E1
7.287201458E1,-3.202482605E1,-1.269744873E0,-2.437048340E1
7.312155758E1,-3.215461731E1,-1.022857666E0,-2.467517090E1
7.337112958E1,-3.207731628E1,-1.136764526E0,-2.485974121E1
7.362070258E1,-3.214398193E1,-1.442977905E0,-2.462158203E1
7.387028596E1,-3.174729919E1,-1.558715820E0,-2.445483398E1
7.411982796E1,-3.195755005E1,-1.364685059E0,-2.472106934E1
7.436940096E1,-3.178036499E1,-1.415878296E0,-2.474182129E1
7.461897396E1,-3.175679016E1,-1.362258911E0,-2.449841309E1
7.486852696E1,-3.187185669E1,-1.168655396E0,-2.486383057E1
7.511806996E1,-3.202185059E1,-1.588943481E0,-2.478222656E1
7.536764196E1,-3.213191223E1,-1.265380859E0,-2.460113525E1
7.561721496E1,-3.217628479E1,-1.207656860E0,-2.467553711E1
7.586677896E1,-3.238885498E1,-1.515167236E0,-2.465429688E1
7.611632096E1,-3.193229675E1,-1.329010010E0,-2.449938965E1
7.636589396E1,-3.203289795E1,-1.294982910E0,-2.440447998E1
7.661546696E1,-3.190336609E1,-1.342391968E0,-2.464379883E1
7.686501537E1,-3.225480652E1,-1.161102295E0,-2.458557129E1
7.711458837E1,-3.208692932E1,-1.245239258E0,-2.464093018E1
7.736416038E1,-3.209327698E1,-1.406005859E0,-2.469104004E1
7.761373338E1,-3.178720093E1,-1.305725098E0,-2.468750000E1
7.786326387E1,-3.211541748E1,-1.368576050E0,-2.478027344E1
7.811283687E1,-3.266362000E1,-1.316085815E0,-2.476232910E1
7.836240988E1,-3.197888184E1,-1.222183228E0,-2.478289795E1
7.861198288E1,-3.216870117E1,-1.574066162E0,-2.460656738E1
7.886153271E1,-3.213223267E1,-1.415893555E0,-2.459167480E1
7.911110571E1,-3.194842529E1,-1.596984863E0,-2.482531738E1
7.936067771E1,-3.215533447E1,-1.465820312E0,-2.462255859E1
7.961025071E1,-3.212315369E1,-1.237991333E0,-2.494689941E1
7.985977233E1,-3.185202026E1,-1.258300781E0,-2.480645752E1
8.010934533E1,-3.191030884E1,-1.138397217E0,-2.476098633E1
8.035891833E1,-3.189585876E1,-1.054367065E0,-2.454144287E1
8.060846033E1,-3.210362244E1,-1.565490723E0,-2.478265381E1
8.085804475E1,-3.206547546E1,-1.148696899E0,-2.474609375E1
8.110761775E1,-3.193008423E1,-1.419982910E0,-2.468225098E1
8.135718975E1,-3.219818115E1,-1.032485962E0,-2.471728516E1
8.160673275E1,-3.228306580E1,-1.504776001E0,-2.461694336E1
8.185629046E1,-3.225065613E1,-1.364486694E0,-2.471508789E1
8.210586346E1,-3.216650391E1,-1.280929565E0,-2.462353516E1
8.235543646E1,-3.237507629E1,-1.407012939E0,-2.453491211E1
8.260497846E1,-3.207505798E1,-1.245285034E0,-2.476080322E1
8.285455721E1,-3.220887756E1,-1.441513062E0,-2.484619141E1
8.310413021E1,-3.205694580E1,-1.308868408E0,-2.460205078E1
8.335370221E1,-3.219131470E1,-1.185043335E0,-2.475292969E1
8.360324521E1,-3.233631897E1,-1.373840332E0,-2.464434814E1
8.385279821E1,-3.192579651E1,-1.492218018E0,-2.460949707E1
8.410237121E1,-3.222958374E1,-1.542602539E0,-2.447271729E1
8.435194421E1,-3.282121277E1,-1.410644531E0,-2.447387695E1
8.460148621E1,-3.185604858E1,-1.705444336E0,-2.460858154E1
8.485107421E1,-3.190324402E1,-1.345657349E0,-2.492279053E1
8.510064721E1,-3.191419983E1,-1.342666626E0,-2.462701416E1
8.535018921E1,-3.228498840E1,-1.590499878E0,-2.479827881E1
8.559976221E1,-3.200051880E1,-1.256912231E0,-2.455761719E1
8.584932388E1,-3.186970520E1,-1.386459351E0,-2.456384277E1
8.609889688E1,-3.207315063E1,-1.205657959E0,-2.481896973E1
8.634843888E1,-3.205468750E1,-1.299758911E0,-2.469116211E1
8.659801188E1,-3.238378906E1,-9.440765381E-1,-2.462292480E1
8.684759133E1,-3.217999268E1,-1.184036255E0,-2.485144043E1
8.709716433E1,-3.197105408E1,-1.212615967E0,-2.453613281E1
8.734670633E1,-3.188368225E1,-1.369155884E0,-2.459777832E1
8.759627933E1,-3.203875732E1,-1.366241455E0,-2.445617676E1
8.784583933E1,-3.214021301E1,-1.318893433E0,-2.452502441E1
8.809541233E1,-3.209838867E1,-1.426040649E0,-2.454156494E1
8.834495433E1,-3.232473755E1,-1.403762817E0,-2.455255127E1
8.859452733E1,-3.220776367E1,-1.007858276E0,-2.455609131E1
8.884409563E1,-3.223603821E1,-1.089584351E0,-2.471923828E1
8.909366862E1,-3.185945129E1,-1.466171265E0,-2.487280273E1
8.934321063E1,-3.212895203E1,-1.501586914E0,-2.468798828E1
8.959278363E1,-3.188598633E1,-1.194335938E0,-2.461627197E1
8.984234158E1,-3.365113831E1,-1.360061646E0,-2.470556641E1
9.009191458E1,-3.203445435E1,-1.579467773E0,-2.475854492E1
9.034145658E1,-3.164505005E1,-1.344879150E0,-2.474450684E1
9.059102958E1,-3.214100647E1,-1.132415771E0,-2.481506348E1
9.084059900E1,-3.225784302E1,-1.315368652E0,-2.454516602E1
9.109014100E1,-3.208761597E1,-1.163192749E0,-2.473315430E1
9.133971400E1,-3.231948853E1,-1.564559937E0,-2.458782959E1
9.158928700E1,-3.251602173E1,-8.723144531E-1,-2.472125244E1
9.183886008E1,-3.236038208E1,-1.123229980E0,-2.437963867E1
9.208840308E1,-3.267488098E1,-1.342529297E0,-2.469592285E1
9.233797508E1,-3.263745117E1,-9.719543457E-1,-2.461132812E1
9.258754808E1,-3.230941772E1,-1.310394287E0,-2.493823242E1
9.283713246E1,-3.200889587E1,-8.924102783E-1,-2.464599609E1
9.308667446E1,-3.192930603E1,-1.196502686E0,-2.458282471E1
9.333624746E1,-3.233444214E1,-1.181365967E0,-2.454827881E1
9.358582046E1,-3.185580444E1,-1.667282104E0,-2.491748047E1
9.383538125E1,-3.256979370E1,-6.450347900E-1,-2.453198242E1
9.408492425E1,-3.250378418E1,-1.112228394E0,-2.475097656E1
9.433449625E1,-3.221116638E1,-9.000091553E-1,-2.471826172E1
9.458406925E1,-3.216226196E1,-1.090682983E0,-2.454064941E1
9.483362475E1,-3.243173218E1,-8.559265137E-1,-2.459338379E1
9.508316675E1,-3.206301880E1,-1.185394287E0,-2.422814941E1
9.533273975E1,-3.186178589E1,-1.202590942E0,-2.461560059E1
9.558231275E1,-3.212840271E1,-8.560180664E-1,-2.463793945E1
9.583189713E1,-3.189401245E1,-1.276107788E0,-2.458172607E1
9.608144013E1,-3.191932678E1,-1.365036011E0,-2.456500244E1
9.633101213E1,-3.213192749E1,-1.322875977E0,-2.465332031E1
9.658058513E1,-3.236946106E1,-1.014495850E0,-2.469201660E1
9.683014146E1,-3.192193604E1,-7.185821533E-1,-2.463574219E1
9.707968346E1,-3.207943726E1,-1.347198486E0,-2.444677734E1
9.732925646E1,-3.212213135E1,-1.344146729E0,-2.478704834E1
9.757882946E1,-3.237542725E1,-1.203903198E0,-2.483789062E1
9.782841213E1,-3.241638184E1,-1.141128540E0,-2.454345703E1
9.807795513E1,-3.189689636E1,-1.351409912E0,-2.476013184E1
9.832752713E1,-3.214268494E1,-1.107955933E0,-2.475439453E1
9.857710013E1,-3.190948486E1,-1.342315674E0,-2.461816406E1
