"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.586904363E1,-7.170089722E-2,-6.316864014E-2,9.853260040E0
5.627093600E1,-6.212081909E-2,-4.595443726E-2,9.861642609E0
5.667288300E1,-6.242019653E-2,-3.562591553E-2,9.858349457E0
5.707475158E1,-6.451583862E-2,-2.963836670E-2,9.867330780E0
5.747660758E1,-1.004411316E-1,-5.284011841E-2,9.866582336E0
5.787852358E1,-6.212081909E-2,-4.460723877E-2,9.878856812E0
5.828039213E1,-7.065307617E-2,-4.565505981E-2,9.855205994E0
5.868227813E1,-5.029541016E-2,-4.790039063E-2,9.869576111E0
5.908414846E1,-6.391708374E-2,-4.715194702E-2,9.875713348E0
5.948603446E1,-4.894821167E-2,-5.598358154E-2,9.880952454E0
5.988792046E1,-6.885681152E-2,-4.550537109E-2,9.887987823E0
6.028978771E1,-5.882766724E-2,-5.179229736E-2,9.877808990E0
6.069164271E1,-4.400848389E-2,-5.987548828E-2,9.868079224E0
6.109350958E1,-6.765930176E-2,-5.074447632E-2,9.871971130E0
6.149530358E1,-7.409591675E-2,-5.269042969E-2,9.871971130E0
6.189715858E1,-7.454498291E-2,-5.194198608E-2,9.884245605E0
6.229905296E1,-7.289840698E-2,-5.403762817E-2,9.864187317E0
6.270087796E1,-6.047424316E-2,-4.236190796E-2,9.868677979E0
6.310274496E1,-6.406677246E-2,-3.338058472E-2,9.868977356E0
6.350460096E1,-6.271957397E-2,-5.553451538E-2,9.855954437E0
6.390642596E1,-5.598358154E-2,-5.703140259E-2,9.870923309E0
6.430829208E1,-6.137237549E-2,-3.981719971E-2,9.854307861E0
6.471011708E1,-4.535568237E-2,-4.445755005E-2,9.879305878E0
6.511194450E1,-6.002517700E-2,-5.852828979E-2,9.857601013E0
6.551379950E1,-4.595443726E-2,-5.718109131E-2,9.858199768E0
6.591565550E1,-7.140151978E-2,-2.604583740E-2,9.856702881E0
6.631744496E1,-5.613327026E-2,-5.583389282E-2,9.876761169E0
6.671920896E1,-7.559280396E-2,-4.834945679E-2,9.864786072E0
6.712101721E1,-7.559280396E-2,-4.161346436E-2,9.887987823E0
