,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),label
70,1.55965326947e+18,52.09749905,5.132453553,2.290676117,2.74000001,35.15625,10.0,10.0,biking
71,1.55965327047e+18,52.09752852,5.132479118,2.327541351,2.890000105,24.9609375,10.0,10.0,biking
72,1.55965327147e+18,52.09756368,5.132504012,2.580776215,3.789999962,22.8515625,10.0,10.0,biking
73,1.55965327247e+18,52.09759427,5.132523626,2.935024261,2.789999962,25.3125,10.0,10.0,biking
74,1.55965327347e+18,52.09762327,5.132544665,2.897609711,3.650000095,27.0703125,10.0,10.0,biking
75,1.55965327447e+18,52.097655,5.132568972,2.904689789,3.650000095,27.7734375,10.0,10.0,biking
76,1.55965327547e+18,52.09768413,5.132581964,2.557949066,3.650000095,19.6875,10.0,10.0,biking
77,1.55965327647e+18,52.09771304,5.132590095,2.604701996,3.150000095,17.2265625,10.0,10.0,biking
78,1.55965327747e+18,52.09773433,5.132599901,2.918422699,2.349999905,19.6875,10.0,10.0,biking
79,1.55965327847e+18,52.09775177,5.132610211,3.014492035,2.349999905,21.796875,10.0,10.0,biking
80,1.55965327947e+18,52.0977648,5.132625382,2.843532562,2.25,26.71875,10.0,10.0,biking
81,1.55965328047e+18,52.09778303,5.132638039,2.710231781,2.25,24.609375,10.0,10.0,biking
82,1.55965328147e+18,52.09780164,5.132645248,2.842861176,2.109999895,22.1484375,10.0,10.0,biking
83,1.55965328247e+18,52.09782243,5.132656228,2.431484222,2.180000067,18.28125,10.0,10.0,biking
84,1.55965328347e+18,52.09784309,5.132666621,2.449611664,2.180000067,18.6328125,10.0,10.0,biking
85,1.55965328447e+18,52.09787326,5.132678859,2.517360687,2.180000067,17.9296875,10.0,10.0,biking
86,1.55965328547e+18,52.09790654,5.13269227,2.535182953,3.190000057,16.171875,10.0,10.0,biking
87,1.55965328647e+18,52.09792854,5.132702496,2.513881683,3.190000057,15.1171875,10.0,10.0,biking
88,1.55965328747e+18,52.09795767,5.13271532,2.65896225,3.329999924,17.2265625,10.0,10.0,biking
89,1.55965328847e+18,52.09799807,5.132728564,2.592006683,3.49000001,14.0625,10.0,10.0,biking
90,1.55965328947e+18,52.09803239,5.132740047,2.605251312,3.49000001,12.3046875,10.0,10.0,biking
91,1.55965329047e+18,52.09815448,5.132837696,1.495326996,3.49000001,4.921875,10.0,10.0,biking
92,1.55965329147e+18,52.09819023,5.132855717,1.173305511,2.859999895,7.03125,10.0,10.0,biking
93,1.55965329247e+18,52.09821667,5.132855801,1.34469223,2.609999895,348.046875,10.0,10.0,biking
94,1.55965329347e+18,52.0982297,5.132844988,0.9957542419,2.609999895,320.2734375,10.0,10.0,biking
95,1.55965329447e+18,52.0982082,5.132825626,1.019374847,1.629999995,249.9609375,10.0,10.0,biking
96,1.55965329547e+18,52.09822266,5.132847168,1.045131683,1.629999995,339.609375,10.0,10.0,biking
97,1.55965329647e+18,52.09827363,5.132889915,1.529689789,1.629999995,21.09375,10.0,10.0,biking
98,1.55965329747e+18,52.09831189,5.132903242,1.558986664,3.569999933,13.7109375,10.0,10.0,biking
99,1.55965329847e+18,52.09835116,5.132928221,1.695766449,4.050000191,21.796875,10.0,10.0,biking
100,1.55965329947e+18,52.09839256,5.132957138,1.478237152,3.650000095,27.0703125,10.0,10.0,biking
