,acc_X (m/s^2),acc_Y (m/s^2),acc_Z (m/s^2),bar_X (hPa),gyr_X (rad/s),gyr_Y (rad/s),gyr_Z (rad/s),mag_X (muT),mag_Y (muT),mag_Z (muT),loc_Latitude (degree),loc_Longitude (degree),loc_Height (m),loc_Velocity (m/s),loc_Direction (degree),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (degree),labelNothing,labelWalking,labelClimbingstairs,labelBiking,labelTrain
2019-06-04 13:00:10.500,,,,,-0.0003341203555,-0.0005254363641,0.0005137436092,-31.86317444,-1.498733521,-24.97692871,,,,,,,,1,0,0,0,0
2019-06-04 13:00:10.750,-0.07304809570000001,-0.048948211669999991,9.8573016360000008,,-0.0005040415563,0.00136890728,-0.0001097014174,-32.36149597,-1.457427979,-24.55493164,,,,,,,,1,0,0,0,0
2019-06-04 13:00:11.000,-0.053887939450000005,-0.059725799560000001,9.8546072389999999,,-0.0003080009483,0.001883807592,0.001100177877,-31.90063477,-1.516891479,-24.76391602,,,,,,,,1,0,0,0,0
2019-06-04 13:00:11.250,,,,,0.000678632874,-1.239683479e-05,-0.000331372954,-31.97180176,-1.360992432,-24.86364746,,,,,,,,1,0,0,0,0
2019-06-04 13:00:11.500,-0.066761169430000003,-0.062120819090000001,9.864486694,1010.112152,-0.00120735541,-8.967425674e-05,0.001470840536,-32.11956787,-1.175933838,-24.79724121,,,,,,,,1,0,0,0,0
2019-06-04 13:00:11.750,,,,,-0.0006680041552,0.002872808836,0.00011732243,-32.03410339,-1.284179688,-24.52429199,,,,,,,,1,0,0,0,0
2019-06-04 13:00:12.000,-0.065563659669999996,-0.027393035889999997,9.8555053709999996,,0.0003850227222,0.0005126679316,-0.001265473664,-31.990448,-1.146896362,-24.80932617,,,,,,,,1,0,0,0,0
2019-06-04 13:00:12.250,-0.076940002440000002,-0.039368133539999996,9.8725698850000008,,0.001051147934,0.0006446531042,0.0009294794872,-32.17559814,-1.484176636,-24.74371338,,,,,,,,1,0,0,0,0
2019-06-04 13:00:12.500,,,,1010.111237,-0.0006825886667,0.001315069385,-0.0006390931085,-31.75015259,-1.340576172,-24.76715088,,,,,,,,1,0,0,0,0
2019-06-04 13:00:12.750,-0.055235137939999998,-0.051043853760000001,9.8715220640000005,,-9.664846584e-05,-0.0004440052435,0.000258570537,-32.11802673,-1.19543457,-24.67858887,,,,,,,,1,0,0,0,0
2019-06-04 13:00:13.000,,,,,-0.004177123774,0.001134955324,0.0009040441364,-31.83982849,-1.351287842,-24.93896484,,,,,,,,1,0,0,0,0
2019-06-04 13:00:13.250,-0.078885955810000005,-0.057480468749999999,9.8562538150000005,,-0.0003296467476,-3.240164369e-05,-0.0002088369802,-32.37767029,-1.32649231,-24.80432129,,,,,,,,1,0,0,0,0
2019-06-04 13:00:13.500,-0.066312103270000006,-0.03128494263,9.8665823360000005,1010.109253,0.002084454987,0.0005947574973,-0.0004791105166,-31.67782593,-1.139221191,-24.73590088,,,,,,,,1,0,0,0,0
2019-06-04 13:00:13.750,,,,,-0.001695646904,-0.0006377641112,0.0003423439339,-31.71949768,-1.238296509,-24.89959717,,,,,,,,1,0,0,0,0
2019-06-04 13:00:14.000,-0.066761169430000003,-0.035925292969999995,9.8599960329999998,,-0.003448715666,0.002841494977,0.0003395071253,-31.956604,-1.364273071,-24.74658203,,,,,,,,1,0,0,0,0
2019-06-04 13:00:14.250,-0.057630157470000005,-0.034727783200000001,9.867929535,,0.003294630442,0.001009661704,-0.001138032414,-31.93179321,-1.234893799,-24.58850098,,,,,,,,1,0,0,0,0
2019-06-04 13:00:14.500,,,,1010.105362,0.0001582475379,-0.0003234986216,0.0002079727128,-31.77334595,-1.274169922,-24.62127686,,,,,,,,1,0,0,0,0
2019-06-04 13:00:14.750,-0.061522064209999998,-0.047151947019999994,9.8628401179999994,,0.0005820621736,-0.001280854456,0.001083855517,-31.72068787,-1.319732666,-25.1651001,,,,,,,,1,0,0,0,0
