,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),press_Pressure (hPa),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (muT),mag_Magnetic field y (muT),mag_Magnetic field z (muT),linacc_Linear Acceleration x (m/s^2),linacc_Linear Acceleration y (m/s^2),linacc_Linear Acceleration z (m/s^2),hr_Heart Rate,labeldribbelRun,labeldribbelStil,labelpassing,labelthrowing
2019-06-04 13:17:10.049999872,-3.418394367652104,-0.28573775281052655,4.7595032466342113,1021.85655505,0.439310975381,-0.530577299888,0.494261873581,18.4909087958,21.4199994693,-26.5599993212,-0.214191660665,-0.870612711659,-0.288702292882,,0,0,0,1
2019-06-04 13:17:12.049999872,-1.2404799178820511,7.0605322273333329,2.6966287232974357,1021.76525885,-0.341174900335,0.471942431206,-0.237435540405,-0.949411735215,-20.9947051865,-27.8170581852,1.02383787679,-0.175205216342,-1.18978670788,,0,0,0,1
2019-06-04 13:17:14.049999872,-3.0450765083947386,-1.6794577061989477,4.8320876186552626,1021.8328491,0.0435185152187,-0.484473066098,0.351046149142,22.2090903916,15.1345451064,-26.6163630058,-0.196864128131,-1.13708108329,-0.323137493696,,0,0,0,1
2019-06-04 13:17:16.049999872,-1.2500569895384614,3.0837645850897419,1.8278139268794871,1021.75316155,-0.246412462666,0.438705087843,-0.975611365039,-4.25999987136,-22.8545449942,-25.0290903033,2.3233701968,-2.98659831105,-2.13848864596,101.0,0,0,0,1
2019-06-04 13:17:18.049999872,-0.73006479831473692,-9.9311368838684189,1.5646585852679735,1021.791272,-0.296026102962,-0.372250692942,-0.248871746683,-10.1964703969,40.510587355,-0.494117652806,-0.0271247191933,-0.941194610146,-1.04978415098,,0,0,0,1
2019-06-04 13:17:20.049999872,-6.9011594715333313,-5.4574117645743598,3.1288260720341028,1021.82623295,-0.228525085019,0.856051362045,0.558725507962,4.88909071121,26.749090311,-17.552726944,-0.129043115388,-0.331962234837,-0.206696899488,99.0,0,0,0,1
2019-06-04 13:17:22.049999872,3.8469065724605258,6.7830435654763157,0.014554664107894685,1021.83120115,0.324612992031,-0.778685040039,0.77188409227,-1.96727270461,-20.7036359014,-23.9527266524,0.607389103226,-1.39752680075,-0.25590006344,,0,0,0,1
2019-06-04 13:17:24.049999872,-2.3322756978473684,-8.2555224895263173,4.8170289241052622,1021.776306,-1.11216514725,0.766301149126,-0.378874337306,-9.27529384891,23.128234851,-10.8864704579,-0.254443861133,-2.0806888271,-0.145619271437,,0,0,0,1
2019-06-04 13:17:26.049999872,-1.1315711420461543,4.0206013522923074,2.3485994269307691,1021.8654784,0.493790496609,-0.298512778001,1.00269469062,10.5927269698,0.680000130879,-27.2945448842,2.03675745493,-1.87785253758,-0.86520179103,,0,0,0,1
2019-06-04 13:17:28.049999872,-0.74865192448421036,-4.4422618566500001,3.7525847421981577,1021.7125489,-1.27443930109,0.39142734287,-0.444316470634,-8.70882334195,4.36588249391,-15.8011760435,0.0370719234521,-1.71626091719,-0.395952804482,100.0,0,0,0,1
2019-06-04 13:17:30.049999872,-2.9534300596666663,0.20805630522820495,2.5798004322387178,1021.8552246,0.624101843409,-0.523720929765,0.750787804913,12.0109088815,24.0927267215,-16.199999683,-0.544541974257,-0.779129596324,-0.833415010405,,0,0,0,1
2019-06-04 13:17:32.049999872,-0.70587001988421039,2.6998599108131582,2.2829410387052631,1021.75306405,-0.654829035187,0.672473601951,-0.0636348964908,-8.30117634801,-15.6582351145,-19.1594113882,-0.773862802603,-2.57193072663,-0.699193542536,97.0,0,0,0,1
2019-06-04 13:17:34.049999872,-5.1452351884692309,-1.1214414964441028,4.5380716515102568,1021.87052,0.598633465156,-0.208921705922,0.389500166211,26.60181768,29.6418173173,-11.5109088679,-1.20417998062,-0.0533786109336,-0.447127544561,,0,0,0,1
2019-06-04 13:17:36.049999872,-0.97302064991315806,0.28542268305526292,5.5334210753605273,1021.79843755,-1.16313324186,0.152112868141,-0.371285926341,5.47272708458,-14.0781815595,-33.3854537736,2.05314986755,-1.93787401548,-1.28144515259,,0,0,0,1
2019-06-04 13:17:38.049999872,-0.67997404703076925,-9.6410080103333335,1.933837355666667,1021.868628,-0.111802832216,0.174341409325,-0.0398754497151,-12.5435291313,41.5499994615,5.03470576866,0.332501165336,-0.930710987595,-0.142856485913,99.0,0,0,0,1
2019-06-04 13:17:40.049999872,-1.7904764986236843,-8.8176100504736841,3.0810536522894738,1021.91501465,0.195189934418,0.288978801606,0.148833686157,-12.6327270164,41.1854534721,2.34727270677,-0.0346841821212,-0.0657280719658,0.158117955377,,0,0,0,1
2019-06-04 13:17:42.049999872,-1.7767975573743593,3.4446247600564104,0.86089525916666676,1021.8872925,0.516213638688,-0.546589221308,0.944463389046,14.4345452353,5.4836363137,-26.494544983,0.358593513025,-1.41798274666,0.292968679893,98.0,0,0,0,1
2019-06-04 13:17:44.049999872,1.0756594170789475,1.5088342333947367,3.1083987857763162,1021.7368162,-1.07774070108,0.598157008421,-0.357477153937,-17.5729408837,-15.4782349853,-15.4976467669,-0.215067856209,-1.85115762174,-1.22813989539,,0,0,0,1
2019-06-04 13:17:46.049999872,0.98134564977692318,1.8849695826871795,0.99749175336589757,1021.84672855,0.943020491679,-0.431245351764,0.971325800224,6.49636361842,2.28909109958,-22.0163629912,0.321031534439,-1.59505551886,-0.970463080973,,0,0,0,1
2019-06-04 13:17:48.049999872,1.2031860833999997,-3.3223713324473683,2.9708539841100006,1021.7386231,-1.50748440842,0.709704212892,-0.508618072264,-18.7145449935,0.270909264889,-10.170908897,-0.797397110368,-0.985274693601,-0.527675260479,101.0,0,0,0,1
2019-06-04 13:17:50.049999872,-1.1676694013307691,-9.4020715981538459,2.7789549491794876,1021.79810785,0.000627704707897,0.157660087494,-0.00107767610762,-11.5570586147,42.9511755765,4.55470576706,0.0413036382515,-0.181326056962,-0.342028003711,,0,0,0,1
2019-06-04 13:17:52.049999872,-0.99904268342631608,3.3028391365999998,2.5584716191157892,1021.85053705,0.84048868121,-0.206448994566,1.12408005097,4.86545452158,6.02181805964,-23.9636357637,0.294924496962,-0.187058773837,-0.0794878152581,102.0,0,0,0,1
2019-06-04 13:17:54.049999872,-2.5293978524861536,-3.7214397603974363,3.6830085653076923,1021.754187,-1.32059549584,0.528079356306,-0.849882768387,3.62727255004,5.52363631527,-14.9818177258,0.458579493841,-1.4783494893,-1.52280459686,,0,0,0,1
2019-06-04 13:17:56.049999872,-1.0369730107665789,-9.2359781141052633,3.1622699750526313,1021.8754639,0.107739750085,-0.346546109062,0.14275718218,-12.1517643786,42.0829400447,4.55999985865,0.141379403357,-0.136711005013,-0.211560567227,,0,0,0,1
2019-06-04 13:17:58.049999872,0.55900019454736805,-1.7919256796236842,7.448084859447369,1021.8979858,0.494915787744,-0.366479594384,0.238904164203,-1.93454540514,24.5909086282,-29.1327266037,0.277804983403,0.00785353957485,-0.32515405167,103.0,0,0,0,1
2019-06-04 13:18:00.049999872,-0.761502189669231,4.9200506046897425,2.65924123434641,1021.7508544,-0.0746183861615,0.345289688072,-0.0129817285826,-2.15090907822,-13.2290906915,-30.0527263406,-0.631720199443,-1.65156839801,-0.893932631554,,0,0,0,1
2019-06-04 13:18:02.049999872,-4.272898424838421,-6.2169865337894734,5.3855431425000004,1021.8238281,-0.2421252782,0.340854128867,-0.0541182576655,7.52999981493,31.5458816131,-16.3835290526,-0.471028559149,-0.941031365688,-0.171797889673,102.0,0,0,0,1
2019-06-04 13:18:04.049999872,-0.22567579495333306,4.754415776510255,3.321104743858974,1021.80334465,-0.0928033465199,0.0921408814128,0.160222090559,8.44727248728,-14.3454541662,-28.1636359479,2.34640173312,-2.22623628012,-1.90046750764,,0,0,0,1
2019-06-04 13:18:06.049999872,-2.1808063123581576,-8.3623198232315783,3.662484322684211,1021.82008055,-0.659603448427,-0.224389128556,-0.466982778955,6.90363602276,31.2072720457,-3.85090893172,0.00901339685382,-0.889508257888,-0.473640336776,,0,0,0,1
2019-06-04 13:18:08.049999872,-2.7946098350002573,1.4974040097205126,4.9132360114761546,1021.85333245,0.667347964459,-0.245698926952,0.678627377118,13.5458820022,17.4705879228,-20.6752938224,1.17725059839,1.03138888233,0.0973781600258,104.0,0,0,0,1
2019-06-04 13:18:10.049999872,-2.6197776582631578,-1.3055728612131579,4.8709630809210536,1021.7883422,-1.0614563397,0.130009165434,-0.567936301674,0.0745454537012,-2.51272707288,-26.0327267362,-1.40838012248,-2.59624083618,-1.9951050775,,0,0,0,1
2019-06-04 13:18:12.049999872,-0.98822160535128234,3.0090509569564099,0.88054063855051279,1021.8214965,0.721276410636,-0.685380917822,0.89748944491,8.45294099952,9.48529376241,-22.9958820204,0.246723345772,-0.560278070651,-3.90662597861,102.0,0,0,0,1
2019-06-04 13:18:14.049999872,0.42233749896842088,-5.6680045473552632,3.3010749168068418,1021.70468755,-1.39765730508,0.615470206639,-0.354213843572,-13.9363632672,9.05818176242,-6.86363630639,-1.14840525303,-0.968407797055,-1.17653689239,,0,0,0,1
2019-06-04 13:18:16.049999872,-2.1185648026661545,1.5427110219615388,4.9723562825371799,1021.82667225,0.701431107578,-0.20865543648,0.717393807327,8.89090884412,16.6618176584,-20.0999995777,1.13925692882,1.00978138502,-0.810824825432,,0,0,0,1
2019-06-04 13:18:18.049999872,0.91896044516989461,-2.4458147161578947,3.1452580033815791,1021.76755355,-1.28395597983,0.398805966666,-0.28664892239,-9.57529387596,-4.23882328779,-18.8805877453,0.100891910668,-4.04499808979,-0.784282290736,103.0,0,0,0,1
2019-06-04 13:18:20.049999872,-4.8320762999410238,-2.9511585837974361,4.9377927535358968,1021.84674065,0.201868642619,0.113066932677,0.660082145552,10.2345453306,31.7272720327,-9.50181800424,0.109845107169,-0.140113129763,-0.101361271116,,0,0,0,1
2019-06-04 13:18:22.049999872,2.5371121752710519,2.0328653146842099,-1.2818821174831578,1021.8120606,-0.0867404620819,-0.144156828225,0.033765952206,-14.7181815083,-21.1218176612,-21.8599994538,0.674310684316,-0.662150866933,-0.476514016903,104.0,0,0,0,1
2019-06-04 13:18:24.049999872,-3.6362895199389742,-8.01363775911795,3.2195015138051284,1021.85494385,-0.169036217118,0.330675914963,0.127579937221,-4.77176459056,39.3688227294,-5.34882333615,-0.649518899941,-2.74049477145,-0.235217545918,,0,0,0,1
2019-06-04 13:18:26.049999872,2.9496835316842103,5.010587030473685,-0.67991111939999993,1021.82807615,0.556002321949,-0.736262061023,0.780130779562,-0.143636398248,-9.10545434479,-20.6672722929,0.95124126677,-2.10730102759,-1.73840493178,,0,0,0,1
2019-06-04 13:18:28.049999872,-1.245759588290769,-8.2976970308205118,2.7666766399384617,1021.794397,-1.35554015321,0.55960943216,-0.651633502296,-9.01454511938,19.5509085183,-4.38909088448,-0.710857189107,-1.997661247,-0.642306702967,105.0,0,0,0,1
2019-06-04 13:18:30.049999872,-2.7330646938605256,-8.3729679207631591,3.1445649422894735,1021.8612428,0.32715290516,0.220786954524,0.293206856896,-6.03352922493,42.4447048406,6.137646917,-0.155311064282,-0.0956678534907,0.162594069141,,0,0,0,1
2019-06-04 13:18:32.049999872,-2.7798160569947368,4.2589108537447373,2.5066166756842101,1021.8628542,0.423267722941,-0.411780084775,0.600890045773,16.4945452517,2.35818180867,-25.5127268415,0.3583411375,-0.0780093672627,-1.21212362871,107.0,0,0,0,1
2019-06-04 13:18:34.049999872,-2.2403659232155899,-3.4259002942051282,4.0514199366410244,1021.7178588,-0.77026857766,0.0191346556644,-0.795938645413,4.40363624571,3.77272734515,-20.7236358451,0.379672227551,-1.27849129369,-0.330261006103,,0,0,0,1
2019-06-04 13:18:36.049999872,-2.6016946385789468,1.4724159692678951,3.1214412312196047,1021.8236694,0.716322287586,-0.349696886081,0.861633058961,12.6070585398,14.7494114991,-19.5652936873,1.31260796032,0.747240305111,-0.723643577533,,0,0,0,1
2019-06-04 13:18:38.049999872,1.0737401674923079,-0.14623497694871795,2.4691112208076924,1021.6976075,-1.03098272175,0.4076292734,-0.247757598782,-14.8090905754,-12.0854542621,-16.8309088477,-0.417453498536,-2.98207407297,-0.4487992109,,0,0,0,1
2019-06-04 13:18:40.049999872,-0.75772497129473682,-9.6849046254736848,1.9001090965526315,1021.82083745,-0.115611871897,0.222362343813,-0.175117793291,-11.5672725319,43.1836355961,2.06909085401,0.0526090141694,-0.459846314275,-0.588144642494,,0,0,0,1
2019-06-04 13:18:42.049999872,-5.8651138146641015,-4.0553489801538465,5.1985231148461537,1021.8420287,0.473406070902,0.265438642626,0.713305738268,3.27529404567,34.8529408546,-11.1864701854,-0.037195251757,-0.242493773942,0.194370500955,102.0,0,0,0,1
2019-06-04 13:18:44.049999872,4.4347009535026327,5.5779042095000007,-0.37886244843244765,1021.76541755,0.152927697455,-0.376349893816,0.281262839932,-6.66727261841,-23.1309086702,-24.5072722578,0.324739365894,-0.0981222551333,-2.7148051217,,0,0,0,1
2019-06-04 13:18:46.049999872,-5.5120503665307679,-3.2212204710230767,5.4122888826384612,1021.74320065,-0.205876061409,-0.134067221016,-0.145884068158,22.1654540335,18.1690904298,-22.4345447586,-1.18138191984,-2.21068184175,0.504774421523,,0,0,0,1
2019-06-04 13:18:48.049999872,0.51647024959210497,1.2079746597894736,3.282361775571053,1021.7515015,-0.99895518591,0.297948872869,-0.705172016662,-6.23647048586,-14.9011761578,-30.8770582247,2.73996007071,-3.29089571477,-2.24878812217,98.0,0,0,0,1
2019-06-04 13:18:50.049999872,-2.9188051685000005,0.73160443688461585,4.6692656338717944,1021.78734135,0.445823163944,-0.0423121468185,1.09400009271,9.42545432173,22.1054541845,-23.7181812296,0.232578100524,-1.15505078706,0.541324593718,,0,0,0,1
2019-06-04 13:18:52.049999872,3.6726285149394733,4.0083310776552628,-0.3254323142078947,1021.71354985,-0.124871295771,0.195468194861,-0.0677180532171,-24.5163633307,-22.7418177045,-20.9236359234,1.67244020983,-2.22193946583,-1.26527452142,100.0,0,0,0,1
2019-06-04 13:18:54.049999872,-3.1809475969538461,1.0992177426717951,5.2695532251307684,1021.7995972,-0.190322502483,-0.216330406114,0.152030207923,14.9241172431,10.094117403,-27.9970583353,-1.09735497377,-1.548478402,-0.0698177164236,,0,0,0,1
2019-06-04 13:18:56.049999872,-1.3963662789765785,1.6167025266710526,4.8641583105263164,1021.7607422,-0.857748845153,0.289943337975,-0.348507080915,9.332726967,-14.8636360285,-30.9399993779,2.37819274115,-1.43718558204,-1.95935561711,,0,0,0,1
2019-06-04 13:18:58.049999872,-1.0255477038743588,-9.572740456897435,2.5333883120256409,1021.85152595,-0.153294678047,0.12564448899,-0.0465009857387,-11.5429409395,43.6429402965,4.76823517504,0.333561767164,-0.670162706646,-0.123813025873,103.0,0,0,0,1
2019-06-04 13:19:00.049999872,-3.276943184786842,-0.38062665205000007,5.6054383578421039,1021.87064205,0.726835618818,-0.560702602616,0.696040349726,16.8254541853,23.0072719472,-16.8090905967,0.0235345804194,-0.242804003443,0.474589932975,,0,0,0,1
2019-06-04 13:19:02.049999872,2.500973507351282,-0.50930522048717941,1.666476680182051,1021.74716805,-1.06586472662,0.666792791366,-0.261400246845,-16.4872723498,-14.3581813752,-18.8636358537,-0.385528382305,-1.93801245256,-0.175753951209,104.0,0,0,0,1
2019-06-04 13:19:04.049999872,-4.6605819398312098,-4.6174850099989468,4.9835570002497374,1021.8467773,0.20655524619,0.479488388282,0.624022557662,3.74117636123,32.3982347609,-9.92823504029,-0.0663917339345,-0.898875046859,-0.5778946443,,0,0,0,1
2019-06-04 13:19:06.049999872,4.4147276976421042,5.9429680516052636,1.3905696154552629,1021.7522217,0.194679243697,-0.109632617829,0.325186998596,-9.72727248348,-17.9236360322,-27.8199991745,0.727673873895,-1.0257970167,-0.631324857516,,0,0,0,1
2019-06-04 13:19:08.049999872,-3.8671221476500008,-0.21278350060512827,1.4062988113846155,1021.7343017,0.00744532310553,-0.991684122292,-0.0401004923195,16.3981815952,5.43090900188,-24.6690902714,2.38256056093,-1.47892555764,0.472094146352,105.0,0,0,0,1
2019-06-04 13:19:10.049999872,3.3375560638621047,-1.1500080007368423,2.313121510462,1021.73024905,-0.939460090802,0.697406525178,-0.122149356807,-20.3047052888,-2.65235282573,-20.2270584917,0.34913098452,-1.2775585433,-0.509105291842,,0,0,0,1
2019-06-04 13:19:12.049999872,0.37915490626282061,-9.4757416310256382,2.5407553208205127,1021.7899536,0.0379374711296,0.185383973236,-0.00682607416305,-13.9909087964,43.1618171464,7.53090889552,-0.0466034377556,-0.309852011082,-0.363310414209,106.0,0,0,0,1
