,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),press_Pressure (hPa),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (muT),mag_Magnetic field y (muT),mag_Magnetic field z (muT),linacc_Linear Acceleration x (m/s^2),linacc_Linear Acceleration y (m/s^2),linacc_Linear Acceleration z (m/s^2),hr_Heart Rate,labeldribbelRun,labeldribbelStil,labelpassing,labelthrowing,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2019-06-04 13:00:10.549999,-3.49851432181,-8.83846542826,6.9345380547,1021.6807616,1.67787889395,-0.58321130575,-0.70529097038,21.9899995338,26.8274992713,-20.2724999192,-2.39730265399,-5.2564268643,1.28234995731,103.0,1,0,0,0,-0.265315557895,-0.278745399486,0.167203897751,0.0177158902805,0.0969964506987,0.174165610234,-0.0557318659053
2019-06-04 13:00:11.049999,-1.5138999106,-9.7868378989,2.1639456874,1021.7007814,-1.01542603972,0.552936886197,-0.29711083252,8.81249976087,28.5599992275,-23.31749916,1.01321452481,-8.783459291,-3.84910148394,103.0,1,0,0,0,-0.12280939835,-0.184763173359,0.176069802599,-0.27906741257,0.0019169028525,0.232319081236,0.161590736288
2019-06-04 13:00:11.549999,-2.369800051,-1.66641528424,5.37035826187,1021.7506348,-1.23460449768,0.972261963556,-0.110057055978,6.99999985221,35.3333322744,-19.0199993458,2.20295631233,0.290769577122,-1.37562825982,103.0,1,0,0,0,-0.110168910236,-0.140358967947,0.190376476853,-0.100224095258,-0.146954939029,0.169881947179,0.0620481743656
2019-06-04 13:00:12.049999,-3.8863869072,-4.15286959427,9.1468481062,1021.775293,0.46940416697,-1.3324986637,0.775140947503,10.7999997134,29.8274995075,-24.3524992476,1.55006340122,-7.74946860985,-0.1580245496,103.0,1,0,0,0,-0.17433654826,-0.18560673882,0.176851587908,0.00779055192436,0.178175197272,0.163780857879,-0.0195354476156
2019-06-04 13:00:12.549999,-2.10297132539,-11.5787127801,3.55789229622,1021.7189452,0.565411825833,1.54661103757,-0.258090097621,7.76999975763,38.0099990363,-23.1899992212,-0.04983189725,-9.9285677069,-6.10554206435,103.0,1,0,0,0,-0.0991031006647,-0.295881135864,0.175345437126,-0.314787967273,0.0299743272874,0.280241919572,0.0944417996669
2019-06-04 13:00:13.049999,-0.44677167399,-3.10681106746,8.0157927042,1021.774707,-0.84780465369,0.4170194029,-0.17231104373,4.41999987104,20.7533329928,-35.8466659144,1.87775005243,-2.45024389759,-2.15597258704,103.0,1,0,0,0,-0.0866727622199,-0.0139620418118,0.279976050871,-0.131011681958,0.0351797120969,0.101197042994,0.0328472051289
2019-06-04 13:00:13.549999,-3.93044143353,-8.11084550617,4.5405027748,1021.8532714,0.22780697651,-1.36255326267,0.76200736161,8.1224997185,19.0799996264,-31.7324993587,1.90713468204,-4.57948239164,3.011117101,103.0,1,0,0,0,-0.115330184342,-0.150901433049,0.178662581967,0.0308272046083,0.141674160077,0.0679656809751,-0.0621715031277
2019-06-04 13:00:14.049999,-3.94363672163,-11.4172325139,4.81515272444,1021.7442382,-0.247242598067,0.652372156078,0.575740992906,1.05000001187,26.5349994896,-25.4174995425,1.17901518941,-13.5785534379,-2.2566917542,103.0,1,0,0,0,-0.0935793193268,-0.205399109564,0.1794182121,-0.287705323072,0.133421936861,0.247044965308,0.03364015051
2019-06-04 13:00:14.549999,-1.2806975841,-5.73620373293,3.1417673886,1021.700293,-0.52887194,0.2591718018,-0.26357429317,-1.27333319156,23.0866662122,-28.2533329856,0.548474762044,1.84207479143,-2.21513695256,103.0,1,0,0,0,-0.0546913741518,-0.0845789537092,0.248615692896,-0.0944604182387,-0.0412119375545,0.187623226343,0.0952097476103
2019-06-04 13:00:15.049999,-3.1877375156,-4.06428142186,5.65000969003,1021.7759766,-0.5362633348,0.56930803055,-0.685682203536,2.92499988149,18.8549997216,-31.2974991787,0.634283930125,-7.26417613116,-2.44354128813,103.1,1,0,0,0,-0.106638992637,-0.0323860590803,0.219671722072,-0.19605602319,0.0142692227832,0.185185122438,-0.00924813182546
2019-06-04 13:00:15.549999,-1.79650413659,-11.1966931416,7.82821460622,1021.7798828,1.53526218061,-1.05513192563,1.21972866846,1.04249992267,27.0224995613,-25.4024994375,3.11848753663,-8.20005074147,-2.38308644275,103.2,1,0,0,0,-0.0508659293316,-0.222264872107,0.196345976757,-0.0652570636908,0.240700360316,0.194606417353,0.0345644672196
2019-06-04 13:00:16.049999,-0.84637616264,-5.59996950632,3.5928488008,1021.8160644,-1.34737020516,0.61787187451,0.04601219898,-5.66666648437,20.2933330007,-29.5533322233,1.0313105716,-5.55062392014,-3.78911998453,103.3,1,0,0,0,0.00733856537589,-0.0278710658534,0.199996264469,-0.222034170154,0.0140758672575,0.181621451725,0.110486640026
2019-06-04 13:00:16.549999,0.776543166967,-6.75770770167,8.90377585089,1021.8317382,0.315432154954,-1.23506568539,0.325150461322,-2.62499999188,18.5999994871,-32.602499485,0.658986449238,-1.75372056667,-0.751073181662,103.4,1,0,0,0,0.00376455586655,-0.0706329557909,0.246752282968,0.00606290318538,0.186605028459,0.0745458425951,0.0382765704436
