,acc_phone_x,acc_phone_y,acc_phone_z,acc_watch_x,acc_watch_y,acc_watch_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,gyr_watch_x,gyr_watch_y,gyr_watch_z,hr_watch_rate,labelOnTable,labelSitting,labelWashingHands,labelWalking,labelStanding,labelDriving,labelEating,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,mag_watch_x,mag_watch_y,mag_watch_z,press_phone_pressure
2016-02-08 19:08:25.656222395,-1.7419063688999175,-9.6176907361455743,1.0962225806451611,-2.30790611762,-8.80523938528,0.467624273471,-0.00902596972955,0.0198064676205,-0.000818873542304,0.0122105211309,0.00985242833218,-0.0108366663383,72.0576923077,0,0,0,0,1,0,0,0,0.0,-2.34129632707,48.7000465348,9.21056340369,16.6565870911,41.1156498674,-17.5612732095,1029.04834507
2016-02-08 19:09:25.656222395,-0.63836080343858492,-6.5786128285667065,2.3096056372954212,2.39316321951,-7.4082857561,-0.0897298536585,-0.0435971234915,0.111545792693,-0.0485581087783,-0.0162253658537,0.0146007804878,-0.0288212682927,71.0416666667,0,0,0,1,1,0,0,0,856.757894737,6.70429971756,25.8904336268,-11.7786509387,-2.82956152758,42.643387553,-9.32797029703,1029.00238246
2016-02-08 19:10:25.656222395,0.015119421487603306,-10.078880661157024,-0.62166504132231393,5.55663888889,-7.43934230324,2.63503626543,-0.039901322314,0.0659572727273,0.0452247933884,-0.00125887345679,0.00411583719136,-0.0118288001543,74.2,0,0,0,1,0,0,0,0,0.0,14.7474256274,41.6310054845,7.42807379093,-14.8752870518,45.5574986751,-4.64016958135,1028.92812324
2016-02-08 19:11:25.656222395,0.037851264253842339,-10.074025285076848,-0.62993215997355811,5.67021405843,-7.30571285315,2.77925513451,-0.0334443067262,0.0439077838374,0.053820525533,0.0132387426478,-0.0128210394369,-0.00413827017645,65.3902439024,0,0,0,1,0,0,0,0,0.0104895104895,11.6717600133,42.8695163703,1.60883164368,-18.1468986118,42.1678088209,-11.6629766298,1028.87096154
2016-02-08 19:12:25.656222395,-0.049519381767088186,-10.065502024960741,-0.58151905116125291,5.64104192832,-7.39075316395,2.60688774031,-0.0369029431217,0.0406116071429,0.0522604993386,0.0120393160742,-0.0176986089645,-0.00507148377125,71.0,0,0,0,1,0,0,0,0,0.00704225352113,-6.05427526596,45.4015392287,-15.5133909574,-31.9211545231,28.9288982753,-27.1281239,1028.92712324
2016-02-08 19:13:25.656222395,0.81280097528721396,-6.0826942722539048,-1.1847851062071246,3.31319775867,-7.1374604386,2.02569790358,-0.0279832231405,0.00268016528926,0.0412642975207,0.0153006763285,0.0413234782609,0.0359342028986,79.2068965517,0,0,0,1,0,0,0,0,256.189473684,-15.6887541528,19.0659368771,8.489910299,-7.88867495186,3.10869945738,-5.75546998075,1028.86862105
2016-02-08 19:14:25.656222395,-5.7498614672070136,1.8645200562401785,-1.2867076337771899,-2.01730247806,-6.12107000289,3.31617462154,-0.0334201472169,0.0678932263667,-0.0798408733769,-0.0331944846206,-0.016349821618,0.0399569954681,76.0895522388,0,0,0,0,0,1,0,0,99.0387323944,68.7771813196,-34.5381818182,36.0776300482,9.11577851068,39.9791702829,-30.3487241798,1028.89771831
2016-02-08 19:15:25.656222395,-9.1153660714285714,0.46800975529100525,-4.0950566302910056,-4.17045013997,-4.72194169321,6.4400504875,-0.0796527777778,0.0220388558201,-0.0299700727513,-0.0488997007433,-0.0051841876629,0.0852626701419,81.7575757576,0,0,0,0,0,1,0,0,0.0,115.517268195,-29.7704287139,63.0748953141,31.6677717676,51.6513697435,-27.316000698,1028.9330979
2016-02-08 19:16:25.656222395,-8.9734232200446531,0.40620408500785576,-4.4020593731911024,-4.05815136285,-3.94608399381,6.8596658612,-0.0292776353865,0.0219129392311,-0.00566085159157,-0.0404468393582,0.0139459694568,0.0371533926155,71.8253968254,0,0,0,0,0,1,0,0,0.0,107.852527838,-43.0482100715,78.2104936015,-13.9846983133,25.7664753956,-19.2062250043,1028.93052465
2016-02-08 19:17:25.656222395,-8.335296323833127,0.58782932672449395,-3.8223301115241632,-2.90941896816,-5.39249462984,4.94192999616,0.0281770342834,-0.000955142503098,0.0523748864106,-0.00989413118527,0.0290703874185,0.0160414269275,79.243902439,0,0,0,0,0,1,0,0,61.3614035088,101.745034895,-24.9670089731,63.1660717846,-0.0831468411086,43.5193665003,-12.3685660182,1028.9049614
2016-02-08 19:18:25.656222395,7.6707458677685949,-0.34622859504132236,-4.031355041322314,-2.38262666278,-4.23256209341,6.06304485872,-0.058163250124,-0.0215415771202,0.0392478095553,0.0282747839596,0.0663799398,-0.0337562870182,111.348837209,0,0,0,0,0,1,0,0,51.9788732394,-94.2836750291,10.8003289583,29.8560358864,1.88416854517,38.8933587654,-45.7702444945,1028.66250352
2016-02-08 19:19:25.656222395,8.877915998346424,-0.82732153782554774,-4.1124157089706488,-4.38228638867,-4.76030330448,7.20274586939,-0.00980322447292,0.0196097560976,0.000788507647788,9.87411487018e-05,0.0106856805665,-0.0146021833202,106.405405405,0,0,0,0,0,1,0,0,0.0,-103.914694149,33.8016722074,46.790056516,-3.48376396648,35.3015013966,-40.5441689944,1028.55080769
2016-02-08 19:20:25.656222395,8.376749050057823,-0.99067743267801089,-4.9822540888815467,-3.72335306103,-5.12064237897,6.40416716794,-0.0686362960515,0.0272425243681,0.0407174954568,0.0288674687106,0.0732517706413,-0.017149121956,84.9782608696,0,0,0,0,0,1,0,0,0.0,-102.099707495,15.97370118,49.9897025096,16.2517054399,-20.6980934056,31.5969914291,1028.92485263
2016-02-08 19:21:25.656222395,3.2645182306738318,1.1279676725919803,3.2348521703183133,0.62798005698,-6.39147435897,1.19775669516,0.0336031588522,-0.00486537666419,0.100217150418,-0.0278185185185,-0.00458822412156,-0.0384659069326,84.48,0,0,0,1,0,1,0,0,2410.41549296,-37.5283297324,30.1195014127,3.94246966927,-1.97024736205,10.3803840166,24.6002421726,1028.89024912
2016-02-08 19:22:25.656222395,-0.018257960466462702,9.6895319659250685,-0.47548027458440162,8.12319688769,-3.646376474,3.19625623429,0.0301605060779,-0.030848342016,0.0330130654097,-0.00335733616857,0.0329567948966,-0.0186864488691,82.0196078431,0,0,0,1,0,0,0,0,6.71378091873,-8.60498919727,3.22677746385,70.4261592156,-31.7991528415,-0.0194140487116,-0.169255206495,1028.85041549
2016-02-08 19:23:25.656222395,-0.49015776418058532,9.7845168678683638,-0.61612163056060854,8.23627101898,-3.04379581558,4.18759085626,0.0197826194807,0.0363526542087,0.0495848354556,0.0589147617203,-0.00339074002325,-0.0010026152654,95.5714285714,0,0,0,1,0,0,0,0,0.0,-10.0235792622,3.63601196411,66.0948354935,-23.3322773671,4.15311510032,-15.2133051742,1028.7731193
2016-02-08 19:24:25.656222395,0.166065497849818,7.2985605358914984,0.53417639761825997,7.03899671339,-4.13649125181,2.90507984534,-0.0177019270532,0.094176743032,0.0730704656356,0.0561806669889,0.0109431609473,0.0323953600773,94.14,0,0,0,1,0,0,0,0,32.3578947368,-4.78911085258,16.7739338541,59.4702110686,-20.2715811592,2.45981439328,-14.2171248468,1028.6828807
2016-02-08 19:25:25.656222395,-1.3524220918704559,-6.7432114177131535,1.906921678783873,1.45064545365,-7.26362259876,-0.00662831248153,-0.00700834365964,0.0213367203635,-0.00517092110698,-0.0860067973599,0.0364390700424,-0.000680524086297,83.3333333333,0,0,1,0,0,0,0,0,7.7298245614,-6.03609172483,61.7664307079,62.8634596211,-15.4054006663,5.62528493775,-6.24793968087,1028.55519649
2016-02-08 19:26:25.656222395,-1.5584266358228684,8.5254372108393923,0.96448017184401846,1.41236584403,-7.51453326752,0.830144916091,0.0262140791539,-0.0033533008345,0.0105421796249,-0.0292655478776,0.0205489634748,-0.0457124383021,69.0227272727,0,0,1,0,0,0,0,0,7.32508833922,2.36340368955,27.6682964933,60.2347050025,-10.9994745139,8.79330881065,-2.96777018742,1028.55335211
2016-02-08 19:27:25.656222395,-0.26751689942979923,-6.4749893397239893,1.5134420295843318,3.68566910914,-4.81162167374,4.51780129194,0.0386635544906,-0.0110555234239,0.0115681236057,0.0235736598535,0.0291920555341,-0.00471008484381,96.3,0,0,1,0,0,0,0,0,5.75704225352,-3.31271972088,64.8376408041,66.3774646951,-13.0904819906,1.55994431878,-21.767182878,1028.64402105
2016-02-08 19:28:25.656222395,-0.75388907271072869,-9.8499876747456376,0.45084316320622048,1.93970615101,-7.25941599456,1.51570012632,0.00852630272953,0.072235483871,-0.0345272952854,-0.0290887182975,-0.00642736371587,-0.0308392770382,143.066666667,0,0,0,0,0,0,0,0,0.0,0.447332557753,80.7011068639,73.5892271896,-6.09486096445,24.9697289687,-15.8576205561,1028.65437544
2016-02-08 19:29:25.656222395,0.7301889568523724,-7.8671997850884443,0.47692296247313609,1.88566096866,-7.78824904215,-2.07719392868,-0.0342702099521,0.0822407836006,-0.055963878327,-0.00734875724531,0.015354651734,0.0259689556931,151.129032258,0,0,0,0,1,0,0,0,45.8842105263,-5.97170488534,44.0568693918,5.42770687936,-2.04363062905,38.1056597161,-4.5302260382,1028.63182807
2016-02-08 19:30:25.656222395,0.67082466727287748,-5.5743062742828791,0.66020046292469203,0.950363414396,-7.40976501611,1.1011264772,0.0174022484914,-0.0180744812763,-0.00790906836406,-0.0432789334896,0.0372408438324,-0.0160682683856,159.434782609,0,0,0,0,1,0,1,0,46.414893617,-9.324291175,9.07357154728,9.88483297324,9.80438947918,17.2036230622,-4.71224525344,1028.57756338
2016-02-08 19:31:25.656222395,-7.2623498098859312,4.4541282030087626,-4.7383393122830224,-3.96395581823,-6.52721490166,3.51114349385,8.89329696669e-05,0.0486268286635,-0.0164557401438,0.010050285825,-0.0185551787617,0.00510163743823,160.761904762,0,0,0,0,0,0,1,0,6.75789473684,39.7206480558,16.9629810568,46.2385942173,11.4743322928,0.121054457163,-47.0275754422,1028.62024561
