,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
172,1.55965459576e+18,2.405198364,1.006956024,10.185569
173,1.55965459616e+18,2.245779877,1.101858673,9.501341858
174,1.55965459656e+18,2.148931274,1.019679565,10.01058289
175,1.55965459696e+18,2.3436763,1.065634003,9.578132172
176,1.55965459736e+18,2.223027191,1.054557037,10.02121078
177,1.55965459776e+18,2.593207397,0.927171936,9.873318329
178,1.55965459816e+18,2.392175446,0.8821156311,9.836644592
179,1.55965459856e+18,2.206711121,0.8084687805,9.640702057
180,1.55965459896e+18,2.124382324,0.9833052063,9.749525757
181,1.55965459936e+18,2.292482758,1.069974976,9.761800232
182,1.55965459976e+18,2.261197815,0.9319619751,9.596394196
183,1.55965460016e+18,2.157912598,0.8196954346,9.708361359
184,1.55965460056e+18,2.022294617,0.7250921631,9.378447418
185,1.55965460096e+18,2.443668365,0.9907896423,9.755662994
186,1.55965460136e+18,2.120041351,1.1771521,9.374555511
187,1.55965460176e+18,2.142195282,0.8439450073,9.724677429
188,1.55965460217e+18,2.005679169,0.8318202209,9.112450562
189,1.55965460257e+18,2.495161285,1.048569489,9.840087433
190,1.55965460297e+18,2.024390259,1.203048248,9.24013504
191,1.55965460337e+18,2.516716461,0.9877958679,9.720935211
192,1.55965460377e+18,2.02304306,1.297501831,9.150770874
193,1.55965460417e+18,2.019450531,0.8753796387,10.65888474
194,1.55965460457e+18,1.997146912,0.702638855,9.117839355
195,1.55965460497e+18,2.271077271,0.9526190186,9.444460144
196,1.55965460537e+18,2.246678009,0.9831555176,9.691446533
197,1.55965460577e+18,2.065404968,1.247655487,9.218430176
198,1.55965460617e+18,2.173180847,1.042881317,9.58187439
199,1.55965460657e+18,1.895358582,0.952918396,9.532926178
200,1.55965460697e+18,1.858535156,1.007704468,9.861193542
201,1.55965460737e+18,2.188449097,1.193917236,9.44610672
202,1.55965460777e+18,2.314487,1.158740387,10.22014709
203,1.55965460817e+18,2.010768585,1.362766113,9.622140656
204,1.55965460857e+18,2.702180786,0.8334667969,10.59002792
205,1.55965460897e+18,1.965412903,0.6590794373,10.50021469
206,1.55965460937e+18,2.364932098,0.8828640747,9.63561264
207,1.55965460977e+18,2.553988953,1.058598633,9.795779572
208,1.55965461017e+18,2.031425629,1.094523926,8.897647247
209,1.55965461057e+18,2.445764008,0.9749226379,9.623487854
210,1.55965461097e+18,2.106269989,1.030457153,9.082363129
211,1.55965461137e+18,2.439177704,0.9590556335,9.703271942
212,1.55965461177e+18,2.323318634,1.077459412,9.37710022
213,1.55965461217e+18,2.314636688,1.123114471,9.38638092
