,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
506,1.55965373323e+18,-1.675316162,4.709805908,11.23653351
507,1.55965373363e+18,-0.4176315308,3.435805206,4.637506256
508,1.55965373403e+18,-1.372046814,1.631906433,6.988367615
509,1.55965373443e+18,-4.581223297,1.572779388,13.63559464
510,1.55965373483e+18,-2.124082947,5.628595276,11.81073944
511,1.55965373524e+18,-1.212328949,4.844226379,4.885390778
512,1.55965373564e+18,-1.275198212,3.28446991,5.337001648
513,1.55965373604e+18,0.7393125916,1.560804291,8.806636505
514,1.55965373644e+18,-1.964215393,6.159541168,12.20561829
515,1.55965373684e+18,-1.291663971,4.317172394,7.335795135
516,1.55965373724e+18,-0.5800437927,2.330503693,4.790637817
517,1.55965373764e+18,-1.523531799,1.17475708,9.631271667
518,1.55965373805e+18,1.271455994,5.388045502,13.85683456
519,1.55965373845e+18,-1.768123169,3.011886749,12.17987183
520,1.55965373885e+18,0.1645079041,2.606380005,3.327430573
521,1.55965373925e+18,-0.08502319336,0.8325686646,7.23460556
522,1.55965373965e+18,-5.788163452,6.84032547,10.84030746
523,1.55965374005e+18,-3.540737,5.275329895,12.10802124
524,1.55965374045e+18,-0.3936813354,2.193688202,5.072651367
525,1.55965374085e+18,-1.720372467,1.392853546,7.322622528
526,1.55965374126e+18,-2.50519043,2.468965759,15.28411652
527,1.55965374166e+18,-0.6837780762,1.986069946,11.89501419
528,1.55965374206e+18,0.8312214661,1.704954529,4.221072235
529,1.55965374246e+18,0.2237846375,-0.4581971741,8.785979462
530,1.55965374286e+18,-2.829116821,-0.9783654785,16.16413651
531,1.55965374326e+18,-0.4668791199,0.3300636292,12.24693237
532,1.55965374366e+18,-0.6818321228,1.783092041,7.896229706
533,1.55965374406e+18,-0.4468208313,1.673370209,5.90072937
534,1.55965374447e+18,0.7875123596,-0.31943573,11.46316223
535,1.55965374487e+18,-2.579735413,3.362457733,12.61381943
536,1.55965374527e+18,-0.5180726624,3.016676788,5.930517426
537,1.55965374567e+18,0.2314187622,-0.3049159241,6.404282227
538,1.55965374607e+18,0.117355957,-1.861977997,12.40096207
539,1.55965374647e+18,0.06496490479,1.853745117,13.53036346
540,1.55965374687e+18,-1.927391968,3.988156586,6.683601379
541,1.55965374727e+18,-0.2149530029,2.108365631,5.891897736
542,1.55965374768e+18,-1.997745667,3.601959686,10.28122009
543,1.55965374808e+18,-3.931424561,6.210135956,11.37918686
544,1.55965374848e+18,-2.467618561,4.45099411,5.692662048
545,1.55965374888e+18,-0.4234693909,1.09407486,7.298073578
546,1.55965374928e+18,-2.047741699,-0.552052002,11.8072966
547,1.55965374968e+18,-1.997595978,5.160518646,12.82667679
548,1.55965375008e+18,-2.112107849,3.804338837,7.750582581
549,1.55965375048e+18,-0.193996582,2.479144592,4.385879517
550,1.55965375088e+18,1.714384918,0.5794450378,7.062014465
551,1.55965375129e+18,-3.157683563,4.127965851,14.33404221
552,1.55965375169e+18,-0.659229126,2.066303101,8.395890656
553,1.55965375209e+18,-0.2332150269,0.6577322388,5.684728546
554,1.55965375249e+18,-3.473826141,0.315693512,8.835975494
555,1.55965375289e+18,-2.75082962,4.204905853,14.400504
556,1.55965375329e+18,-1.97514267,3.067421265,7.945028229
557,1.55965375369e+18,-0.3079096985,2.284249878,4.512216797
558,1.55965375409e+18,-0.2037263489,0.5935157776,7.325616302
559,1.5596537545e+18,-5.104385376,3.436104584,15.11421982
560,1.5596537549e+18,-1.660047913,3.617527313,9.976004791
561,1.5596537553e+18,-0.8458909607,1.811682587,6.095923462
562,1.5596537557e+18,-4.501139832,1.625619507,8.038583679
563,1.5596537561e+18,-4.16434021,2.423610077,14.95540009
564,1.5596537565e+18,-2.227667542,1.795965271,10.25083328
565,1.5596537569e+18,-0.07035369873,2.272125092,4.193230133
566,1.5596537573e+18,-1.352138214,0.4851411438,7.862849121
567,1.5596537577e+18,-5.999224548,-0.6189628601,15.62570618
568,1.55965375811e+18,-2.252066803,3.524720306,12.23899887
569,1.55965375851e+18,-1.300944672,2.952310638,6.688092041
570,1.55965375891e+18,-0.5727090454,2.433639221,4.990771637
571,1.55965375931e+18,0.6728507996,0.3097059631,10.22987686
572,1.55965375971e+18,-4.117637329,2.45489502,13.63439713
573,1.55965376011e+18,-2.318977661,2.827021179,7.900720367
574,1.55965376051e+18,-1.603914642,-0.07439529419,6.999145203
575,1.55965376091e+18,-2.516267395,-1.395098877,10.31355286
576,1.55965376131e+18,-0.7463479614,1.470242615,15.99648514
577,1.55965376172e+18,-0.8743318176,2.741848297,7.4172258
578,1.55965376212e+18,-0.216000824,1.047970734,5.565576324
579,1.55965376252e+18,-1.664688263,0.1910028076,6.593189392
580,1.55965376292e+18,-7.415878601,-0.8286767578,16.37459885
581,1.55965376332e+18,-3.683240662,2.265838165,9.482481079
582,1.55965376372e+18,-1.202599182,1.826052704,4.9540979
583,1.55965376412e+18,-3.44703186,3.136727142,8.220305786
584,1.55965376452e+18,-2.628234558,6.147416382,13.78513367
585,1.55965376493e+18,-3.282673645,4.874313812,9.940079498
586,1.55965376533e+18,-0.4897814941,2.890489197,4.140240326
587,1.55965376573e+18,-1.193917236,0.5554948425,7.450905762
588,1.55965376613e+18,-5.601351929,0.8780740356,14.85989868
589,1.55965376653e+18,-2.424657898,4.653972015,13.65879639
590,1.55965376693e+18,-1.004261627,3.208877106,4.322411499
591,1.55965376733e+18,-1.360520782,2.402354279,4.500690765
592,1.55965376773e+18,-0.9337582397,0.7917036438,10.43569885
593,1.55965376813e+18,-4.255051575,4.877457275,12.17777618
594,1.55965376854e+18,-1.472188568,3.282224579,6.874454498
595,1.55965376894e+18,-1.019080811,1.731299744,4.902155914
596,1.55965376934e+18,-3.047662354,1.389710083,10.86081482
597,1.55965376974e+18,-1.649420013,5.043312378,13.68065094
598,1.55965377014e+18,-2.266137543,4.519701233,6.046376495
599,1.55965377054e+18,-0.2933898926,2.527793427,4.429139557
600,1.55965377094e+18,0.1028361511,0.4246669006,9.206305389
601,1.55965377134e+18,-1.566342773,5.684429169,12.94687683
602,1.55965377174e+18,-0.3833528137,2.506238251,8.718769226
603,1.55965377215e+18,-0.1330732727,0.7183561707,5.731431427
604,1.55965377255e+18,-1.734592896,-0.1969903564,9.693691864
605,1.55965377295e+18,-0.880019989,3.39553894,13.64502502
606,1.55965377335e+18,-1.817370758,3.025358734,10.50979477
607,1.55965377375e+18,-0.7923023987,2.826272736,4.868176575
608,1.55965377415e+18,0.6249504089,2.299518127,7.824229431
609,1.55965377455e+18,-3.479664001,4.614304504,12.36758148
610,1.55965377495e+18,-0.1999841309,2.683619385,12.34662506
611,1.55965377535e+18,-0.1707948303,2.01256485,4.914729767
612,1.55965377576e+18,-1.39943985,1.756597137,7.213050385
613,1.55965377616e+18,-2.83046402,2.659968567,14.98788254
614,1.55965377656e+18,-4.154760132,1.615440674,12.92981232
615,1.55965377696e+18,-1.475631409,2.813848572,6.488556976
616,1.55965377736e+18,-0.5135820007,0.4468208313,5.921685791
617,1.55965377776e+18,-4.047583008,-0.4706213379,11.41960281
618,1.55965377816e+18,-2.637964325,3.057990875,14.68670883
619,1.55965377856e+18,-0.5304968262,3.011287994,6.09727066
620,1.55965377897e+18,0.1631607056,1.520238647,5.395380249
621,1.55965377937e+18,0.5701643372,0.2785707092,10.42462189
622,1.55965377977e+18,-2.307900696,3.932023315,13.71822281
