,Time (s),X (µT),Y (µT),Z (µT),label
211,1.55965325266e+18,-31.84686279,-1.353973389,-24.72521973,nothing
212,1.55965325291e+18,-32.11807251,-1.734207153,-24.76739502,nothing
213,1.55965325316e+18,-31.98101807,-1.696899414,-24.59765625,nothing
214,1.55965325341e+18,-31.9644928,-1.403076172,-24.75671387,nothing
215,1.55965325366e+18,-31.78192139,-1.481796265,-24.67871094,nothing
216,1.55965325391e+18,-31.88352966,-1.750762939,-24.86895752,nothing
217,1.55965325415e+18,-32.10649109,-1.567474365,-24.79296875,nothing
218,1.5596532544e+18,-32.10386658,-1.10585022,-25.01159668,nothing
219,1.55965325465e+18,-32.17764282,-1.443771362,-24.96777344,nothing
220,1.5596532549e+18,-32.05155945,-1.239959717,-24.94732666,nothing
221,1.55965325515e+18,-32.65739441,-1.327285767,-24.51599121,nothing
222,1.5596532554e+18,-32.08978271,-1.736968994,-24.92944336,nothing
223,1.55965325565e+18,-31.8729248,-1.499328613,-24.88964844,nothing
224,1.5596532559e+18,-31.94740295,-1.226867676,-24.82092285,nothing
225,1.55965325615e+18,-32.13139343,-1.194046021,-24.82971191,nothing
226,1.5596532564e+18,-32.07023621,-1.279541016,-24.8026123,nothing
227,1.55965325665e+18,-32.04360962,-1.480300903,-24.90759277,nothing
228,1.5596532569e+18,-32.00665283,-1.106994629,-24.90429688,nothing
229,1.55965325715e+18,-32.18312073,-1.27734375,-24.52203369,nothing
230,1.5596532574e+18,-32.1149292,-1.278396606,-24.73040771,nothing
231,1.55965325765e+18,-32.53805542,-1.504196167,-24.61315918,nothing
232,1.5596532579e+18,-32.14393616,-1.63041687,-24.78302002,nothing
233,1.55965325815e+18,-31.93125916,-1.712524414,-24.53051758,nothing
234,1.5596532584e+18,-32.0526886,-1.479034424,-24.52960205,nothing
235,1.55965325865e+18,-31.95567322,-1.459716797,-24.81707764,nothing
236,1.5596532589e+18,-31.95005798,-1.434738159,-24.77416992,nothing
237,1.55965325915e+18,-32.00257874,-1.496078491,-24.49523926,nothing
238,1.5596532594e+18,-32.23994446,-1.459793091,-24.90332031,nothing
239,1.55965325965e+18,-32.07202148,-1.315032959,-24.85797119,nothing
240,1.55965325989e+18,-31.76460266,-1.237106323,-24.515625,nothing
241,1.55965326014e+18,-31.88591003,-1.26461792,-24.83807373,nothing
242,1.55965326039e+18,-31.9707489,-1.480789185,-24.69677734,nothing
243,1.55965326064e+18,-32.28521729,-1.434646606,-24.62133789,nothing
244,1.55965326089e+18,-31.97509766,-1.139572144,-24.98779297,nothing
245,1.55965326114e+18,-32.20896912,-1.510116577,-24.80987549,nothing
246,1.55965326139e+18,-32.12652588,-1.451675415,-25.07421875,nothing
247,1.55965326164e+18,-32.35240173,-1.614715576,-24.35754395,nothing
248,1.55965326189e+18,-32.24780273,-1.661087036,-24.68341064,nothing
249,1.55965326214e+18,-32.16304016,-1.878570557,-24.7565918,nothing
250,1.55965326239e+18,-31.87522888,-1.300720215,-25.07550049,nothing
251,1.55965326264e+18,-31.96636963,-1.479171753,-24.51324463,nothing
252,1.55965326289e+18,-32.08007812,-1.244979858,-25.00805664,nothing
253,1.55965326314e+18,-32.04745483,-1.201171875,-24.76177979,nothing
254,1.55965326339e+18,-32.21374512,-1.637985229,-24.42303467,nothing
255,1.55965326364e+18,-32.45500183,-1.393493652,-24.58599854,nothing
256,1.55965326389e+18,-32.15328979,-1.37739563,-24.69671631,nothing
257,1.55965326414e+18,-32.11938477,-1.305648804,-24.43640137,nothing
258,1.55965326439e+18,-32.32878113,-1.473861694,-24.51513672,nothing
259,1.55965326464e+18,-32.14404297,-1.471618652,-24.70959473,nothing
260,1.55965326489e+18,-32.03967285,-1.45866394,-24.44165039,nothing
261,1.55965326514e+18,-32.09458923,-1.354873657,-24.51794434,nothing
262,1.55965326539e+18,-32.0585022,-1.285446167,-24.82147217,nothing
263,1.55965326563e+18,-32.24702454,-1.480636597,-24.82562256,nothing
264,1.55965326588e+18,-31.97219849,-1.890838623,-24.58032227,nothing
