,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
314,1.55965657185e+18,-9.059999466,-8.819999695,-45.5399971
315,1.55965657191e+18,-9.059999466,-10.0199995,-44.34000015
316,1.55965657197e+18,-9.479999542,-11.15999985,-44.63999939
317,1.55965657202e+18,-10.31999969,-11.81999969,-44.75999832
318,1.55965657208e+18,-9.659999847,-13.5,-43.86000061
319,1.55965657213e+18,-9.840000153,-14.21999931,-43.73999786
320,1.55965657219e+18,-9.359999657,-17.03999901,-42.65999985
321,1.55965657225e+18,-8.279999733,-17.21999931,-42.29999924
322,1.55965657231e+18,-5.879999638,-18.60000038,-42.84000015
323,1.55965657236e+18,-3.659999847,-19.55999947,-42.47999954
324,1.55965657242e+18,-0.5999999642,-19.8599987,-42.41999817
325,1.55965657247e+18,-0.2999999821,-21.05999947,-41.27999878
326,1.55965657253e+18,0.5399999619,-23.15999985,-39.71999741
327,1.55965657258e+18,1.5,-24.0,-39.18000031
328,1.55965657264e+18,1.919999957,-24.3599987,-39.0
329,1.5596565727e+18,2.339999914,-25.26000023,-38.45999908
330,1.55965657276e+18,1.439999938,-25.68000031,-38.15999985
331,1.55965657282e+18,-1.919999957,-27.59999847,-38.63999939
332,1.55965657288e+18,-9.0,-28.01999855,-36.95999908
333,1.55965657293e+18,-14.09999943,-29.81999969,-35.81999969
334,1.55965657299e+18,-11.15999985,-29.39999962,-34.20000076
335,1.55965657305e+18,-13.55999947,-26.69999886,-36.18000031
336,1.55965657311e+18,-12.23999977,-22.73999977,-38.87999725
337,1.55965657317e+18,-12.65999985,-18.77999878,-41.34000015
338,1.55965657323e+18,-15.17999935,-13.97999954,-42.95999908
339,1.55965657328e+18,-15.77999973,-11.21999931,-43.5
340,1.55965657333e+18,-15.0,-11.03999996,-43.97999954
341,1.55965657338e+18,-11.75999928,-11.34000015,-44.34000015
342,1.55965657343e+18,-6.359999657,-13.73999977,-44.45999908
343,1.55965657348e+18,1.199999928,-14.69999981,-43.97999954
344,1.55965657354e+18,10.0199995,-15.71999931,-41.75999832
345,1.5596565736e+18,18.42000008,-16.37999916,-38.70000076
346,1.55965657366e+18,24.29999924,-15.53999996,-35.39999771
347,1.55965657372e+18,30.84000015,-14.39999962,-31.01999855
348,1.55965657378e+18,36.11999893,-12.59999943,-24.29999924
349,1.55965657383e+18,40.79999924,-13.55999947,-17.57999992
350,1.55965657389e+18,43.73999786,-14.88000011,-5.339999676
351,1.55965657395e+18,39.65999985,-24.18000031,-6.119999886
352,1.55965657401e+18,19.26000023,-34.68000031,-23.45999908
353,1.55965657407e+18,14.46000004,-39.23999786,-19.07999992
354,1.55965657413e+18,28.5,-37.86000061,-5.879999638
355,1.55965657418e+18,31.31999969,-36.95999908,-3.24000001
356,1.55965657424e+18,29.34000015,-36.54000092,-5.759999752
357,1.5596565743e+18,31.5,-35.88000107,-6.539999962
358,1.55965657436e+18,32.45999908,-34.79999924,-7.319999695
359,1.55965657442e+18,32.27999878,-32.75999832,-10.97999954
360,1.55965657448e+18,32.57999802,-29.63999939,-16.55999947
361,1.55965657453e+18,31.07999992,-27.18000031,-21.89999962
362,1.55965657458e+18,27.11999893,-24.3599987,-29.21999931
363,1.55965657463e+18,20.52000046,-19.07999992,-37.61999893
364,1.55965657469e+18,10.31999969,-12.77999973,-44.87999725
365,1.55965657475e+18,3.480000019,-7.559999943,-47.15999985
366,1.55965657481e+18,-3.24000001,-4.799999714,-49.02000046
367,1.55965657486e+18,-7.739999771,-2.939999819,-47.81999969
368,1.55965657492e+18,-10.55999947,-1.559999943,-47.09999847
369,1.55965657497e+18,-12.47999954,-0.1799999923,-47.09999847
370,1.55965657503e+18,-14.34000015,0.2399999946,-46.37999725
371,1.55965657508e+18,-13.92000008,1.5,-47.57999802
372,1.55965657514e+18,-14.81999969,2.099999905,-47.15999985
373,1.5596565752e+18,-13.67999935,1.799999952,-46.91999817
374,1.55965657526e+18,-13.92000008,1.139999986,-46.55999756
375,1.55965657532e+18,-13.38000011,0.5999999642,-47.45999908
376,1.55965657538e+18,-12.89999962,-0.2999999821,-47.09999847
377,1.55965657543e+18,-13.13999939,-0.1199999973,-47.34000015
378,1.55965657549e+18,-14.93999958,-0.2399999946,-46.91999817
379,1.55965657555e+18,-16.19999886,-0.2999999821,-47.0399971
380,1.55965657561e+18,-16.26000023,0.4199999869,-46.68000031
381,1.55965657567e+18,-16.97999954,1.199999928,-46.07999802
382,1.55965657573e+18,-16.26000023,1.5,-46.5
383,1.55965657578e+18,-16.79999924,2.399999857,-46.31999969
384,1.55965657583e+18,-16.79999924,3.359999895,-46.37999725
385,1.55965657588e+18,-17.03999901,2.639999866,-46.5
386,1.55965657594e+18,-15.47999954,4.079999924,-46.86000061
387,1.559656576e+18,-16.19999886,4.559999943,-45.89999771
388,1.55965657606e+18,-16.02000046,3.480000019,-46.43999863
389,1.55965657611e+18,-15.71999931,3.539999962,-46.13999939
390,1.55965657617e+18,-16.79999924,3.539999962,-46.79999924
391,1.55965657622e+18,-17.03999901,2.939999819,-46.97999954
392,1.55965657628e+18,-17.03999901,1.9799999,-46.37999725
393,1.55965657633e+18,-17.39999962,2.700000048,-45.65999985
394,1.55965657639e+18,-18.42000008,1.079999924,-45.5399971
395,1.55965657645e+18,-18.47999954,1.139999986,-45.71999741
396,1.55965657651e+18,-18.95999908,0.3599999845,-45.05999756
397,1.55965657656e+18,-19.5,-0.3599999845,-45.0
398,1.55965657661e+18,-19.92000008,-1.25999999,-45.11999893
399,1.55965657667e+18,-20.39999962,-1.919999957,-45.23999786
400,1.55965657673e+18,-21.71999931,-2.639999866,-44.57999802
401,1.55965657679e+18,-22.31999969,-2.75999999,-44.57999802
402,1.55965657685e+18,-22.31999969,-3.0,-43.31999969
403,1.55965657691e+18,-22.02000046,-2.519999981,-43.79999924
404,1.55965657696e+18,-22.43999863,-3.179999828,-44.21999741
405,1.55965657701e+18,-21.0,-3.24000001,-44.75999832
406,1.55965657707e+18,-20.10000038,-3.899999857,-45.18000031
407,1.55965657712e+18,-20.15999985,-4.679999828,-45.11999893
408,1.55965657718e+18,-19.31999969,-6.239999771,-44.45999908
409,1.55965657724e+18,-18.95999908,-8.819999695,-45.36000061
410,1.5596565773e+18,-17.21999931,-11.57999992,-44.45999908
411,1.55965657735e+18,-14.63999939,-14.88000011,-44.52000046
412,1.55965657741e+18,-10.80000019,-17.63999939,-44.93999863
413,1.55965657746e+18,-7.679999828,-19.61999893,-44.57999802
414,1.55965657752e+18,-4.739999771,-22.5,-43.55999756
415,1.55965657758e+18,-2.460000038,-25.37999916,-42.05999756
416,1.55965657764e+18,0.05999999866,-27.29999924,-40.07999802
417,1.5596565777e+18,0.1799999923,-30.11999893,-38.52000046
418,1.55965657775e+18,0.6599999666,-31.79999924,-36.29999924
419,1.5596565778e+18,0.9599999785,-33.65999985,-34.86000061
420,1.55965657785e+18,-0.719999969,-34.68000031,-33.05999756
421,1.55965657791e+18,-2.099999905,-36.0,-31.8599987
422,1.55965657797e+18,-3.659999847,-35.93999863,-31.6799984
423,1.55965657803e+18,-1.559999943,-35.21999741,-33.54000092
424,1.55965657809e+18,4.920000076,-33.05999756,-34.91999817
425,1.55965657815e+18,2.579999924,-28.5,-41.93999863
426,1.55965657821e+18,1.439999938,-23.45999908,-42.84000015
427,1.55965657826e+18,-1.919999957,-20.27999878,-45.18000031
428,1.55965657832e+18,-11.69999981,-11.39999962,-46.61999893
429,1.55965657837e+18,-15.35999966,-5.579999924,-46.73999786
430,1.55965657843e+18,-17.57999992,-1.679999948,-47.0399971
431,1.55965657848e+18,-15.8399992,-1.799999952,-47.15999985
432,1.55965657854e+18,-8.279999733,-5.460000038,-48.47999954
433,1.5596565786e+18,1.559999943,-11.39999962,-47.70000076
434,1.55965657866e+18,11.09999943,-13.55999947,-46.37999725
435,1.55965657871e+18,18.47999954,-15.42000008,-42.18000031
436,1.55965657877e+18,25.13999939,-16.79999924,-37.68000031
437,1.55965657883e+18,29.81999969,-17.63999939,-33.59999847
438,1.55965657889e+18,33.89999771,-19.02000046,-28.8599987
439,1.55965657895e+18,37.13999939,-18.71999931,-24.3599987
440,1.55965657901e+18,40.86000061,-19.73999977,-18.3599987
441,1.55965657907e+18,42.95999908,-19.55999947,-12.42000008
442,1.55965657913e+18,44.21999741,-21.65999985,-4.259999752
443,1.55965657918e+18,39.0,-29.21999931,-6.359999657
444,1.55965657924e+18,20.69999886,-36.05999756,-22.5
445,1.5596565793e+18,18.60000038,-40.02000046,-19.07999992
446,1.55965657936e+18,27.65999985,-39.59999847,-5.21999979
447,1.55965657942e+18,31.37999916,-37.13999939,1.559999943
448,1.55965657948e+18,32.88000107,-35.70000076,3.599999905
449,1.55965657953e+18,34.86000061,-33.54000092,4.619999886
450,1.55965657958e+18,38.39999771,-29.69999886,4.019999981
451,1.55965657963e+18,41.39999771,-27.23999977,-0.5399999619
452,1.55965657969e+18,43.25999832,-22.43999863,-7.679999828
453,1.55965657975e+18,41.39999771,-20.69999886,-16.79999924
454,1.55965657981e+18,35.39999771,-22.26000023,-28.31999969
455,1.55965657986e+18,29.27999878,-23.15999985,-34.61999893
456,1.55965657992e+18,15.8399992,-24.29999924,-41.70000076
457,1.55965657997e+18,3.9599998,-24.53999901,-44.45999908
458,1.55965658003e+18,-5.519999981,-23.34000015,-43.07999802
459,1.55965658008e+18,-9.300000191,-23.39999962,-42.89999771
460,1.55965658014e+18,-12.65999985,-22.8599987,-43.55999756
