"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.468505363E1,2.077920549E-2,-3.598013818E-1,-1.167472377E-1
4.493465663E1,5.596497282E-2,-3.456944227E-1,-2.294847965E-1
4.518426062E1,-3.928608596E-1,-3.196962774E-1,8.799444884E-2
4.543388238E1,6.031348705E-1,-1.809765995E-1,-1.050398052E-1
4.568348638E1,-1.421851367E-1,2.339841127E-1,-1.585842520E-1
4.593308938E1,-4.464331865E-1,-1.845643967E-1,2.928074300E-1
4.618269238E1,2.074801177E-2,3.757067956E-3,-1.754162908E-1
4.643231988E1,-8.042386174E-1,8.638354540E-1,-1.033471897E-1
4.668192288E1,-4.038194418E-1,3.743125796E-1,3.394281864E-2
4.693152587E1,-3.503399491E-1,-3.957256377E-1,-2.088074833E-1
4.718112888E1,3.158988357E-1,4.821661115E-1,3.105519414E-1
4.743070963E1,-1.032276273E0,2.084387243E-1,7.185859680E-1
4.768031263E1,-4.629859701E-2,2.615040243E-1,-8.775512129E-2
4.792991563E1,1.134323850E-1,1.173383221E-1,-4.183567762E-1
4.817951863E1,-4.356573224E-1,3.826032951E-2,3.285455108E-1
4.842915088E1,-3.799758852E-1,-8.383591473E-2,1.449022293E-1
4.867875387E1,3.125665784E-1,3.476345837E-1,-1.143324450E-1
4.892835688E1,-6.706865877E-2,3.435988426E-1,-1.444077790E-1
4.917796088E1,1.047041547E-2,-2.697057128E-1,-1.323771924E-1
4.942754667E1,2.028889358E-1,3.478490114E-1,2.504175007E-1
4.967718067E1,-8.986544609E-2,1.975352466E-1,1.480586231E-1
4.992678367E1,2.207427025E-1,-1.306509078E-1,-3.009105325E-1
5.017638667E1,-2.018880993E-1,-6.616675109E-2,4.590029120E-1
5.042600050E1,-3.302562833E-1,-1.869684309E-1,-3.001851439E-1
5.067560450E1,-3.282424212E-1,1.319089830E-1,-6.363746710E-3
5.092520750E1,-8.096744120E-2,-8.092004061E-1,-2.864629626E-1
5.117481050E1,2.727059834E-2,4.430719018E-1,6.788460165E-2
5.142440600E1,-7.252667844E-2,-1.534143556E-2,2.566094398E-1
5.167401000E1,-9.036967903E-2,-1.153199196E0,-4.799403846E-1
5.192361300E1,2.393883467E-2,2.098604739E-1,-6.179024279E-2
5.217321600E1,9.349809885E-1,2.575345635E-1,5.308934674E-2
5.242281475E1,-1.668720394E-1,-9.997587651E-2,-1.138467491E-1
5.267241775E1,8.359238505E-2,2.885146141E-1,6.539197266E-2
5.292202075E1,4.992631674E-1,-7.531918883E-1,-2.646740675E-1
5.317162375E1,1.840137094E-1,4.433820546E-1,-2.294306643E-3
5.342123913E1,1.026717067E0,-3.421325386E-1,-1.407479793E-1
5.367084213E1,-4.061179757E-1,4.808953106E-1,8.971668780E-3
5.392044513E1,-4.474422336E-2,-3.879740536E-1,1.753645390E-2
5.417004813E1,3.115941584E-1,-4.205996990E-1,-2.453800142E-1
5.441966729E1,1.721273549E-2,8.462204933E-1,2.461854070E-1
5.466927029E1,-7.777982950E-2,-1.335501373E-1,-1.318360716E-1
5.491887329E1,-2.779102027E-1,-2.148952037E-1,2.287575603E-1
5.516847729E1,5.001724139E-2,-4.626420736E-1,-2.421739250E-1
5.541806150E1,2.257347852E-1,1.922158003E-1,5.055518448E-2
5.566766450E1,-3.328894079E-1,4.477562904E-1,2.006976455E-1
5.591726750E1,-1.845504716E-2,-2.321826667E-1,4.677664489E-2
5.616687150E1,-3.125667572E-2,-7.868465036E-2,-1.271005273E-1
5.641648175E1,5.113844872E-1,-1.169113591E-1,-1.606632769E-1
5.666608475E1,3.412584066E-1,1.829953492E-1,-4.864713177E-3
5.691568775E1,3.381084800E-1,1.002588496E-1,-1.203178912E-1
5.716529175E1,-1.639924198E-1,-8.912248164E-2,5.111813545E-3
5.741491150E1,-4.462622702E-1,-5.594651774E-2,-2.129106410E-2
5.766451450E1,-2.054109238E-3,-4.103353024E-1,3.461605310E-2
5.791411850E1,2.520865500E-1,1.626669765E-1,3.536546603E-2
5.816372150E1,-3.457958996E-1,6.561611891E-1,-7.327852398E-2
5.841333054E1,-6.280648708E-1,-2.238072082E-2,4.574114382E-1
5.866293354E1,6.179842949E-1,-8.483644724E-1,-1.742281616E-1
5.891253754E1,1.964247786E-2,6.597546935E-1,-8.726356626E-1
5.916214054E1,1.606280953E-1,-2.709957957E-1,2.122180611E-1
5.941174550E1,9.925205261E-2,2.868678868E-1,5.135544538E-1
5.966134850E1,-9.031777978E-1,1.663203120E0,-4.648064971E-1
5.991095250E1,-7.656850666E-2,-4.290356338E-1,-1.122575179E-1
6.016055550E1,2.914956808E-1,-4.417761564E-1,1.327444464E-1
6.041015317E1,4.164850414E-1,8.302620053E-1,-2.603572607E-2
6.065975717E1,-8.888833225E-2,-4.563972354E-1,1.945414096E-1
6.090936017E1,5.316446424E-1,-3.017531931E-1,-9.364779294E-2
6.115899417E1,-5.525941402E-2,4.650412798E-1,-4.763415456E-1
6.140859904E1,3.328790143E-2,2.218610644E-1,1.520998031E-1
6.165820204E1,-3.600857854E-1,6.204046011E-1,3.586289585E-1
6.190780504E1,-1.621247828E-1,-1.266015172E0,-2.519244701E-2
6.215740904E1,-1.644320339E-1,1.894594580E-1,-3.343727589E-1
6.240701692E1,-5.791727304E-1,7.710703015E-1,2.830309868E-1
6.265661992E1,-1.152737811E-1,-1.461914539E0,-1.014152728E-2
6.290622292E1,7.396392822E-1,1.613871455E0,-7.942166924E-1
6.315582692E1,-3.065717816E-1,2.939253151E-1,9.919351339E-2
6.340542938E1,8.556936979E-1,-1.042333245E0,-4.095683619E-2
6.365503238E1,-7.407455891E-2,1.022843644E-1,-3.811368644E-1
6.390463638E1,6.417096853E-1,1.383148581E-1,1.384565085E-1
6.415423938E1,-5.197732449E-1,2.784677446E-1,3.421230912E-1
6.440382829E1,-5.100147724E-1,-6.278163791E-1,2.673579752E-1
6.465343129E1,2.039885372E-1,-8.186115026E-1,1.167549714E-1
6.490303529E1,-8.184115589E-2,1.894776821E-1,-2.517559826E-1
6.515263829E1,-1.378809214E-1,6.188408732E-1,3.835470080E-1
6.540224738E1,-1.348192841E-1,-7.755461335E-2,4.658181965E-1
6.565185038E1,8.304677606E-1,-2.129133493E-1,-4.856609106E-1
6.590145438E1,-6.509612501E-2,1.140193418E-1,1.369025558E-3
6.615105738E1,7.487018108E-1,5.245915651E-1,-1.092734188E-1
6.640065050E1,-9.879626632E-1,5.464100838E-1,1.022939011E-1
6.665025350E1,1.449688226E-1,-4.170911908E-1,1.985697746E-1
6.689985650E1,-5.903755426E-1,4.138478935E-1,2.497011423E-2
6.714946050E1,1.119199321E-1,3.523946106E-1,-3.079716861E-2
6.739904417E1,6.185221672E-2,3.188924491E-1,-7.901016474E-1
6.764864717E1,-1.286189258E-1,4.379330873E-1,1.663137376E-1
6.789825017E1,4.622152150E-1,-3.736759126E-1,1.392937899E-1
6.814785417E1,3.014785349E-1,-3.940711915E-1,9.436146915E-2
6.839745767E1,-8.588414639E-2,1.845222563E-1,-1.192674786E-1
6.864706067E1,-3.203704655E-1,-1.494627744E-1,-9.359676391E-2
6.889666367E1,1.913230568E-1,-2.378707826E-1,4.018740356E-1
6.914626767E1,9.571313262E-1,3.115560412E-1,-5.747212768E-1
6.939588342E1,2.648648918E-1,-3.068614602E-1,-1.259205639E-1
6.964548642E1,4.044346809E-1,9.266477078E-2,-2.560386360E-1
6.989509042E1,-6.257916093E-1,7.292827368E-1,6.274405718E-1
7.014469342E1,-7.943257689E-2,-6.858198047E-1,-1.812339947E-2
7.039428400E1,3.704031110E-1,7.284174114E-2,-1.876363456E-1
7.064388700E1,-3.974764943E-1,1.432277560E0,1.247969270E-2
7.089349100E1,1.253114790E-1,-3.503130376E-1,1.393428892E-1
7.114309400E1,-5.562810898E-1,3.413401842E-1,-2.530081868E-1
7.139271200E1,4.922545329E-2,-7.907813415E-3,-1.873874366E-1
7.164231500E1,3.144314513E-2,4.589392841E-1,-3.737695515E-2
7.189191900E1,-2.789434493E-1,1.594068706E-1,-3.421018273E-2
7.214152200E1,-4.620199800E-1,-2.628707290E-1,4.878595769E-1
7.239112750E1,6.250808835E-1,-8.252759576E-1,-5.128420591E-1
7.264073150E1,-1.829536557E-1,2.733704746E-1,8.169612288E-2
7.289033450E1,3.850821555E-1,-2.966634557E-2,-1.245896146E-1
7.313993750E1,-3.601717651E-1,-4.266906679E-1,1.033684462E-1
7.338953025E1,-2.506792545E-1,-8.695733547E-1,-1.607304066E-1
7.363913425E1,2.325767726E-1,9.041664600E-1,1.038290262E-1
7.388873725E1,-2.309943438E-1,3.018118814E-2,-3.460900858E-2
