"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.947372997E1,5.209749905E1,5.132453553E0,2.290676117E0,2.740000010E0,3.515625000E1,1.000000000E1,1.000000000E1
7.047372949E1,5.209752852E1,5.132479118E0,2.327541351E0,2.890000105E0,2.496093750E1,1.000000000E1,1.000000000E1
7.147372949E1,5.209756368E1,5.132504012E0,2.580776215E0,3.789999962E0,2.285156250E1,1.000000000E1,1.000000000E1
7.247372854E1,5.209759427E1,5.132523626E0,2.935024261E0,2.789999962E0,2.531250000E1,1.000000000E1,1.000000000E1
7.347372770E1,5.209762327E1,5.132544665E0,2.897609711E0,3.650000095E0,2.707031250E1,1.000000000E1,1.000000000E1
7.447372770E1,5.209765500E1,5.132568972E0,2.904689789E0,3.650000095E0,2.777343750E1,1.000000000E1,1.000000000E1
7.547372627E1,5.209768413E1,5.132581964E0,2.557949066E0,3.650000095E0,1.968750000E1,1.000000000E1,1.000000000E1
7.647372580E1,5.209771304E1,5.132590095E0,2.604701996E0,3.150000095E0,1.722656250E1,1.000000000E1,1.000000000E1
7.747372460E1,5.209773433E1,5.132599901E0,2.918422699E0,2.349999905E0,1.968750000E1,1.000000000E1,1.000000000E1
7.847372341E1,5.209775177E1,5.132610211E0,3.014492035E0,2.349999905E0,2.179687500E1,1.000000000E1,1.000000000E1
7.947372282E1,5.209776480E1,5.132625382E0,2.843532562E0,2.250000000E0,2.671875000E1,1.000000000E1,1.000000000E1
8.047372210E1,5.209778303E1,5.132638039E0,2.710231781E0,2.250000000E0,2.460937500E1,1.000000000E1,1.000000000E1
8.147372091E1,5.209780164E1,5.132645248E0,2.842861176E0,2.109999895E0,2.214843750E1,1.000000000E1,1.000000000E1
8.247371960E1,5.209782243E1,5.132656228E0,2.431484222E0,2.180000067E0,1.828125000E1,1.000000000E1,1.000000000E1
8.347371829E1,5.209784309E1,5.132666621E0,2.449611664E0,2.180000067E0,1.863281250E1,1.000000000E1,1.000000000E1
8.447371709E1,5.209787326E1,5.132678859E0,2.517360687E0,2.180000067E0,1.792968750E1,1.000000000E1,1.000000000E1
8.547371650E1,5.209790654E1,5.132692270E0,2.535182953E0,3.190000057E0,1.617187500E1,1.000000000E1,1.000000000E1
8.647371507E1,5.209792854E1,5.132702496E0,2.513881683E0,3.190000057E0,1.511718750E1,1.000000000E1,1.000000000E1
8.747371364E1,5.209795767E1,5.132715320E0,2.658962250E0,3.329999924E0,1.722656250E1,1.000000000E1,1.000000000E1
8.847371244E1,5.209799807E1,5.132728564E0,2.592006683E0,3.490000010E0,1.406250000E1,1.000000000E1,1.000000000E1
8.947371054E1,5.209803239E1,5.132740047E0,2.605251312E0,3.490000010E0,1.230468750E1,1.000000000E1,1.000000000E1
9.047371054E1,5.209815448E1,5.132837696E0,1.495326996E0,3.490000010E0,4.921875000E0,1.000000000E1,1.000000000E1
9.147370875E1,5.209819023E1,5.132855717E0,1.173305511E0,2.859999895E0,7.031250000E0,1.000000000E1,1.000000000E1
