"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.636884713E1,2.837818909E1,2.424689484E1,3.404229736E1
8.661845013E1,4.654223633E1,3.846212006E1,5.915942383E1
8.686805312E1,2.277993774E1,1.548183441E1,2.964178467E1
8.711765713E1,2.171409607E1,1.744794464E1,4.606265259E1
8.736723800E1,4.382102966E1,3.552509308E1,6.368383789E1
8.761684100E1,3.241664124E1,2.111740875E1,3.362554932E1
8.786644500E1,3.530058289E1,2.731056976E1,3.688159180E1
8.811604800E1,1.104296875E1,1.354161835E1,3.478240967E1
8.836566088E1,4.115379333E1,4.019084930E1,9.070404053E1
8.861526388E1,2.075215149E1,1.557202911E1,3.628826904E1
8.886486788E1,3.498120117E1,2.577359772E1,2.627746582E1
8.911447087E1,2.250907898E1,1.525975800E1,3.765612793E1
8.936408529E1,2.029437256E1,2.264858246E1,5.539291382E1
8.961368829E1,3.792811584E1,3.360938263E1,4.970550537E1
8.986329229E1,2.328196716E1,1.878112030E1,3.337463379E1
9.011289529E1,4.459962463E1,3.753177643E1,4.718304443E1
9.036244963E1,1.690481567E1,2.163799286E1,4.251611328E1
9.061205263E1,1.831561279E1,2.154122162E1,4.419964600E1
9.086165563E1,2.412358093E1,2.077799225E1,3.432720947E1
9.111125963E1,2.615487671E1,2.208463287E1,3.528338623E1
9.136087500E1,3.546966553E1,3.359316254E1,4.198587036E1
9.161047800E1,3.161361694E1,2.977103424E1,3.681707764E1
9.186008100E1,7.287554932E1,6.507895660E1,8.144927979E1
9.210968500E1,3.085231018E1,2.187757111E1,3.089804077E1
9.235929029E1,3.858142090E1,2.588513947E1,2.586230469E1
9.260889329E1,3.246762085E1,3.031665802E1,3.944567871E1
9.285849629E1,2.459054565E1,2.277677155E1,3.603063965E1
9.310810029E1,7.622409058E1,6.488138580E1,8.505105591E1
9.335769500E1,1.651483154E1,1.574648285E1,2.903546143E1
9.360729800E1,2.594136047E1,1.907701874E1,3.162225342E1
9.385687100E1,2.164309692E1,1.754509735E1,4.233465576E1
9.410647400E1,3.218382263E1,3.155886078E1,5.481536865E1
9.435610392E1,2.941197205E1,2.525655365E1,3.772412109E1
9.460570692E1,2.065631104E1,1.765682220E1,2.829937744E1
9.485530992E1,2.846342468E1,2.600434113E1,4.555322266E1
9.510491292E1,2.146360779E1,2.045073700E1,3.883154297E1
9.535448938E1,3.153218079E1,3.093473053E1,5.200756836E1
9.560409238E1,2.997065735E1,2.813843536E1,4.010162354E1
9.585369538E1,2.317095947E1,2.501229095E1,3.447869873E1
9.610329838E1,2.278359985E1,2.114542389E1,3.397241211E1
9.635291300E1,3.255392456E1,3.653020477E1,6.985211182E1
9.660251600E1,2.541421509E1,2.732585907E1,4.037347412E1
9.685211900E1,2.819276428E1,1.815457916E1,2.977764893E1
9.710169200E1,7.292639160E1,6.746265411E1,7.466137695E1
9.735131538E1,2.370207214E1,2.001355743E1,3.471475220E1
9.760091937E1,3.135861206E1,3.439789581E1,6.160766602E1
9.785052238E1,2.313003540E1,2.715450287E1,4.625628662E1
9.810012538E1,2.063002014E1,2.127678680E1,3.892199707E1
9.834972867E1,2.320066833E1,2.342308807E1,3.424505615E1
