,Time (s),X (hPa),label
54,1.55965325525e+18,1008.992386,train
55,1.55965325629e+18,1009.076462,train
56,1.55965325733e+18,1009.173431,train
57,1.55965325837e+18,1009.278336,train
58,1.55965325941e+18,1009.391403,train
59,1.55965326045e+18,1009.513931,train
60,1.55965326149e+18,1009.637833,train
61,1.55965326253e+18,1009.748688,train
62,1.55965326357e+18,1009.834518,train
63,1.55965326461e+18,1009.893646,train
64,1.55965326565e+18,1009.893646,train
65,1.55965326669e+18,1009.893646,train
66,1.55965326774e+18,1009.862976,train
67,1.55965326878e+18,1009.825897,train
68,1.55965326982e+18,1009.78157,train
69,1.55965327086e+18,1009.746094,train
70,1.5596532719e+18,1009.676514,train
71,1.55965327294e+18,1009.59259,train
72,1.55965327398e+18,1009.503937,train
73,1.55965327502e+18,1009.405594,train
74,1.55965327606e+18,1009.304504,train
75,1.5596532771e+18,1009.212265,train
76,1.55965327814e+18,1009.137039,train
77,1.55965327918e+18,1009.085388,train
78,1.55965328022e+18,1009.045181,train
79,1.55965328126e+18,1009.011154,train
80,1.5596532823e+18,1008.978348,train
81,1.55965328335e+18,1008.947525,train
82,1.55965328439e+18,1008.913956,train
83,1.55965328543e+18,1008.90007,train
84,1.55965328647e+18,1008.90007,train
85,1.55965328751e+18,1008.922577,train
86,1.55965328855e+18,1008.951874,train
87,1.55965328959e+18,1008.981705,train
88,1.55965329063e+18,1009.00528,train
89,1.55965329167e+18,1009.023285,train
90,1.55965329271e+18,1009.03038,train
91,1.55965329375e+18,1009.039383,train
92,1.55965329479e+18,1009.047394,train
93,1.55965329583e+18,1009.047623,train
94,1.55965329687e+18,1009.048309,train
95,1.55965329791e+18,1009.052582,train
96,1.55965329895e+18,1009.053879,train
97,1.55965329999e+18,1009.055023,train
98,1.55965330103e+18,1009.062729,train
99,1.55965330207e+18,1009.064178,train
100,1.55965330311e+18,1009.064178,train
101,1.55965330415e+18,1009.056625,train
102,1.55965330519e+18,1009.041901,train
103,1.55965330623e+18,1009.02916,train
104,1.55965330727e+18,1009.013672,train
105,1.55965330831e+18,1009.008484,train
106,1.55965330935e+18,1009.004898,train
107,1.55965331039e+18,1009.002914,train
108,1.55965331143e+18,1008.994751,train
109,1.55965331247e+18,1008.983612,train
110,1.55965331351e+18,1008.970566,train
111,1.55965331455e+18,1008.967438,train
112,1.55965331559e+18,1008.967438,train
113,1.55965331663e+18,1008.975677,train
114,1.55965331767e+18,1008.984756,train
115,1.55965331871e+18,1008.99765,train
116,1.55965331975e+18,1009.004517,train
117,1.55965332079e+18,1009.004517,train
118,1.55965332183e+18,1008.998718,train
119,1.55965332287e+18,1008.995132,train
120,1.55965332391e+18,1008.991394,train
121,1.55965332495e+18,1008.988037,train
122,1.55965332599e+18,1008.98613,train
123,1.55965332703e+18,1008.983765,train
124,1.55965332807e+18,1008.974152,train
125,1.55965332911e+18,1008.964691,train
126,1.55965333015e+18,1008.962097,train
127,1.55965333119e+18,1008.958817,train
128,1.55965333223e+18,1008.955231,train
129,1.55965333327e+18,1008.952866,train
130,1.55965333431e+18,1008.946838,train
131,1.55965333535e+18,1008.939743,train
132,1.55965333639e+18,1008.932266,train
133,1.55965333743e+18,1008.926544,train
134,1.55965333847e+18,1008.924789,train
135,1.55965333951e+18,1008.922729,train
136,1.55965334055e+18,1008.918991,train
137,1.55965334159e+18,1008.91243,train
138,1.55965334263e+18,1008.908157,train
139,1.55965334367e+18,1008.90686,train
140,1.55965334471e+18,1008.90686,train
141,1.55965334575e+18,1008.916779,train
142,1.55965334679e+18,1008.934174,train
143,1.55965334783e+18,1008.948517,train
144,1.55965334887e+18,1008.959503,train
145,1.55965334991e+18,1008.961487,train
146,1.55965335095e+18,1008.961487,train
147,1.55965335199e+18,1008.956604,train
148,1.55965335304e+18,1008.952179,train
149,1.55965335408e+18,1008.945007,train
150,1.55965335512e+18,1008.941803,train
151,1.55965335616e+18,1008.941116,train
152,1.5596533572e+18,1008.939285,train
153,1.55965335824e+18,1008.934326,train
154,1.55965335928e+18,1008.934326,train
155,1.55965336032e+18,1008.940353,train
156,1.55965336136e+18,1008.952637,train
157,1.5596533624e+18,1008.960495,train
158,1.55965336344e+18,1008.97171,train
159,1.55965336448e+18,1008.97522,train
160,1.55965336552e+18,1008.97522,train
161,1.55965336656e+18,1008.969574,train
162,1.55965336761e+18,1008.961487,train
163,1.55965336865e+18,1008.960571,train
164,1.55965336969e+18,1008.960571,train
165,1.55965337073e+18,1008.963394,train
166,1.55965337177e+18,1008.968048,train
167,1.55965337281e+18,1008.980408,train
168,1.55965337385e+18,1008.98613,train
169,1.55965337489e+18,1008.986206,train
170,1.55965337593e+18,1008.98674,train
171,1.55965337697e+18,1008.98674,train
172,1.55965337801e+18,1008.98674,train
173,1.55965337905e+18,1008.98056,train
174,1.55965338009e+18,1008.972473,train
175,1.55965338114e+18,1008.962631,train
176,1.55965338218e+18,1008.954086,train
177,1.55965338322e+18,1008.948135,train
178,1.55965338426e+18,1008.948135,train
179,1.5596533853e+18,1008.954926,train
180,1.55965338634e+18,1008.965454,train
181,1.55965338738e+18,1008.973694,train
182,1.55965338842e+18,1008.973694,train
183,1.55965338946e+18,1008.972855,train
184,1.5596533905e+18,1008.968582,train
185,1.55965339154e+18,1008.966522,train
186,1.55965339259e+18,1008.965759,train
187,1.55965339363e+18,1008.965759,train
188,1.55965339467e+18,1008.96637,train
189,1.55965339571e+18,1008.96637,train
190,1.55965339675e+18,1008.959885,train
191,1.55965339779e+18,1008.944855,train
192,1.55965339883e+18,1008.931351,train
193,1.55965339987e+18,1008.915939,train
194,1.55965340091e+18,1008.897095,train
195,1.55965340195e+18,1008.884048,train
196,1.55965340299e+18,1008.874359,train
197,1.55965340404e+18,1008.874283,train
198,1.55965340508e+18,1008.874283,train
199,1.55965340612e+18,1008.878632,train
200,1.55965340716e+18,1008.88443,train
201,1.5596534082e+18,1008.890228,train
202,1.55965340924e+18,1008.890381,train
203,1.55965341028e+18,1008.890381,train
204,1.55965341132e+18,1008.887711,train
205,1.55965341237e+18,1008.883514,train
206,1.55965341341e+18,1008.882446,train
207,1.55965341445e+18,1008.882446,train
208,1.55965341549e+18,1008.889847,train
209,1.55965341653e+18,1008.903122,train
210,1.55965341757e+18,1008.918228,train
211,1.55965341861e+18,1008.931427,train
212,1.55965341965e+18,1008.944244,train
213,1.55965342069e+18,1008.949432,train
214,1.55965342174e+18,1008.949432,train
215,1.55965342278e+18,1008.948441,train
216,1.55965342382e+18,1008.945847,train
217,1.55965342486e+18,1008.943024,train
218,1.5596534259e+18,1008.941727,train
219,1.55965342694e+18,1008.941269,train
220,1.55965342798e+18,1008.938141,train
221,1.55965342903e+18,1008.938065,train
222,1.55965343007e+18,1008.937759,train
223,1.55965343111e+18,1008.936615,train
224,1.55965343215e+18,1008.936615,train
225,1.55965343319e+18,1008.939056,train
226,1.55965343423e+18,1008.944473,train
227,1.55965343527e+18,1008.944702,train
228,1.55965343631e+18,1008.944702,train
229,1.55965343735e+18,1008.939362,train
230,1.55965343839e+18,1008.934326,train
231,1.55965343943e+18,1008.926163,train
232,1.55965344047e+18,1008.898697,train
233,1.55965344151e+18,1008.87291,train
234,1.55965344255e+18,1008.853531,train
235,1.55965344359e+18,1008.83667,train
236,1.55965344464e+18,1008.833313,train
237,1.55965344568e+18,1008.833313,train
238,1.55965344672e+18,1008.84903,train
239,1.55965344776e+18,1008.859177,train
240,1.5596534488e+18,1008.864899,train
241,1.55965344984e+18,1008.868866,train
242,1.55965345088e+18,1008.884048,train
243,1.55965345192e+18,1008.899918,train
244,1.55965345297e+18,1008.919983,train
245,1.55965345401e+18,1008.947754,train
246,1.55965345505e+18,1008.970261,train
247,1.55965345609e+18,1008.981705,train
248,1.55965345713e+18,1008.987274,train
249,1.55965345817e+18,1008.987274,train
250,1.55965345921e+18,1008.983307,train
251,1.55965346025e+18,1008.980331,train
252,1.5596534613e+18,1008.971252,train
253,1.55965346234e+18,1008.960266,train
254,1.55965346338e+18,1008.952026,train
255,1.55965346442e+18,1008.945923,train
256,1.55965346546e+18,1008.938675,train
257,1.5596534665e+18,1008.927536,train
258,1.55965346754e+18,1008.918304,train
259,1.55965346858e+18,1008.905182,train
260,1.55965346962e+18,1008.892517,train
261,1.55965347066e+18,1008.877182,train
262,1.55965347171e+18,1008.861237,train
263,1.55965347274e+18,1008.84758,train
264,1.55965347379e+18,1008.837051,train
265,1.55965347483e+18,1008.821411,train
266,1.55965347587e+18,1008.802338,train
267,1.55965347691e+18,1008.781204,train
268,1.55965347795e+18,1008.752899,train
269,1.55965347899e+18,1008.7146,train
270,1.55965348003e+18,1008.669739,train
271,1.55965348107e+18,1008.622055,train
272,1.55965348211e+18,1008.576736,train
273,1.55965348315e+18,1008.530579,train
274,1.5596534842e+18,1008.48938,train
275,1.55965348524e+18,1008.448563,train
276,1.55965348628e+18,1008.415451,train
277,1.55965348732e+18,1008.382034,train
278,1.55965348836e+18,1008.351593,train
279,1.5596534894e+18,1008.334198,train
280,1.55965349044e+18,1008.331833,train
281,1.55965349149e+18,1008.331833,train
282,1.55965349253e+18,1008.350372,train
283,1.55965349357e+18,1008.380661,train
284,1.55965349461e+18,1008.425522,train
285,1.55965349565e+18,1008.483353,train
286,1.55965349669e+18,1008.54538,train
287,1.55965349773e+18,1008.611145,train
288,1.55965349877e+18,1008.680191,train
289,1.55965349981e+18,1008.742294,train
290,1.55965350085e+18,1008.789139,train
291,1.5596535019e+18,1008.82225,train
292,1.55965350294e+18,1008.843384,train
293,1.55965350398e+18,1008.850174,train
294,1.55965350502e+18,1008.850174,train
295,1.55965350606e+18,1008.833466,train
296,1.5596535071e+18,1008.812637,train
297,1.55965350814e+18,1008.792267,train
298,1.55965350918e+18,1008.766022,train
299,1.55965351022e+18,1008.746185,train
300,1.55965351127e+18,1008.730545,train
301,1.55965351231e+18,1008.71727,train
302,1.55965351334e+18,1008.705444,train
303,1.55965351438e+18,1008.701401,train
304,1.55965351542e+18,1008.689423,train
305,1.55965351647e+18,1008.675308,train
306,1.55965351751e+18,1008.656311,train
307,1.55965351855e+18,1008.636475,train
308,1.55965351959e+18,1008.618927,train
309,1.55965352063e+18,1008.608551,train
310,1.55965352167e+18,1008.608551,train
311,1.55965352271e+18,1008.617401,train
312,1.55965352375e+18,1008.644409,train
313,1.55965352479e+18,1008.667831,train
314,1.55965352584e+18,1008.691711,train
315,1.55965352688e+18,1008.713455,train
316,1.55965352792e+18,1008.721237,train
317,1.55965352896e+18,1008.721237,train
318,1.55965353e+18,1008.714828,train
319,1.55965353104e+18,1008.705673,train
320,1.55965353208e+18,1008.69873,train
321,1.55965353312e+18,1008.69873,train
322,1.55965353416e+18,1008.700714,train
323,1.55965353521e+18,1008.704681,train
324,1.55965353624e+18,1008.711853,train
325,1.55965353729e+18,1008.715286,train
326,1.55965353833e+18,1008.720169,train
327,1.55965353937e+18,1008.720398,train
328,1.55965354041e+18,1008.720398,train
329,1.55965354145e+18,1008.720016,train
330,1.55965354249e+18,1008.717422,train
331,1.55965354353e+18,1008.708191,train
332,1.55965354457e+18,1008.699493,train
333,1.55965354562e+18,1008.685913,train
334,1.55965354666e+18,1008.675842,train
335,1.5596535477e+18,1008.66745,train
336,1.55965354874e+18,1008.665466,train
337,1.55965354978e+18,1008.665466,train
338,1.55965355082e+18,1008.673172,train
339,1.55965355186e+18,1008.673172,train
340,1.5596535529e+18,1008.671494,train
341,1.55965355394e+18,1008.664169,train
342,1.55965355498e+18,1008.643646,train
343,1.55965355603e+18,1008.620377,train
344,1.55965355706e+18,1008.594666,train
345,1.55965355811e+18,1008.576508,train
346,1.55965355915e+18,1008.558197,train
347,1.55965356019e+18,1008.543015,train
348,1.55965356123e+18,1008.527832,train
349,1.55965356227e+18,1008.523865,train
350,1.55965356331e+18,1008.514252,train
351,1.55965356435e+18,1008.499374,train
352,1.55965356539e+18,1008.484802,train
353,1.55965356644e+18,1008.468246,train
354,1.55965356748e+18,1008.444901,train
355,1.55965356852e+18,1008.41507,train
356,1.55965356956e+18,1008.384857,train
357,1.5596535706e+18,1008.361282,train
358,1.55965357164e+18,1008.343277,train
359,1.55965357268e+18,1008.330078,train
360,1.55965357372e+18,1008.328247,train
361,1.55965357476e+18,1008.328247,train
362,1.55965357581e+18,1008.332062,train
363,1.55965357685e+18,1008.343582,train
364,1.55965357789e+18,1008.355713,train
365,1.55965357893e+18,1008.371506,train
366,1.55965357997e+18,1008.389435,train
367,1.55965358101e+18,1008.405838,train
368,1.55965358205e+18,1008.417969,train
369,1.55965358309e+18,1008.421173,train
370,1.55965358413e+18,1008.421173,train
371,1.55965358517e+18,1008.418198,train
372,1.55965358621e+18,1008.403549,train
373,1.55965358725e+18,1008.372955,train
374,1.55965358829e+18,1008.342896,train
375,1.55965358934e+18,1008.30246,train
376,1.55965359038e+18,1008.251801,train
377,1.55965359142e+18,1008.200302,train
378,1.55965359246e+18,1008.153458,train
379,1.5596535935e+18,1008.1073,train
380,1.55965359454e+18,1008.065186,train
381,1.55965359558e+18,1008.031998,train
382,1.55965359662e+18,1008.014526,train
383,1.55965359766e+18,1008.012924,train
384,1.5596535987e+18,1008.012924,train
385,1.55965359974e+18,1008.021927,train
386,1.55965360078e+18,1008.038864,train
387,1.55965360183e+18,1008.055191,train
388,1.55965360287e+18,1008.078995,train
389,1.55965360391e+18,1008.10997,train
390,1.55965360495e+18,1008.155136,train
