"Time (s)","X (hPa)"
2.328635170E2,1.009537125E3
2.339042860E2,1.009537125E3
2.349435330E2,1.009537506E3
2.359820370E2,1.009538345E3
2.370222310E2,1.009542694E3
2.380612670E2,1.009547348E3
2.390992850E2,1.009549942E3
2.401383510E2,1.009556885E3
2.411774530E2,1.009564896E3
2.422176860E2,1.009571304E3
2.432561810E2,1.009578400E3
2.442933740E2,1.009581757E3
2.453315450E2,1.009581757E3
2.463717730E2,1.009580841E3
2.474116120E2,1.009576874E3
2.484504400E2,1.009572449E3
2.494894870E2,1.009572067E3
2.505300720E2,1.009569473E3
2.515680870E2,1.009568100E3
2.526089120E2,1.009566116E3
2.536475360E2,1.009561691E3
2.546858230E2,1.009557114E3
2.557250530E2,1.009549408E3
2.567634250E2,1.009540024E3
2.578018740E2,1.009532776E3
2.588430070E2,1.009526443E3
2.598824130E2,1.009520798E3
2.609217600E2,1.009520798E3
2.619593100E2,1.009521408E3
2.629996870E2,1.009521790E3
2.640398730E2,1.009522324E3
2.650795230E2,1.009521790E3
2.661198880E2,1.009520645E3
2.671595120E2,1.009519424E3
2.681975180E2,1.009517288E3
2.692368370E2,1.009517288E3
2.702760930E2,1.009517670E3
2.713165920E2,1.009517670E3
2.723560990E2,1.009517136E3
2.733961040E2,1.009517136E3
2.744370880E2,1.009519424E3
2.754750200E2,1.009522705E3
2.765142620E2,1.009523468E3
2.775527230E2,1.009523926E3
2.785925840E2,1.009523926E3
2.796318410E2,1.009523926E3
2.806711890E2,1.009521790E3
2.817110500E2,1.009521408E3
2.827497210E2,1.009521790E3
2.837892480E2,1.009525146E3
2.848290760E2,1.009526291E3
2.858676660E2,1.009533997E3
2.869071010E2,1.009535370E3
2.879458400E2,1.009536591E3
2.889870130E2,1.009539490E3
2.900283490E2,1.009539490E3
2.910692410E2,1.009534760E3
2.921081870E2,1.009534683E3
2.931483250E2,1.009533844E3
2.941880580E2,1.009530563E3
2.952292330E2,1.009522781E3
2.962701390E2,1.009521790E3
2.973091260E2,1.009515610E3
2.983474340E2,1.009509125E3
2.993871690E2,1.009501648E3
3.004281910E2,1.009498749E3
3.014694750E2,1.009493637E3
3.025105060E2,1.009489517E3
3.035496690E2,1.009483566E3
3.045901830E2,1.009478760E3
3.056301970E2,1.009474792E3
3.066701610E2,1.009472733E3
3.077101460E2,1.009472046E3
3.087508430E2,1.009470215E3
3.097890030E2,1.009470215E3
3.108286530E2,1.009473343E3
3.118675480E2,1.009474335E3
3.129086810E2,1.009477997E3
3.139498880E2,1.009484100E3
3.149910840E2,1.009484100E3
3.160304360E2,1.009479370E3
3.170707270E2,1.009474564E3
3.181099800E2,1.009470825E3
3.191505180E2,1.009460449E3
3.201887110E2,1.009456253E3
3.212295470E2,1.009452133E3
3.222708470E2,1.009450989E3
3.233101800E2,1.009446259E3
3.243503190E2,1.009443817E3
3.253900330E2,1.009437256E3
3.264279270E2,1.009433365E3
3.274691150E2,1.009431839E3
3.285087630E2,1.009431839E3
3.295497510E2,1.009431839E3
3.305890330E2,1.009433899E3
3.316282220E2,1.009434204E3
3.326674760E2,1.009436340E3
3.337068260E2,1.009436951E3
3.347460770E2,1.009436951E3
3.357845390E2,1.009438858E3
3.368241700E2,1.009439926E3
3.378636980E2,1.009440460E3
3.389032300E2,1.009439926E3
3.399419660E2,1.009437790E3
3.409842750E2,1.009437485E3
3.420235880E2,1.009435425E3
3.430634850E2,1.009431915E3
3.441023830E2,1.009428482E3
3.451420370E2,1.009424362E3
3.461824520E2,1.009422684E3
3.472214970E2,1.009422150E3
3.482615230E2,1.009421539E3
3.492991070E2,1.009421387E3
3.503384690E2,1.009420242E3
3.513794840E2,1.009420242E3
3.524201160E2,1.009419098E3
3.534607050E2,1.009418411E3
3.545004530E2,1.009419098E3
3.555406470E2,1.009420013E3
3.565787450E2,1.009421310E3
3.576171170E2,1.009422150E3
3.586558570E2,1.009425583E3
3.596966100E2,1.009426956E3
3.607365080E2,1.009426956E3
3.617769540E2,1.009425125E3
3.628169780E2,1.009424896E3
3.638559240E2,1.009421310E3
3.648948630E2,1.009416580E3
3.659344940E2,1.009414368E3
3.669758010E2,1.009412308E3
3.680155450E2,1.009406738E3
3.690543450E2,1.009403992E3
3.700938770E2,1.009400787E3
3.711316780E2,1.009397430E3
3.721705860E2,1.009397202E3
3.732097170E2,1.009396973E3
3.742480500E2,1.009391174E3
3.752877620E2,1.009390793E3
3.763279560E2,1.009387665E3
3.773670040E2,1.009381256E3
3.784036260E2,1.009381256E3
3.794408790E2,1.009377289E3
3.804802600E2,1.009376678E3
3.815189170E2,1.009374390E3
3.825568010E2,1.009373474E3
3.835940300E2,1.009373245E3
3.846319020E2,1.009366913E3
3.856700800E2,1.009363327E3
3.867086350E2,1.009356842E3
3.877482190E2,1.009353256E3
3.887882350E2,1.009345856E3
3.898291410E2,1.009341278E3
3.908688350E2,1.009341278E3
3.919097070E2,1.009342880E3
3.929489950E2,1.009343567E3
3.939876320E2,1.009344482E3
3.950254770E2,1.009346390E3
3.960647750E2,1.009347763E3
3.971040070E2,1.009347763E3
3.981437760E2,1.009340668E3
3.991813230E2,1.009325714E3
4.002210980E2,1.009305878E3
4.012605410E2,1.009278564E3
4.023000650E2,1.009243317E3
4.033383220E2,1.009208527E3
4.043786800E2,1.009173508E3
4.054197740E2,1.009141464E3
4.064591540E2,1.009114380E3
4.074979290E2,1.009095154E3
4.085367980E2,1.009083481E3
4.095757730E2,1.009076614E3
4.106149320E2,1.009065552E3
4.116554050E2,1.009052277E3
4.126957400E2,1.009034271E3
4.137354660E2,1.009009094E3
4.147749600E2,1.008974915E3
