"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.117608135E2,5.233497300E1,4.868327128E0,4.371120453E0,1.299999952E0,8.789062500E0,1.000000000E1,1.000000000E1
1.127608094E2,5.233498553E1,4.868327882E0,4.040981293E0,1.299999952E0,3.339843750E2,1.000000000E1,1.000000000E1
1.137608029E2,5.233499345E1,4.868322937E0,3.154140472E0,1.539999962E0,3.389062500E2,1.000000000E1,1.000000000E1
1.147607983E2,5.233500954E1,4.868320003E0,3.739345551E0,2.039999962E0,3.469921875E2,1.000000000E1,1.000000000E1
1.157607944E2,5.233502220E1,4.868321680E0,3.490322113E0,2.039999962E0,3.564843750E2,1.000000000E1,1.000000000E1
1.167607893E2,5.233503222E1,4.868324948E0,3.297389984E0,1.039999962E0,4.570312500E0,1.000000000E1,1.000000000E1
1.177607847E2,5.233504022E1,4.868327295E0,2.760402679E0,8.799999952E-1,5.625000000E0,1.000000000E1,1.000000000E1
1.187607796E2,5.233504785E1,4.868330732E0,2.816432953E0,1.009999990E0,3.515625000E0,1.000000000E1,1.000000000E1
1.197607745E2,5.233505765E1,4.868335258E0,3.126003265E0,1.080000043E0,2.109375000E0,1.000000000E1,1.000000000E1
1.207607698E2,5.233506989E1,4.868339868E0,3.072353363E0,1.490000010E0,4.218750000E0,1.000000000E1,1.000000000E1
1.217607653E2,5.233508381E1,4.868344814E0,3.022426605E0,1.480000019E0,6.679687500E0,1.000000000E1,1.000000000E1
1.227607597E2,5.233510078E1,4.868346658E0,3.236293793E0,1.490000010E0,3.867187500E0,1.000000000E1,1.000000000E1
1.237607554E2,5.233511721E1,4.868353028E0,3.811244965E0,1.659999967E0,4.218750000E0,1.000000000E1,1.000000000E1
1.247607508E2,5.233513179E1,4.868357470E0,4.488185883E0,1.409999967E0,3.592968750E2,1.000000000E1,1.000000000E1
1.257607458E2,5.233514545E1,4.868361829E0,4.534999847E0,1.409999967E0,7.734375000E0,1.000000000E1,1.000000000E1
1.267607405E2,5.233515660E1,4.868368953E0,4.836940765E0,1.009999990E0,1.933593750E1,1.000000000E1,1.000000000E1
1.277607358E2,5.233516716E1,4.868373731E0,5.104763031E0,9.100000262E-1,3.505078125E2,1.000000000E1,1.000000000E1
1.287607313E2,5.233517781E1,4.868377754E0,5.199367523E0,7.099999785E-1,3.396093750E2,1.000000000E1,1.000000000E1
1.297607259E2,5.233519172E1,4.868379347E0,5.428798676E0,1.049999952E0,1.371093750E1,1.000000000E1,1.000000000E1
1.307607211E2,5.233520643E1,4.868382281E0,5.588893890E0,1.049999952E0,8.789062500E0,1.000000000E1,1.000000000E1
1.317607163E2,5.233522039E1,4.868386304E0,5.631374359E0,1.009999990E0,5.273437500E0,1.000000000E1,1.000000000E1
1.327607117E2,5.233523439E1,4.868388902E0,5.995754242E0,1.009999990E0,2.812500000E0,1.000000000E1,1.000000000E1
1.337607073E2,5.233524725E1,4.868392004E0,6.342556000E0,1.149999976E0,1.546875000E1,1.000000000E1,1.000000000E1
1.347607014E2,5.233525823E1,4.868395273E0,6.687038422E0,9.300000072E-1,5.976562500E0,1.000000000E1,1.000000000E1
1.357606966E2,5.233527164E1,4.868396781E0,7.097255707E0,1.309999943E0,3.585937500E2,1.000000000E1,1.000000000E1
1.367606920E2,5.233528920E1,4.868396698E0,6.708095551E0,1.309999943E0,3.505078125E2,1.000000000E1,1.000000000E1
1.377606868E2,5.233530609E1,4.868394770E0,7.299770355E0,1.549999952E0,3.557812500E2,1.000000000E1,1.000000000E1
1.387606826E2,5.233532256E1,4.868392088E0,7.418788910E0,1.559999943E0,3.469921875E2,1.000000000E1,1.000000000E1
1.397606777E2,5.233533790E1,4.868387477E0,7.610012054E0,1.250000000E0,3.413671875E2,1.000000000E1,1.000000000E1
1.407606729E2,5.233535219E1,4.868382029E0,7.513515472E0,1.450000048E0,3.434765625E2,1.000000000E1,1.000000000E1
1.417606677E2,5.233536619E1,4.868377754E0,7.306240082E0,1.250000000E0,3.575390625E2,1.000000000E1,1.000000000E1
1.427606624E2,5.233538019E1,4.868373983E0,7.233486176E0,1.450000048E0,3.476953125E2,1.000000000E1,1.000000000E1
1.437606583E2,5.233539695E1,4.868371217E0,7.010890961E0,1.519999981E0,3.543750000E2,1.000000000E1,1.000000000E1
1.447606524E2,5.233541280E1,4.868368283E0,6.840297699E0,1.559999943E0,3.526171875E2,1.000000000E1,1.000000000E1
1.457606484E2,5.233542466E1,4.868363254E0,6.642910004E0,1.559999943E0,3.396093750E2,1.000000000E1,1.000000000E1
1.467606435E2,5.233543618E1,4.868357889E0,7.043422699E0,1.460000038E0,3.494531250E2,1.000000000E1,1.000000000E1
1.477606385E2,5.233545165E1,4.868353112E0,6.852443695E0,1.460000038E0,3.519140625E2,1.000000000E1,1.000000000E1
1.487606341E2,5.233546724E1,4.868348753E0,6.647853851E0,1.580000043E0,3.515625000E2,1.000000000E1,1.000000000E1
1.497606287E2,5.233548157E1,4.868343640E0,6.577358246E0,1.360000014E0,3.427734375E2,1.000000000E1,1.000000000E1
1.507606238E2,5.233549096E1,4.868339701E0,6.406398773E0,1.360000014E0,3.364453125E2,1.000000000E1,1.000000000E1
1.517606195E2,5.233549976E1,4.868333498E0,6.373500824E0,1.230000019E0,3.346875000E2,1.000000000E1,1.000000000E1
1.527606138E2,5.233551309E1,4.868326709E0,6.414455414E0,1.230000019E0,3.508593750E2,1.000000000E1,1.000000000E1
1.537606089E2,5.233552742E1,4.868320255E0,6.811672211E0,1.409999967E0,3.448828125E2,1.000000000E1,1.000000000E1
1.547606045E2,5.233554397E1,4.868316399E0,7.038478851E0,1.919999957E0,3.529687500E2,1.000000000E1,1.000000000E1
1.557605996E2,5.233555994E1,4.868313130E0,7.207241058E0,1.919999957E0,3.469921875E2,1.000000000E1,1.000000000E1
1.567605951E2,5.233557419E1,4.868310364E0,7.500087738E0,1.620000005E0,3.508593750E2,1.000000000E1,1.000000000E1
1.577605901E2,5.233558815E1,4.868307766E0,7.726039886E0,1.580000043E0,3.438281250E2,1.000000000E1,1.000000000E1
1.587605852E2,5.233560177E1,4.868305000E0,7.446254730E0,1.440000057E0,3.487500000E2,1.000000000E1,1.000000000E1
1.597605796E2,5.233561727E1,4.868300809E0,7.395046234E0,1.629999995E0,3.452343750E2,1.000000000E1,1.000000000E1
1.607605752E2,5.233563098E1,4.868295277E0,7.402370453E0,1.629999995E0,3.406640625E2,1.000000000E1,1.000000000E1
1.617605702E2,5.233564418E1,4.868288487E0,7.434413910E0,1.580000043E0,3.389062500E2,1.000000000E1,1.000000000E1
1.627605653E2,5.233565642E1,4.868280357E0,7.209011078E0,1.389999986E0,3.434765625E2,1.000000000E1,1.000000000E1
1.637605603E2,5.233566886E1,4.868273232E0,7.213954926E0,1.519999981E0,3.487500000E2,1.000000000E1,1.000000000E1
1.647605561E2,5.233568223E1,4.868266946E0,7.241970062E0,1.330000043E0,3.469921875E2,1.000000000E1,1.000000000E1
1.657605506E2,5.233569443E1,4.868263761E0,7.201137543E0,1.330000043E0,3.557812500E2,1.000000000E1,1.000000000E1
1.667605455E2,5.233570725E1,4.868259570E0,7.117336273E0,1.330000043E0,3.487500000E2,1.000000000E1,1.000000000E1
1.677605411E2,5.233572108E1,4.868254205E0,7.244594574E0,1.399999976E0,3.508593750E2,1.000000000E1,1.000000000E1
1.687605364E2,5.233573370E1,4.868248506E0,7.079494476E0,1.399999976E0,3.389062500E2,1.000000000E1,1.000000000E1
1.697605319E2,5.233574577E1,4.868241297E0,7.000637054E0,1.129999995E0,3.410156250E2,1.000000000E1,1.000000000E1
1.707605268E2,5.233575687E1,4.868235933E0,6.934719086E0,1.129999995E0,4.218750000E0,1.000000000E1,1.000000000E1
1.717605215E2,5.233577007E1,4.868232831E0,6.916347504E0,1.129999995E0,1.054687500E1,1.000000000E1,1.000000000E1
1.727605160E2,5.233578390E1,4.868233334E0,7.041225433E0,1.179999948E0,3.164062500E0,1.000000000E1,1.000000000E1
1.737605118E2,5.233579522E1,4.868234927E0,6.907314301E0,1.179999948E0,1.265625000E1,1.000000000E1,1.000000000E1
1.747605066E2,5.233580842E1,4.868239537E0,6.757656097E0,1.429999948E0,1.230468750E1,1.000000000E1,1.000000000E1
1.757605029E2,5.233582351E1,4.868244147E0,6.622890472E0,1.429999948E0,1.300781250E1,1.000000000E1,1.000000000E1
1.767604970E2,5.233583960E1,4.868248757E0,6.643215179E0,1.429999948E0,5.976562500E0,1.000000000E1,1.000000000E1
1.777604916E2,5.233585427E1,4.868252026E0,6.395412445E0,1.419999957E0,2.812500000E0,1.000000000E1,1.000000000E1
1.787604877E2,5.233587120E1,4.868251020E0,6.285366058E0,1.570000052E0,3.508593750E2,1.000000000E1,1.000000000E1
1.797604825E2,5.233588981E1,4.868249176E0,6.564174652E0,1.580000043E0,2.109375000E0,1.000000000E1,1.000000000E1
1.807604773E2,5.233590674E1,4.868246326E0,6.001918793E0,1.590000033E0,1.406250000E0,1.000000000E1,1.000000000E1
1.817604734E2,5.233592237E1,4.868248589E0,5.964870453E0,1.580000043E0,6.328125000E0,1.000000000E1,1.000000000E1
1.827604684E2,5.233593813E1,4.868253954E0,6.009609222E0,1.529999971E0,1.195312500E1,1.000000000E1,1.000000000E1
1.837604632E2,5.233595360E1,4.868258731E0,6.034877777E0,1.500000000E0,1.300781250E1,1.000000000E1,1.000000000E1
1.847604581E2,5.233596831E1,4.868263006E0,6.356838226E0,1.559999943E0,5.976562500E0,1.000000000E1,1.000000000E1
1.857604538E2,5.233598184E1,4.868265856E0,6.312221527E0,1.559999943E0,6.328125000E0,1.000000000E1,1.000000000E1
1.867604487E2,5.233599588E1,4.868264683E0,5.945156097E0,1.299999952E0,2.074218750E1,1.000000000E1,1.000000000E1
1.877604437E2,5.233601105E1,4.868262587E0,5.833034515E0,1.299999952E0,1.125000000E1,1.000000000E1,1.000000000E1
1.887604390E2,5.233603008E1,4.868260156E0,5.876796722E0,1.429999948E0,7.031250000E0,1.000000000E1,1.000000000E1
1.897604339E2,5.233604819E1,4.868254960E0,5.795192719E0,1.559999943E0,1.406250000E0,1.000000000E1,1.000000000E1
1.907604293E2,5.233606235E1,4.868249176E0,6.038112640E0,1.559999943E0,1.476562500E1,1.000000000E1,1.000000000E1
1.917604240E2,5.233607325E1,4.868246578E0,6.121913910E0,1.169999957E0,2.496093750E1,1.000000000E1,1.000000000E1
1.927604192E2,5.233608758E1,4.868244650E0,6.195522308E0,1.169999957E0,1.265625000E1,1.000000000E1,1.000000000E1
1.937604144E2,5.233609898E1,4.868241884E0,5.975734711E0,9.399999976E-1,2.601562500E1,1.000000000E1,1.000000000E1
1.947604105E2,5.233610770E1,4.868236687E0,5.923366547E0,6.399999857E-1,2.250000000E1,1.000000000E1,1.000000000E1
1.957604054E2,5.233611692E1,4.868237777E0,5.798061371E0,1.090000033E0,3.691406250E1,1.000000000E1,1.000000000E1
1.967603999E2,5.233612890E1,4.868244482E0,5.721157074E0,1.090000033E0,3.902343750E1,1.000000000E1,1.000000000E1
1.977603955E2,5.233614022E1,4.868252026E0,5.775234222E0,1.360000014E0,4.183593750E1,1.000000000E1,1.000000000E1
1.987603904E2,5.233615011E1,4.868257390E0,5.871059418E0,1.360000014E0,3.972656250E1,1.000000000E1,1.000000000E1
1.997603853E2,5.233615623E1,4.868256804E0,5.901821136E0,4.499999881E-1,2.214843750E1,1.000000000E1,1.000000000E1
2.007603810E2,5.233616583E1,4.868256720E0,5.974391937E0,1.440000057E0,2.566406250E1,1.000000000E1,1.000000000E1
2.017603757E2,5.233618217E1,4.868256971E0,6.156703949E0,1.440000057E0,1.546875000E1,1.000000000E1,1.000000000E1
2.027603707E2,5.233619768E1,4.868256636E0,6.135951996E0,1.529999971E0,1.054687500E0,1.000000000E1,1.000000000E1
