"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.868338879E1,-5.809605122E-2,-1.116691809E-2,2.749443613E-2
4.893306437E1,-3.709932417E-2,-4.022167251E-2,2.587553859E-2
4.918272838E1,-2.166344784E-2,-9.033493698E-3,2.894959226E-2
4.943239238E1,-1.840703934E-2,7.391930558E-3,1.503140666E-3
4.968205738E1,3.873924911E-2,3.102028370E-2,1.193628646E-3
4.993172138E1,-1.185956318E-2,1.852001809E-2,1.421924029E-2
5.018137504E1,7.577377371E-3,-2.674955875E-3,-6.250146776E-3
5.043103904E1,9.888735600E-3,-4.015590996E-3,4.747909494E-3
5.068070304E1,1.486493181E-2,5.749077536E-3,-2.887198702E-3
5.093036804E1,3.086232580E-3,4.025110044E-3,-2.039546147E-3
5.118004087E1,-8.919760585E-3,-1.094015408E-2,-5.460130051E-4
5.142970488E1,-2.599395346E-3,1.102003176E-2,1.448507514E-2
5.167936988E1,-5.451897159E-3,-1.147347223E-2,6.043264177E-3
5.192903387E1,-1.856831275E-2,-1.475920435E-2,1.103678159E-2
5.217871100E1,1.989858225E-2,-5.081112497E-3,-1.169545855E-2
5.242834500E1,2.500478737E-2,7.152177393E-3,-9.743693285E-3
5.267800900E1,1.366918162E-2,2.295265347E-2,-7.713767700E-3
5.292767400E1,-1.897340454E-2,2.136556432E-4,5.274494179E-3
5.317732250E1,-6.087849382E-3,-1.954516023E-2,3.360792249E-2
5.342698650E1,2.564846352E-2,1.156787854E-2,-7.792272605E-3
5.367665150E1,-2.901833504E-4,-7.101592608E-3,5.073454231E-4
5.392631550E1,2.056633681E-2,7.249396294E-4,8.258735761E-3
5.417601237E1,1.983553544E-2,1.911384985E-3,-3.236429766E-3
5.442567738E1,-5.016195029E-2,-3.452222049E-2,9.599734098E-3
5.467534138E1,-2.511740662E-2,-4.217586480E-3,1.640725508E-2
5.492497538E1,-8.852533065E-3,3.157263622E-3,1.764183678E-2
5.517462867E1,-1.041699946E-2,5.338598043E-3,1.155338250E-2
5.542429267E1,-7.114573848E-3,8.184339851E-3,6.042458117E-4
5.567395767E1,-4.938479979E-3,-2.638192847E-2,6.093292497E-3
5.592362167E1,3.320193384E-3,1.053698268E-2,4.817468580E-3
5.617331238E1,-1.668722183E-2,-1.900735125E-2,2.592455596E-3
5.642297638E1,4.013439175E-3,-3.170324489E-4,1.203564927E-3
5.667261038E1,2.945431508E-3,5.988879129E-3,-2.004121430E-3
5.692227538E1,-6.899938453E-3,-1.123421453E-2,7.400597446E-3
5.717192550E1,3.396123182E-3,-3.260299563E-3,1.781988889E-3
5.742158950E1,-5.587678868E-3,-5.139006302E-3,-2.633349039E-3
5.767125350E1,-4.533840343E-3,4.326633178E-3,1.461266540E-3
5.792091850E1,-3.155353013E-3,-6.422366481E-3,-2.134916373E-3
5.817060954E1,-1.993145049E-2,-1.813428849E-2,9.201068431E-3
5.842024354E1,1.861023530E-2,3.943876363E-3,-3.002126701E-3
5.866990754E1,1.807842776E-2,1.736297645E-2,1.359337941E-3
5.891957154E1,-2.097596042E-2,1.407700498E-2,1.432390511E-2
5.916924475E1,-1.780167967E-2,-2.323257737E-3,4.610180389E-3
5.941890875E1,-4.671832547E-3,-1.762231812E-3,1.900187135E-2
5.966854275E1,-1.349338796E-2,1.964229532E-2,-2.577723935E-4
5.991820675E1,6.143465638E-3,-1.662671007E-2,-4.592249170E-4
6.016787967E1,1.554963365E-2,-5.726634059E-3,-7.707609795E-3
6.041754467E1,7.231310941E-3,1.143026724E-2,2.767033875E-4
6.066720867E1,-1.782423817E-3,2.346038818E-4,4.715127405E-3
6.091684267E1,-3.048073268E-3,3.307384439E-3,2.422885969E-3
6.116652104E1,-3.245227970E-3,1.035152189E-2,-2.531833947E-3
6.141618604E1,-2.164263092E-2,-1.044048276E-2,-1.906810328E-3
6.166585004E1,5.612541456E-3,3.770918585E-3,1.955363899E-3
6.191551404E1,1.142521575E-2,2.033221535E-3,-2.550548874E-3
6.216514304E1,7.125106640E-3,-1.035120804E-2,-6.012085825E-3
6.241480704E1,3.605819307E-3,-2.379645593E-3,3.778933547E-3
6.266447204E1,-6.646085065E-3,5.481895059E-4,-3.886939958E-4
6.291413604E1,-9.337521158E-3,1.218206901E-2,6.050536875E-3
6.316377850E1,-1.017983351E-2,-9.143319912E-3,1.196757425E-2
6.341344250E1,4.812235944E-3,4.833107814E-4,-8.127273992E-3
6.366310650E1,-5.706657190E-3,7.001947612E-3,1.255312655E-2
6.391277150E1,2.649513260E-2,-2.456811257E-3,-5.039501935E-3
6.416241779E1,1.920602471E-2,-1.200749166E-2,-8.573133498E-3
6.441208279E1,-5.368466489E-3,1.681064069E-2,1.446271501E-2
6.466174679E1,-2.173009561E-3,5.273725837E-3,8.731828071E-3
6.491138079E1,-6.234837696E-3,7.380515337E-3,9.653287008E-3
6.516106012E1,-8.290931582E-4,1.292283833E-2,2.391706780E-2
6.541072413E1,-8.892381564E-3,1.178777777E-3,-7.817717269E-4
6.566038913E1,1.147569530E-2,-4.214793444E-3,-3.201811574E-3
6.591002213E1,2.332831547E-2,-2.168340422E-2,-1.507074852E-2
6.615969588E1,6.963330787E-3,-9.969018400E-3,-7.368287072E-3
6.640935988E1,1.037254930E-2,-3.275807947E-3,-6.513498724E-3
6.665899388E1,-1.054354571E-2,-2.266027033E-2,-1.886859536E-6
6.690865787E1,-1.266460307E-2,1.858546399E-2,8.232015185E-3
6.715832967E1,-2.424156107E-2,1.004507486E-2,9.362559766E-3
6.740796367E1,-2.867557295E-2,-3.318110481E-3,1.672001556E-2
6.765762867E1,1.970048994E-2,-1.268223114E-2,-8.455769159E-3
6.790729267E1,3.508125432E-3,7.797022350E-3,-6.843134761E-3
6.815692650E1,-8.489138447E-3,-1.210788917E-2,4.264789168E-3
6.840659050E1,-1.185559481E-2,1.673575491E-3,5.838477053E-3
6.865625450E1,-1.033659838E-2,1.261506975E-2,-1.153418794E-3
6.890588850E1,-1.236715820E-2,1.282635424E-2,6.704700179E-3
6.915556575E1,-4.842388444E-4,7.582967170E-3,-4.834425636E-3
6.940523075E1,9.439181536E-3,-6.547693163E-3,-9.129336104E-4
6.965489475E1,3.902701195E-3,-1.909317449E-3,3.546114080E-3
6.990452875E1,-1.108558476E-2,5.511435680E-3,1.436760649E-3
7.015421638E1,-2.165713347E-3,1.107341517E-2,1.400870085E-2
7.040388038E1,-3.854460642E-2,-1.788896695E-2,2.752259374E-3
