"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.070832752E2,8.742584229E0,-3.344619751E0,3.961547852E0
3.073329112E2,8.614212036E0,-3.365020752E0,4.174316406E0
3.075825762E2,8.652725220E0,-3.692764282E0,4.982360840E0
3.078322402E2,9.303497314E0,-2.943237305E0,5.328979492E0
3.080818742E2,1.007331848E1,-3.462478638E0,7.315979004E0
3.083315463E2,9.587081909E0,-1.720581055E0,7.140197754E0
3.085812102E2,9.917755127E0,-1.823165894E0,5.041687012E0
3.088308443E2,9.034759521E0,-2.179626465E0,4.403564453E0
3.090805083E2,9.630905151E0,-1.362060547E0,4.674621582E0
3.093301854E2,9.560043335E0,-1.394256592E0,4.747314453E0
3.095798184E2,1.114320374E1,-1.624298096E0,6.044006348E0
3.098294834E2,1.024365234E1,3.405593872E0,4.100097656E0
3.100791474E2,1.156369019E1,6.854248047E-1,3.450927734E-1
3.103287641E2,8.762466431E0,-2.331542969E-1,5.262451172E-1
3.105784281E2,9.201431274E0,-2.005462646E-1,9.781494141E-1
3.108280931E2,1.009991455E1,-2.905426025E-1,2.193054199E0
3.110777261E2,1.143774414E1,-3.599472046E0,7.489318848E0
3.113274078E2,1.029458618E1,-5.100708008E-1,4.017944336E0
3.115770408E2,9.717636108E0,5.166625977E-2,3.488220215E0
3.118267058E2,1.103605652E1,-1.589920044E0,6.670410156E0
3.120763698E2,1.041094971E1,2.493560791E0,3.449035645E0
3.123260295E2,1.093109131E1,3.660202026E0,3.565063477E0
3.125756935E2,1.224783325E1,6.373748779E-1,4.685119629E0
3.128253575E2,1.181346130E1,4.947326660E0,4.809692383E0
3.130749915E2,1.183009338E1,1.940429688E0,1.003906250E0
3.133246645E2,9.234649658E0,7.921600342E-1,4.943237305E-1
3.135743285E2,9.368301392E0,8.313751221E-1,1.039367676E0
3.138239625E2,1.004988098E1,1.614669800E0,2.152893066E0
3.140736265E2,1.207899475E1,1.261184692E0,4.381286621E0
3.143233004E2,1.091937256E1,3.294464111E0,3.386718750E0
3.145729344E2,1.068588257E1,3.506423950E0,3.078186035E0
3.148225984E2,1.074395752E1,3.503433228E0,2.854614258E0
3.150722324E2,1.096633911E1,4.449935913E0,3.384277344E0
3.153218993E2,1.152450562E1,5.210189819E0,3.938842773E0
3.155715642E2,1.192111206E1,4.787963867E0,5.559997559E0
3.158211982E2,1.135560608E1,4.996536255E0,5.461242676E0
3.160708623E2,1.234298706E1,2.832839966E0,2.970275879E0
3.163205331E2,9.438964844E0,1.284500122E0,2.025878906E0
3.165701671E2,9.847351074E0,1.846405029E0,4.087524414E0
3.168198311E2,8.918380737E0,2.443222046E0,5.616760254E0
3.170694961E2,9.243652344E0,8.284149170E-1,8.565368652E0
3.173191160E2,5.799865723E0,2.840820312E0,7.124816895E0
3.175687810E2,-5.574951172E-1,-2.075180054E0,-2.696105957E0
3.178184450E2,9.649276733E0,-6.480987549E0,-1.912145996E1
3.180680790E2,1.361068726E1,-1.079147339E0,-5.140441895E0
3.183177794E2,1.248472595E1,9.697723389E-1,-1.241027832E0
3.185674434E2,1.177188110E1,1.393951416E0,1.236328125E0
3.188170774E2,1.017494202E1,2.057907104E0,1.074157715E0
3.190667414E2,9.358047485E0,2.291122437E0,1.107849121E0
3.193163942E2,9.642578125E0,1.310150146E0,9.433593750E-1
3.195660282E2,1.036219788E1,1.578765869E0,1.275329590E0
3.198156922E2,1.102694702E1,2.638778687E0,2.179504395E0
3.200653562E2,1.122753906E1,4.037429810E0,3.283508301E0
3.203150137E2,1.192462158E1,4.947631836E0,3.464782715E0
3.205646777E2,1.187007141E1,5.799652100E0,4.413696289E0
3.208143427E2,1.096688843E1,5.771362305E0,4.224426270E0
3.210639757E2,1.115287781E1,6.220413208E0,5.091674805E0
3.213136244E2,1.211625671E1,6.137420654E0,4.879821777E0
3.215632884E2,1.350746155E1,6.047988892E0,6.001281738E0
3.218129524E2,1.206698608E1,7.421997070E0,5.555419922E0
3.220625864E2,1.341537476E1,4.964294434E0,3.503662109E0
3.223122836E2,9.433135986E0,2.348663330E0,1.205932617E0
3.225619486E2,1.089889526E1,4.114120483E0,2.567199707E0
3.228116126E2,1.129785156E1,4.626678467E0,3.378662109E0
3.230612466E2,1.076290894E1,5.390701294E0,4.589904785E0
3.233109211E2,1.149674988E1,5.986968994E0,4.307434082E0
3.235605851E2,1.259129333E1,3.570877075E0,1.420471191E0
3.238102501E2,9.112487793E0,2.666427612E0,-5.942993164E-1
3.240598831E2,9.426086426E0,2.838958740E0,-1.561279297E-1
3.243095428E2,9.876251221E0,3.391235352E0,7.435913086E-1
3.245592068E2,1.119837952E1,2.853652954E0,1.924621582E0
3.248088408E2,1.066955566E1,5.107070923E0,2.107421875E0
3.250585048E2,1.047613525E1,4.759124756E0,1.918273926E0
3.253081725E2,1.061816406E1,5.802780151E0,2.704406738E0
3.255578375E2,1.112763977E1,5.206756592E0,3.616210938E0
3.258074715E2,1.121241760E1,5.096359253E0,4.722473145E0
3.260571355E2,1.182070923E1,3.708312988E0,5.900756836E0
3.263068024E2,1.176934814E1,5.592987061E0,4.154846191E0
3.265564664E2,1.176252747E1,2.696060181E0,1.050170898E0
3.268061004E2,9.900054932E0,2.834320068E0,-7.414550781E-1
3.270557654E2,1.007508850E1,3.494522095E0,-1.146850586E-1
3.273054445E2,1.020489502E1,3.947570801E0,6.316528320E-1
3.275550785E2,1.053349304E1,3.794174194E0,1.747985840E0
3.278047425E2,1.098696899E1,5.317550659E0,1.440673828E0
3.280544065E2,1.082882690E1,5.140365601E0,1.372863770E0
3.283040949E2,1.050906372E1,5.144363403E0,1.913574219E0
