"Time (s)","Pressure (hPa)"
1.600809293E2,1.022315430E3
1.601809172E2,1.022315430E3
1.602809052E2,1.022302979E3
1.603808932E2,1.022274658E3
1.604808812E2,1.022274658E3
1.605808691E2,1.022313477E3
1.606808571E2,1.022295410E3
1.607808451E2,1.022295410E3
1.608808331E2,1.022324463E3
1.609808211E2,1.022452148E3
1.610808090E2,1.022452148E3
1.611807969E2,1.022345703E3
1.612807849E2,1.022358154E3
1.613807732E2,1.022358154E3
1.614807614E2,1.022367188E3
1.615807496E2,1.022379150E3
1.616807378E2,1.022379150E3
1.617807260E2,1.022354736E3
1.618807142E2,1.022299561E3
1.619807024E2,1.022299561E3
1.620806906E2,1.022286133E3
1.621806786E2,1.022375977E3
1.622806664E2,1.022375977E3
1.623806545E2,1.022390381E3
1.624806428E2,1.022361328E3
1.625806310E2,1.022361328E3
1.626806192E2,1.022414551E3
1.627806074E2,1.022370117E3
1.628805956E2,1.022370117E3
1.629805839E2,1.022400391E3
1.630805721E2,1.022251465E3
1.631805603E2,1.022251465E3
1.632805484E2,1.022219971E3
1.633805365E2,1.022280518E3
1.634805247E2,1.022280518E3
1.635804694E2,1.022301758E3
1.636804576E2,1.022228760E3
1.637804458E2,1.022228760E3
1.638804341E2,1.022182129E3
1.639804223E2,1.022174072E3
1.640804105E2,1.022174072E3
1.641803987E2,1.022242920E3
1.642803867E2,1.022354980E3
1.643803746E2,1.022354980E3
1.644803625E2,1.022273438E3
1.645803507E2,1.022251465E3
1.646803389E2,1.022251465E3
1.647803271E2,1.022274902E3
1.648803152E2,1.022264404E3
1.649803034E2,1.022264404E3
1.650802916E2,1.022307861E3
1.651802798E2,1.022269775E3
1.652802680E2,1.022269775E3
1.653802559E2,1.022252930E3
1.654802438E2,1.022169678E3
1.655802317E2,1.022169678E3
1.656802197E2,1.022321289E3
1.657802077E2,1.022151855E3
1.658801957E2,1.022151855E3
1.659801836E2,1.022174805E3
1.660801716E2,1.022292480E3
1.661801596E2,1.022292480E3
1.662801476E2,1.022241699E3
1.663801356E2,1.022189453E3
1.664801234E2,1.022189453E3
1.665801113E2,1.022172363E3
1.666800994E2,1.022142334E3
1.667800876E2,1.022142334E3
1.668800758E2,1.022217285E3
1.669800640E2,1.022191162E3
1.670800523E2,1.022191162E3
1.671800405E2,1.022225830E3
1.672800287E2,1.022282227E3
1.673800169E2,1.022282227E3
1.674800051E2,1.022217285E3
1.675799930E2,1.022206055E3
1.676799809E2,1.022206055E3
1.677799691E2,1.022245605E3
1.678799573E2,1.022292969E3
1.679799455E2,1.022292969E3
1.680799337E2,1.022318604E3
1.681799219E2,1.022312988E3
1.682799101E2,1.022312988E3
1.683798984E2,1.022326416E3
1.684798866E2,1.022297607E3
1.685798747E2,1.022297607E3
1.686798628E2,1.022325439E3
1.687798509E2,1.022326904E3
1.688798392E2,1.022326904E3
1.689798274E2,1.022389648E3
1.690798156E2,1.022381836E3
1.691798038E2,1.022381836E3
1.692797920E2,1.022349121E3
1.693797803E2,1.022286621E3
1.694797685E2,1.022286621E3
1.695797567E2,1.022271484E3
1.696797447E2,1.022368408E3
1.697797325E2,1.022368408E3
1.698797205E2,1.022290527E3
1.699797087E2,1.022339600E3
1.700796969E2,1.022339600E3
1.701796851E2,1.022290039E3
1.702796732E2,1.022323730E3
1.703796614E2,1.022323730E3
1.704796496E2,1.022261230E3
1.705796378E2,1.022345703E3
1.706796259E2,1.022345703E3
1.707796139E2,1.022346924E3
1.708795875E2,1.022366455E3
1.709795755E2,1.022343994E3
1.710795635E2,1.022321777E3
1.711795515E2,1.022214600E3
1.712795395E2,1.022259521E3
1.713795275E2,1.022239258E3
1.714795155E2,1.022174805E3
1.715795035E2,1.022241699E3
1.716794914E2,1.022284668E3
1.717794794E2,1.022300781E3
1.718794673E2,1.022308350E3
1.719794551E2,1.022303467E3
1.720794433E2,1.022269531E3
1.721794315E2,1.022278809E3
1.722794197E2,1.022230225E3
1.723794079E2,1.022272949E3
1.724793962E2,1.022256592E3
