"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.924770299E2,5.214447808E1,5.020583906E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.699670638E3,1.699670638E3
4.924934089E2,5.214391190E1,5.020246115E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.699670756E3,1.699670756E3
4.970955210E2,5.214467200E1,5.014040419E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
4.975766690E2,5.214498054E1,5.011859674E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
5.010656040E2,5.214874782E1,5.017757364E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.420305989E3,1.420305989E3
5.024903979E2,5.215116927E1,5.021454326E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.421367199E3,1.421367199E3
5.024988619E2,5.215270923E1,5.023746816E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.421367237E3,1.421367237E3
5.027668279E2,5.215367441E1,5.025194116E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.421405023E3,1.421405023E3
5.050200690E2,5.215426169E1,5.026153240E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.424050306E3,1.424050306E3
5.107114249E2,5.215460736E1,5.026840920E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.440573643E3,1.440573643E3
5.110367889E2,5.215487233E1,5.027144917E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.440628662E3,1.440628662E3
