"Time (s)","X (hPa)"
7.814249000E1,1.009137039E3
7.918287800E1,1.009085388E3
8.022342300E1,1.009045181E3
8.126402600E1,1.009011154E3
8.230474200E1,1.008978348E3
8.334523400E1,1.008947525E3
8.438590500E1,1.008913956E3
8.542652400E1,1.008900070E3
8.646709900E1,1.008900070E3
8.750757000E1,1.008922577E3
8.854777300E1,1.008951874E3
8.958821800E1,1.008981705E3
9.062903300E1,1.009005280E3
9.166906400E1,1.009023285E3
9.270953600E1,1.009030380E3
9.374979500E1,1.009039383E3
9.479022200E1,1.009047394E3
9.583051200E1,1.009047623E3
9.687062600E1,1.009048309E3
9.791097300E1,1.009052582E3
9.895141700E1,1.009053879E3
9.999146900E1,1.009055023E3
1.010316550E2,1.009062729E3
1.020722450E2,1.009064178E3
1.031124760E2,1.009064178E3
1.041524850E2,1.009056625E3
1.051928680E2,1.009041901E3
1.062326920E2,1.009029160E3
1.072728680E2,1.009013672E3
1.083127350E2,1.009008484E3
1.093530530E2,1.009004898E3
1.103929820E2,1.009002914E3
1.114329780E2,1.008994751E3
1.124729980E2,1.008983612E3
1.135128610E2,1.008970566E3
1.145529130E2,1.008967438E3
1.155925030E2,1.008967438E3
1.166325050E2,1.008975677E3
1.176724300E2,1.008984756E3
1.187127600E2,1.008997650E3
1.197522100E2,1.009004517E3
1.207919380E2,1.009004517E3
1.218317790E2,1.008998718E3
1.228717800E2,1.008995132E3
1.239113450E2,1.008991394E3
1.249513780E2,1.008988037E3
1.259915490E2,1.008986130E3
1.270313110E2,1.008983765E3
1.280712530E2,1.008974152E3
1.291111530E2,1.008964691E3
1.301512440E2,1.008962097E3
1.311911000E2,1.008958817E3
1.322313580E2,1.008955231E3
1.332713220E2,1.008952866E3
1.343118040E2,1.008946838E3
1.353516350E2,1.008939743E3
1.363915650E2,1.008932266E3
1.374320330E2,1.008926544E3
1.384718060E2,1.008924789E3
1.395122200E2,1.008922729E3
1.405514450E2,1.008918991E3
1.415915250E2,1.008912430E3
1.426317360E2,1.008908157E3
1.436714720E2,1.008906860E3
1.447117050E2,1.008906860E3
1.457518510E2,1.008916779E3
1.467920550E2,1.008934174E3
1.478324720E2,1.008948517E3
1.488731570E2,1.008959503E3
1.499135410E2,1.008961487E3
1.509543850E2,1.008961487E3
1.519947280E2,1.008956604E3
1.530350570E2,1.008952179E3
1.540756600E2,1.008945007E3
1.551162340E2,1.008941803E3
1.561567550E2,1.008941116E3
1.571973650E2,1.008939285E3
1.582381340E2,1.008934326E3
1.592792690E2,1.008934326E3
1.603200650E2,1.008940353E3
1.613606840E2,1.008952637E3
1.624013690E2,1.008960495E3
1.634421760E2,1.008971710E3
1.644831470E2,1.008975220E3
1.655237790E2,1.008975220E3
1.665645770E2,1.008969574E3
1.676052620E2,1.008961487E3
1.686460700E2,1.008960571E3
1.696867540E2,1.008960571E3
1.707276940E2,1.008963394E3
1.717685340E2,1.008968048E3
1.728091000E2,1.008980408E3
1.738500300E2,1.008986130E3
1.748905670E2,1.008986206E3
1.759315920E2,1.008986740E3
1.769721700E2,1.008986740E3
1.780129810E2,1.008986740E3
1.790536030E2,1.008980560E3
1.800942900E2,1.008972473E3
1.811350100E2,1.008962631E3
1.821758170E2,1.008954086E3
1.832170290E2,1.008948135E3
1.842574770E2,1.008948135E3
1.852981750E2,1.008954926E3
1.863390610E2,1.008965454E3
1.873800960E2,1.008973694E3
1.884207900E2,1.008973694E3
1.894617500E2,1.008972855E3
1.905029400E2,1.008968582E3
1.915439500E2,1.008966522E3
1.925851660E2,1.008965759E3
1.936265130E2,1.008965759E3
1.946677290E2,1.008966370E3
1.957087960E2,1.008966370E3
1.967500800E2,1.008959885E3
1.977917420E2,1.008944855E3
