"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.679160304E2,2.492616577E0,1.513352966E0,9.344318390E0
2.683164204E2,2.516267395E0,1.324445801E0,9.675429840E0
2.687168461E2,2.738854523E0,8.631051636E-1,9.402696991E0
2.691172981E2,2.816842346E0,1.217717743E0,1.038600220E1
2.695177918E2,2.553988953E0,1.386865997E0,9.327553253E0
2.699182438E2,2.624642029E0,1.261875916E0,9.989327087E0
2.703186648E2,2.364033966E0,1.171014862E0,9.193132782E0
2.707190699E2,2.411036224E0,9.635462952E-1,9.912985840E0
2.711194909E2,2.315684509E0,9.262738037E-1,9.380393372E0
2.715199326E2,2.473606110E0,1.375938721E0,9.501641235E0
2.719203536E2,2.597847748E0,9.602531433E-1,9.584868164E0
2.723207746E2,2.320025482E0,1.072519684E0,9.542356567E0
2.727212119E2,2.377206573E0,6.915618896E-1,9.693691864E0
2.731216629E2,2.249971161E0,7.863148499E-1,9.669142914E0
2.735221338E2,2.495610352E0,1.030008087E0,9.445507965E0
2.739225857E2,2.573598175E0,1.155297546E0,9.701625366E0
2.743230368E2,2.393971710E0,9.624984741E-1,9.717342682E0
2.747234596E2,2.301464081E0,9.424401855E-1,9.456584930E0
2.751239416E2,2.364483032E0,8.776249695E-1,9.758357391E0
2.755244261E2,2.103276215E0,1.087638245E0,9.486822052E0
2.759249081E2,2.319426727E0,9.035211182E-1,9.448501740E0
2.763253901E2,2.395618286E0,1.125060425E0,9.519454193E0
2.767258776E2,2.283651123E0,9.220825195E-1,9.443711700E0
2.771263296E2,2.400857391E0,7.779322815E-1,1.002180954E1
2.775268074E2,2.485132141E0,6.746470642E-1,9.652677155E0
2.779272584E2,2.376308441E0,1.003363495E0,9.518406372E0
2.783276494E2,2.850671997E0,1.017883301E0,9.171727295E0
2.787281051E2,2.648442535E0,9.261241150E-1,9.624385986E0
2.791285871E2,2.516566772E0,1.255738678E0,9.665400696E0
2.795290197E2,2.331850891E0,7.084767151E-1,9.088500366E0
2.799295017E2,2.712359619E0,9.373507690E-1,1.008033783E1
2.803299537E2,2.341131592E0,8.246351624E-1,9.581275635E0
2.807304121E2,2.317181396E0,1.094972992E0,1.006177643E1
2.811308941E2,2.372566223E0,1.059197388E0,9.360634460E0
2.815314211E2,2.418221283E0,1.293011169E0,9.221573639E0
2.819318731E2,2.418670349E0,9.961784363E-1,9.695937195E0
2.823323861E2,2.378553772E0,9.915380859E-1,9.468709717E0
2.827328803E2,2.511776733E0,1.274599457E0,9.569599915E0
2.831334233E2,2.246228943E0,1.016236725E0,9.415270844E0
2.835339079E2,2.617456970E0,1.055904236E0,9.646988983E0
2.839343599E2,2.486179962E0,1.080153809E0,9.651030579E0
2.843348119E2,2.396067352E0,1.146615601E0,9.612710266E0
2.847352443E2,2.350262604E0,1.155447235E0,9.295669556E0
2.851357263E2,2.458637238E0,1.140178986E0,9.561965790E0
2.855362098E2,2.425855408E0,1.084195404E0,9.432035980E0
2.859366618E2,2.460882568E0,9.505233765E-1,9.648785248E0
2.863371438E2,2.433339844E0,9.753717041E-1,9.589059448E0
2.867376318E2,2.512824554E0,1.133442993E0,9.712552643E0
2.871380838E2,2.573149109E0,1.186133423E0,9.714648285E0
2.875385770E2,2.348017273E0,1.333876190E0,9.481582947E0
2.879390590E2,2.056573334E0,1.110241241E0,9.144034882E0
2.883395410E2,2.472408600E0,1.093326416E0,9.638157349E0
2.887400346E2,2.431244202E0,1.177152100E0,9.048683167E0
2.891405166E2,2.487676849E0,1.131497040E0,9.532926178E0
2.895410052E2,2.374961243E0,9.401948547E-1,9.630822601E0
2.899414572E2,2.584226074E0,8.105644226E-1,9.035809937E0
2.903419392E2,2.621648254E0,9.701325989E-1,1.014530273E1
2.907424344E2,2.407443695E0,9.445358276E-1,9.626631317E0
2.911429774E2,2.546504517E0,1.120120697E0,9.617200928E0
2.915435110E2,2.232906647E0,1.027014313E0,9.781858521E0
2.919439940E2,2.451751556E0,9.807604980E-1,9.925260315E0
2.923445370E2,2.358794861E0,1.009201355E0,9.287137299E0
2.927451135E2,2.596500549E0,1.056652679E0,9.473050690E0
2.931455965E2,2.514770508E0,1.229692841E0,9.406738586E0
2.935461091E2,2.397863617E0,1.105600891E0,9.411378937E0
2.939465301E2,2.362986145E0,1.070424042E0,9.345366211E0
2.943469821E2,2.385589142E0,9.571096802E-1,9.391170959E0
2.947473956E2,2.443818054E0,9.583071899E-1,9.459878082E0
2.951478466E2,2.433339844E0,1.303339691E0,9.525890808E0
2.955483114E2,2.515668640E0,1.231189728E0,9.453441467E0
2.959487324E2,2.567760315E0,9.750723267E-1,9.564211121E0
2.963491534E2,2.468367004E0,9.292675781E-1,9.529932404E0
2.967495802E2,2.515219574E0,9.312135315E-1,9.834099884E0
2.971499703E2,2.549049225E0,1.159488831E0,9.677525482E0
2.975503757E2,2.552192688E0,1.359472961E0,9.526938629E0
2.979507657E2,2.443368988E0,9.873468018E-1,9.589508514E0
2.983511877E2,2.456840973E0,8.086184692E-1,9.716743927E0
2.987516191E2,2.265538788E0,8.385562134E-1,9.519454193E0
2.991520091E2,2.407593384E0,9.437873840E-1,9.668693848E0
2.995524532E2,2.476450195E0,1.105750580E0,9.488618317E0
2.999528742E2,2.524350586E0,1.030906219E0,1.001821701E1
3.003532952E2,2.476300507E0,7.897576904E-1,9.814939728E0
3.007537447E2,2.342927856E0,8.851094055E-1,9.552685089E0
3.011541667E2,2.436932373E0,6.620732117E-1,9.855804749E0
3.015545786E2,2.642604675E0,9.487271118E-1,1.003932312E1
3.019549686E2,2.465373230E0,1.362616425E0,9.158854065E0
3.023553896E2,2.876867523E0,1.010249176E0,1.009770172E1
3.027557624E2,2.305954742E0,1.104553070E0,9.442963257E0
3.031561834E2,2.566712494E0,1.045276337E0,9.789941711E0
3.035566164E2,2.472258911E0,1.252595215E0,9.189091187E0
3.039570374E2,2.434986420E0,1.318907318E0,9.455986176E0
3.043574584E2,2.494113464E0,1.357377319E0,9.564510498E0
3.047578914E2,2.529440002E0,9.759704590E-1,9.621392212E0
3.051583124E2,2.422562256E0,9.532177734E-1,9.567803650E0
3.055588048E2,2.425406342E0,9.488768005E-1,9.737850037E0
3.059591948E2,2.454296265E0,1.396895142E0,9.345216522E0
3.063596158E2,2.610870667E0,1.428180084E0,9.633966064E0
3.067600803E2,2.374512177E0,1.357826385E0,9.249864807E0
3.071604712E2,2.517464905E0,1.143921204E0,9.265731812E0
3.075608942E2,2.485281830E0,1.214574280E0,9.577832794E0
3.079613452E2,2.586172028E0,1.290466461E0,9.361233215E0
3.083617972E2,2.491718445E0,1.145867157E0,9.425599365E0
3.087622263E2,2.439926147E0,7.412585449E-1,9.843679962E0
3.091626472E2,2.393672333E0,7.782316589E-1,9.704020386E0
3.095631114E2,2.282453613E0,9.930349731E-1,9.153016205E0
3.099635634E2,2.605781250E0,1.252744904E0,9.464518433E0
3.103640144E2,2.255359955E0,1.319206696E0,9.313183136E0
3.107644191E2,2.688259735E0,9.939331055E-1,9.726324005E0
3.111648401E2,2.537373505E0,8.964857483E-1,9.897567902E0
3.115652777E2,2.430944824E0,1.065484314E0,1.002330643E1
3.119656987E2,2.005230103E0,8.901988220E-1,9.080117798E0
3.123661508E2,2.631527710E0,8.894503784E-1,9.960287476E0
3.127666885E2,2.372266846E0,1.291364594E0,9.256151733E0
3.131672015E2,2.614014130E0,1.403032379E0,9.726623383E0
3.135677525E2,2.521955566E0,1.037193146E0,9.730215912E0
3.139682655E2,2.310595093E0,9.334588623E-1,9.584419098E0
3.143688085E2,2.419119415E0,9.958790588E-1,9.547745361E0
3.147693314E2,2.435585175E0,1.013392639E0,9.584119720E0
3.151697524E2,2.634222107E0,1.135089569E0,9.563013611E0
3.155702072E2,2.540367279E0,1.109941864E0,9.505982208E0
3.159705973E2,2.574346619E0,1.191073151E0,9.343420258E0
3.163710182E2,2.319277039E0,1.062490540E0,9.422455902E0
3.167714471E2,2.287093964E0,1.072369995E0,9.534273376E0
3.171718981E2,2.442171478E0,1.069525909E0,9.485624542E0
