"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.973539563E1,5.863157501E0,-4.840334473E0,2.921175385E0
2.998615862E1,4.043242035E0,-7.733069000E0,7.018604736E0
3.023689062E1,7.754025421E0,-7.866591339E0,2.408042450E0
3.048760275E1,5.914500732E0,-5.914949799E0,1.899699554E0
3.073830475E1,3.567680969E0,-7.648195496E0,7.201075287E0
3.098906775E1,5.049000549E0,-8.032596130E0,9.068591766E0
3.123979975E1,5.494474182E0,-3.211421814E0,2.780318298E0
3.149054750E1,2.168241119E0,-6.696175232E0,6.445596313E0
3.174127950E1,7.214846649E0,-9.217532043E0,3.209326172E-1
3.199204250E1,4.678670654E0,-7.636519775E0,3.258424072E0
3.224277450E1,5.242847443E0,-8.514294434E0,2.907853088E0
3.249350025E1,7.347021790E0,-9.714648285E0,3.444187775E0
3.274423225E1,5.686524811E0,-4.240382080E0,2.625839539E0
3.299499525E1,4.415068817E0,-7.862998810E0,-4.134402466E-1
3.324572825E1,8.489895172E0,-1.193004135E1,-8.038284302E-1
3.349646954E1,7.124284973E0,-1.026774811E1,-4.000730438E0
3.374720154E1,4.016298065E0,-4.926255798E0,1.428329773E0
3.399793454E1,3.994293823E0,-5.878725128E0,3.095113678E0
3.424866654E1,3.320245514E0,-4.108506317E0,4.120631104E0
3.449941112E1,3.174149323E0,-4.093238068E0,-1.359023895E0
3.475014312E1,4.773573303E0,-6.542295227E0,-2.678979034E0
3.500087512E1,4.142186279E0,-1.173619446E1,-3.563938751E0
3.525160812E1,7.192992096E0,-1.888592651E1,-2.388732605E0
3.550233350E1,4.515060883E0,-6.661746826E0,6.848258972E-1
3.575306650E1,3.267555084E0,-8.704548798E0,2.665806427E0
3.600376850E1,3.418591003E0,-7.872429199E0,5.355113983E0
3.625450050E1,4.267176361E0,-9.453890533E0,-5.644761658E-1
3.650522612E1,1.030906219E0,-1.552706131E1,-2.189945984E0
3.675592812E1,1.765279083E0,-1.061233154E1,1.753753052E0
3.700666113E1,-3.176394653E-1,-7.388335876E0,-1.134790192E0
