"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.874370417E1,-1.380878448E0,-2.189945984E-1,9.936187592E0
9.899458917E1,-1.397493896E0,-2.757266235E-1,9.834848328E0
9.924549425E1,-1.233135681E0,-3.719764709E-1,9.832453308E0
9.949637925E1,-1.406774597E0,-9.535171509E-2,9.722581787E0
9.974726425E1,-1.261426849E0,-2.204914856E-1,1.005129822E1
9.999811825E1,-1.292262726E0,-1.639091492E-1,9.819729767E0
1.002489799E2,-1.190025330E0,-2.412982178E-1,9.606423340E0
1.004998649E2,-1.289119263E0,-1.784289551E-1,9.854307861E0
1.007507199E2,-1.349144440E0,1.869612122E-1,9.949060822E0
1.010015739E2,-1.224453735E0,-2.685415649E-1,9.834548950E0
1.012524725E2,-1.281634827E0,-1.098715210E-1,9.770781555E0
1.015033275E2,-1.320404205E0,-5.343887329E-2,9.634115753E0
1.017542425E2,-1.325942688E0,-1.797761536E-1,9.672885132E0
1.020051275E2,-1.316063232E0,-1.152603149E-1,1.001357666E1
1.022560258E2,-1.398392029E0,-1.751358032E-1,9.728120270E0
1.025069108E2,-1.322799225E0,8.307723999E-2,9.705367584E0
1.027577957E2,-1.220561829E0,3.248245239E-2,9.775571594E0
1.030086807E2,-1.438059540E0,9.550140381E-2,9.805659027E0
1.032595865E2,4.167333984E-1,-1.757345581E-1,1.152198990E1
1.035104405E2,-1.076112213E0,3.176244965E0,5.469925232E0
1.037613255E2,2.266287231E-1,4.251309357E0,9.756710815E0
1.040122105E2,-6.035449219E-1,6.208489380E0,6.832841034E0
1.042630955E2,-1.216969299E0,7.143894196E0,6.601571960E0
1.045139805E2,-1.163380737E0,7.101681976E0,6.905739441E0
1.047648355E2,-1.027613068E0,5.773943024E0,8.711584167E0
1.050156595E2,-4.355941772E-1,5.743107147E0,7.936645660E0
1.052665771E2,-2.228865051E-1,4.737348633E0,8.529263306E0
1.055174621E2,-2.430944824E-1,4.433181152E0,8.829089813E0
1.057683471E2,-2.148033142E-1,4.946613464E0,8.249345398E0
1.060192321E2,-3.323089600E-1,4.387825470E0,9.402846680E0
1.062700963E2,-2.610571289E-1,4.348756714E0,8.789571991E0
1.065209503E2,-1.935475159E-1,4.444108429E0,8.674910431E0
1.067718052E2,-2.233355713E-1,4.096231842E0,8.894653473E0
1.070226902E2,7.604187012E-2,3.550017700E0,8.883576508E0
1.072735557E2,-5.807922363E-2,3.818409576E0,8.810378723E0
1.075244407E2,3.522175598E-1,3.730691986E0,9.119485931E0
1.077752947E2,-1.162781982E0,5.671705627E0,8.138126678E0
1.080261497E2,-1.941762085E0,6.068380737E0,7.213349762E0
1.082770486E2,-2.994971924E0,7.311246185E0,8.239016876E0
1.085279026E2,-1.267414398E0,3.993096313E0,7.344926147E0
1.087787876E2,-1.179547119E0,5.049898682E0,5.254822540E0
1.090296726E2,-7.985893250E-1,2.931503906E0,1.128188919E1
1.092805997E2,-2.792592773E0,5.899232483E-1,6.062542877E0
1.095314847E2,-4.917873230E0,-1.587448883E0,1.268132904E1
1.097823697E2,-9.544152832E-1,-2.681523743E0,7.077282715E0
1.100332547E2,-2.152523804E-1,-2.880759430E0,1.568243820E1
1.102841277E2,-2.766247559E-1,-3.179238739E0,6.627168732E0
1.105350437E2,-5.512287140E0,-7.034621429E0,1.045096710E1
1.107859287E2,-1.915865936E0,-1.784738617E0,5.996230774E0
1.110368437E2,-1.828298035E0,-3.674858093E-1,1.148771118E1
1.112877665E2,2.843636627E0,-1.499880981E-1,6.417305145E0
1.115386515E2,-1.006956024E0,1.388512573E0,1.139804764E1
1.117895365E2,4.610412598E-1,-1.839225311E0,6.630162506E0
1.120404515E2,-2.111658783E0,1.279838562E0,9.468260651E0
1.122913192E2,4.369713135E0,-1.397344208E0,6.052364044E0
1.125422042E2,-4.652325439E-1,1.284778290E0,1.025382706E1
1.127930893E2,1.463207245E0,-5.265749817E0,7.574398956E0
1.130439743E2,-6.505471802E-1,4.990621948E-1,7.700736237E0
1.132948767E2,1.406325531E0,-3.607498169E0,1.014365616E1
1.135457617E2,-7.879614258E-1,6.447093201E-1,7.528145142E0
1.137966467E2,-1.694176941E0,-5.785918121E0,1.367406464E1
