"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.568443109E2,1.607424927E1,2.693092346E0,-4.319207764E1
2.570939139E2,1.317483521E1,9.188148499E0,-4.322344971E1
2.573435010E2,1.548648071E1,7.267112732E0,-4.286480713E1
2.575931050E2,1.862866211E1,9.758186340E0,-4.129193115E1
2.578427080E2,1.553021240E1,8.059089661E0,-4.277545166E1
2.580923110E2,1.458659363E1,8.944007874E0,-4.267108154E1
2.583419264E2,1.560971069E1,8.103889465E0,-4.270697021E1
2.585915304E2,9.916763306E0,8.459465027E0,-4.376007080E1
2.588411334E2,1.286546326E1,4.569694519E0,-4.371624756E1
2.590907364E2,1.452445984E1,4.402580261E0,-4.328143311E1
2.593403369E2,1.409556580E1,6.955360413E0,-4.363458252E1
2.595899399E2,1.456491089E1,7.328636169E0,-4.308850098E1
2.598395429E2,1.737284851E1,6.348884583E0,-4.259515381E1
2.600891459E2,1.563377380E1,4.869041443E0,-4.306787109E1
2.603387451E2,1.652680969E1,5.115211487E0,-4.298889160E1
2.605883481E2,1.771055603E1,4.597755432E0,-4.215295410E1
2.608379511E2,2.078906250E1,3.675544739E0,-4.127813721E1
2.610875541E2,1.758512878E1,8.067726135E0,-4.236859131E1
2.613371663E2,2.186926270E1,1.173509979E1,-3.948754883E1
2.615867693E2,2.091670227E1,4.882392883E0,-4.141119385E1
2.618363723E2,2.750605774E1,1.218160248E1,-3.600280762E1
2.620859763E2,2.135787964E1,6.721611023E0,-4.075048828E1
2.623355896E2,1.712858582E1,1.127999115E1,-4.147564697E1
2.625851926E2,1.883595276E1,5.962135315E0,-4.164306641E1
2.628347956E2,2.305873108E1,4.578697205E0,-3.947656250E1
2.630843996E2,2.021296692E1,2.372428894E0,-4.073992920E1
2.633339839E2,1.668627930E1,6.526588440E0,-4.144976807E1
2.635835869E2,1.167314148E1,7.017311096E0,-4.220880127E1
2.638331899E2,1.838319397E1,8.221687317E0,-3.980523682E1
2.640827939E2,1.843496704E1,4.356376648E0,-3.992828369E1
2.643323998E2,1.789210510E1,4.451133728E0,-4.014031982E1
2.645820028E2,1.576037598E1,4.913673401E0,-4.013793945E1
2.648316068E2,1.646278381E1,5.509239197E0,-4.003137207E1
2.650812098E2,1.740657043E1,3.870628357E0,-3.927233887E1
2.653308377E2,1.712472534E1,5.771751404E0,-3.936273193E1
2.655804408E2,1.313931274E1,8.010734558E0,-4.009619141E1
2.658300448E2,1.738597107E1,8.275886536E0,-3.912371826E1
2.660796478E2,1.896290588E1,4.885612488E0,-3.818280029E1
2.663292283E2,1.958018494E1,1.828483582E0,-3.831024170E1
2.665788313E2,1.996110535E1,3.251121521E0,-3.815960693E1
2.668284353E2,1.963070679E1,2.384956360E0,-3.791735840E1
2.670780383E2,2.162190247E1,4.235771179E0,-3.700177002E1
2.673276619E2,1.657688904E1,4.898643494E0,-3.910272217E1
2.675772959E2,1.805972290E1,1.244861603E1,-3.697760010E1
