,Time (s),X (µT),Y (µT),Z (µT)
310,1.55965327736e+18,-32.09327698,-1.406005859,-24.69104004
311,1.55965327761e+18,-31.78720093,-1.305725098,-24.6875
312,1.55965327786e+18,-32.11541748,-1.36857605,-24.78027344
313,1.55965327811e+18,-32.66362,-1.316085815,-24.7623291
314,1.55965327836e+18,-31.97888184,-1.222183228,-24.78289795
315,1.55965327861e+18,-32.16870117,-1.574066162,-24.60656738
316,1.55965327886e+18,-32.13223267,-1.415893555,-24.5916748
317,1.55965327911e+18,-31.94842529,-1.596984863,-24.82531738
318,1.55965327936e+18,-32.15533447,-1.465820312,-24.62255859
319,1.55965327961e+18,-32.12315369,-1.237991333,-24.94689941
320,1.55965327986e+18,-31.85202026,-1.258300781,-24.80645752
321,1.55965328011e+18,-31.91030884,-1.138397217,-24.76098633
322,1.55965328036e+18,-31.89585876,-1.054367065,-24.54144287
323,1.55965328061e+18,-32.10362244,-1.565490723,-24.78265381
324,1.55965328086e+18,-32.06547546,-1.148696899,-24.74609375
325,1.55965328111e+18,-31.93008423,-1.41998291,-24.68225098
326,1.55965328136e+18,-32.19818115,-1.032485962,-24.71728516
327,1.55965328161e+18,-32.2830658,-1.504776001,-24.61694336
328,1.55965328186e+18,-32.25065613,-1.364486694,-24.71508789
329,1.55965328211e+18,-32.16650391,-1.280929565,-24.62353516
330,1.55965328236e+18,-32.37507629,-1.407012939,-24.53491211
331,1.5596532826e+18,-32.07505798,-1.245285034,-24.76080322
332,1.55965328285e+18,-32.20887756,-1.441513062,-24.84619141
333,1.5596532831e+18,-32.0569458,-1.308868408,-24.60205078
334,1.55965328335e+18,-32.1913147,-1.185043335,-24.75292969
335,1.5596532836e+18,-32.33631897,-1.373840332,-24.64434814
336,1.55965328385e+18,-31.92579651,-1.492218018,-24.60949707
337,1.5596532841e+18,-32.22958374,-1.542602539,-24.47271729
338,1.55965328435e+18,-32.82121277,-1.410644531,-24.47387695
339,1.5596532846e+18,-31.85604858,-1.705444336,-24.60858154
340,1.55965328485e+18,-31.90324402,-1.345657349,-24.92279053
341,1.5596532851e+18,-31.91419983,-1.342666626,-24.62701416
342,1.55965328535e+18,-32.2849884,-1.590499878,-24.79827881
343,1.5596532856e+18,-32.0005188,-1.256912231,-24.55761719
344,1.55965328585e+18,-31.8697052,-1.386459351,-24.56384277
345,1.5596532861e+18,-32.07315063,-1.205657959,-24.81896973
346,1.55965328635e+18,-32.0546875,-1.299758911,-24.69116211
347,1.5596532866e+18,-32.38378906,-0.9440765381,-24.6229248
348,1.55965328685e+18,-32.17999268,-1.184036255,-24.85144043
349,1.5596532871e+18,-31.97105408,-1.212615967,-24.53613281
350,1.55965328735e+18,-31.88368225,-1.369155884,-24.59777832
351,1.5596532876e+18,-32.03875732,-1.366241455,-24.45617676
352,1.55965328785e+18,-32.14021301,-1.318893433,-24.52502441
353,1.5596532881e+18,-32.09838867,-1.426040649,-24.54156494
354,1.55965328834e+18,-32.32473755,-1.403762817,-24.55255127
355,1.55965328859e+18,-32.20776367,-1.007858276,-24.55609131
356,1.55965328884e+18,-32.23603821,-1.089584351,-24.71923828
357,1.55965328909e+18,-31.85945129,-1.466171265,-24.87280273
358,1.55965328934e+18,-32.12895203,-1.501586914,-24.68798828
359,1.55965328959e+18,-31.88598633,-1.194335938,-24.61627197
360,1.55965328984e+18,-33.65113831,-1.360061646,-24.70556641
361,1.55965329009e+18,-32.03445435,-1.579467773,-24.75854492
362,1.55965329034e+18,-31.64505005,-1.34487915,-24.74450684
363,1.55965329059e+18,-32.14100647,-1.132415771,-24.81506348
364,1.55965329084e+18,-32.25784302,-1.315368652,-24.54516602
365,1.55965329109e+18,-32.08761597,-1.163192749,-24.7331543
366,1.55965329134e+18,-32.31948853,-1.564559937,-24.58782959
367,1.55965329159e+18,-32.51602173,-0.8723144531,-24.72125244
368,1.55965329184e+18,-32.36038208,-1.12322998,-24.37963867
369,1.55965329209e+18,-32.67488098,-1.342529297,-24.69592285
370,1.55965329234e+18,-32.63745117,-0.9719543457,-24.61132812
371,1.55965329259e+18,-32.30941772,-1.310394287,-24.93823242
372,1.55965329284e+18,-32.00889587,-0.8924102783,-24.64599609
373,1.55965329309e+18,-31.92930603,-1.196502686,-24.58282471
374,1.55965329334e+18,-32.33444214,-1.181365967,-24.54827881
375,1.55965329359e+18,-31.85580444,-1.667282104,-24.91748047
376,1.55965329384e+18,-32.5697937,-0.64503479,-24.53198242
377,1.55965329408e+18,-32.50378418,-1.112228394,-24.75097656
378,1.55965329433e+18,-32.21116638,-0.9000091553,-24.71826172
379,1.55965329458e+18,-32.16226196,-1.090682983,-24.54064941
380,1.55965329483e+18,-32.43173218,-0.8559265137,-24.59338379
381,1.55965329508e+18,-32.0630188,-1.185394287,-24.22814941
382,1.55965329533e+18,-31.86178589,-1.202590942,-24.61560059
383,1.55965329558e+18,-32.12840271,-0.8560180664,-24.63793945
384,1.55965329583e+18,-31.89401245,-1.276107788,-24.58172607
385,1.55965329608e+18,-31.91932678,-1.365036011,-24.56500244
386,1.55965329633e+18,-32.13192749,-1.322875977,-24.65332031
387,1.55965329658e+18,-32.36946106,-1.01449585,-24.6920166
388,1.55965329683e+18,-31.92193604,-0.7185821533,-24.63574219
389,1.55965329708e+18,-32.07943726,-1.347198486,-24.44677734
390,1.55965329733e+18,-32.12213135,-1.344146729,-24.78704834
391,1.55965329758e+18,-32.37542725,-1.203903198,-24.83789062
392,1.55965329783e+18,-32.41638184,-1.14112854,-24.54345703
393,1.55965329808e+18,-31.89689636,-1.351409912,-24.76013184
394,1.55965329833e+18,-32.14268494,-1.107955933,-24.75439453
395,1.55965329858e+18,-31.90948486,-1.342315674,-24.61816406
