,Time (s),X (µT),Y (µT),Z (µT)
676,1.55965372473e+18,17.72253418,9.231910706,-41.7557373
677,1.55965372498e+18,15.86682129,10.94071198,-41.86993408
678,1.55965372523e+18,11.07913208,10.75576019,-43.19049072
679,1.55965372548e+18,14.9256134,10.7110672,-41.91381836
680,1.55965372573e+18,17.19801331,2.932167053,-42.003479
681,1.55965372598e+18,11.55622864,3.020225525,-43.46124268
682,1.55965372623e+18,8.710388184,4.635353088,-43.47125244
683,1.55965372648e+18,11.09535217,4.810279846,-43.08807373
684,1.55965372673e+18,13.54469299,5.897636414,-42.25189209
685,1.55965372698e+18,5.411239624,6.868583679,-43.39593506
686,1.55965372723e+18,-0.875289917,1.529624939,-43.72412109
687,1.55965372748e+18,4.817932129,2.658561707,-43.48571777
688,1.55965372773e+18,9.444381714,2.677253723,-42.02026367
689,1.55965372798e+18,10.93409729,4.130470276,-41.51818848
690,1.55965372823e+18,7.880218506,3.501548767,-42.13494873
691,1.55965372848e+18,5.649353027,7.4220047,-42.6395874
692,1.55965372873e+18,8.668746948,7.045188904,-42.64013672
693,1.55965372898e+18,9.603530884,4.607444763,-43.4440918
694,1.55965372923e+18,10.68788147,3.828666687,-43.15765381
695,1.55965372947e+18,9.208190918,5.780677795,-43.82550049
696,1.55965372972e+18,12.38851929,5.382789612,-42.9286499
697,1.55965372997e+18,12.57267761,4.828681946,-43.25848389
698,1.55965373022e+18,11.32858276,4.956687927,-43.46636963
699,1.55965373047e+18,10.92675781,5.126365662,-43.7824707
700,1.55965373072e+18,14.73200989,2.261253357,-43.25604248
701,1.55965373097e+18,13.99832153,2.736839294,-43.39453125
702,1.55965373122e+18,9.105926514,2.626106262,-44.80963135
703,1.55965373147e+18,10.74084473,2.796485901,-44.01196289
704,1.55965373172e+18,11.2689209,3.605110168,-43.95770264
705,1.55965373197e+18,12.6817627,4.796607971,-43.66473389
706,1.55965373222e+18,11.43885803,4.496589661,-43.92932129
707,1.55965373247e+18,7.25138855,7.166236877,-44.20776367
708,1.55965373272e+18,6.623458862,4.235786438,-44.17919922
709,1.55965373297e+18,10.88024902,2.983909607,-44.06933594
710,1.55965373322e+18,13.97439575,-0.4258956909,-43.2689209
711,1.55965373347e+18,17.96517944,1.947059631,-41.80841064
712,1.55965373372e+18,20.51080322,4.09563446,-40.96850586
713,1.55965373397e+18,19.69935608,1.217674255,-41.50402832
714,1.55965373422e+18,20.30891418,2.834861755,-40.58538818
715,1.55965373447e+18,17.59225464,1.809959412,-42.23931885
716,1.55965373472e+18,16.1638031,3.176048279,-42.86724854
717,1.55965373497e+18,15.51329041,-1.413581848,-42.7053833
