,acc_X (m/s^2),acc_Y (m/s^2),acc_Z (m/s^2),bar_X (hPa),gyr_X (rad/s),gyr_Y (rad/s),gyr_Z (rad/s),mag_X (muT),mag_Y (muT),mag_Z (muT),loc_Latitude (degree),loc_Longitude (degree),loc_Height (m),loc_Velocity (m/s),loc_Direction (degree),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (degree),labelNothing,labelWalking,labelClimbingstairs,labelBiking,labelTrain,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6
2019-06-04 13:00:06.500,-0.0840658782479,-0.0613667407082,9.85677515708,1010.1158294,0.000649921732438,-0.000237926620306,0.000553074011842,-31.9392481932,-1.4129948633,-24.8182747112,52.3345425008,4.867495823,-3.11763513058,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390986497551,-0.332627130454,-0.280762349821,-0.271325079637,-0.0558891392863,0.0931730194255
2019-06-04 13:00:06.750,-0.0666031329824,-0.0572566806945,9.83997004316,1010.1149596,9.71518077745e-05,-0.0010217846859,0.00164994308563,-31.8584673313,-1.59160148555,-24.7365028043,52.33454222,4.867495544,-3.118359327,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390790874317,-0.332458590538,-0.280830922148,-0.270610630277,-0.0561009700647,0.0935321764345
2019-06-04 13:00:07.000,-0.0663208674314,-0.060703658836,9.85151561296,1010.1140898,-0.000894148731062,-0.000289595733132,0.000740190447403,-31.8649991493,-1.46246628721,-24.9430854261,52.3345421857,4.8674955099,-3.11839243142,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.39105909216,-0.332688942842,-0.280754900605,-0.270934032868,-0.0557171345391,0.0929953541731
2019-06-04 13:00:07.250,-0.0712667534332,-0.0632320416656,9.86104888442,1010.11322,0.00176323546628,0.000405093511531,-0.000888474034419,-31.9917738632,-1.22135855234,-24.9696364266,52.3345421513,4.8674954758,-3.11842553583,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391199264304,-0.33261966322,-0.280982196717,-0.271117373569,-0.0554285061692,0.0929582461673
2019-06-04 13:00:07.500,-0.0736043681507,-0.0608080326227,9.86224848912,1010.113449,0.00149261070958,-6.29061968018e-05,-0.000691453401127,-31.9710301944,-1.44748555053,-24.7811278436,52.334542117,4.8674954417,-3.11845864025,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390906058507,-0.332591550309,-0.280906999725,-0.270932090656,-0.0559393274532,0.0934956773021
2019-06-04 13:00:07.750,-0.0802534790772,-0.0556674421407,9.87120970342,1010.113678,-0.000387436246269,-0.00111199375947,-0.000100500156736,-32.0904968612,-1.42180655518,-24.7048480994,52.3345420827,4.8674954076,-3.11849174467,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390886576738,-0.332654069549,-0.280982566012,-0.271012142681,-0.0561745916784,0.0939172030988
2019-06-04 13:00:08.000,-0.0819963690539,-0.0489036707087,9.8704276185,1010.113907,0.000823266093304,-0.001325868751,0.000273112283481,-32.0921041405,-1.15629637556,-24.7353301475,52.3345420483,4.8674953735,-3.11852484908,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.39099109711,-0.332479496445,-0.28108672702,-0.271227211425,-0.055736438659,0.0934910159282
2019-06-04 13:00:08.250,-0.0774574432124,-0.0482534655923,9.86046669033,1010.114136,0.000553258915789,-0.0011240675317,0.000752363226397,-31.8723054088,-1.28605740562,-24.9364202255,52.334542014,4.8674953394,-3.1185579535,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.39109732726,-0.332680830527,-0.280667279793,-0.271399405475,-0.0555332940699,0.0926761470369
2019-06-04 13:00:08.500,-0.0716901945054,-0.0561788293127,9.85946459052,1010.114136,-2.14939971712e-05,-0.00153607385513,0.000798630438126,-32.0058351519,-1.23889835399,-25.1314472553,52.3345419797,4.8674953053,-3.11859105792,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391416820237,-0.332936693376,-0.280758142434,-0.271343486302,-0.0555162470373,0.0928448563984
2019-06-04 13:00:08.750,-0.068889500929,-0.059780866532,9.85664191686,1010.114136,0.00127857580322,-0.00147066980873,0.000483955063557,-32.0948581237,-1.19673295121,-24.9112036226,52.3345419453,4.8674952712,-3.11862416233,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391200109926,-0.332580318529,-0.281131730223,-0.270947473597,-0.055651875068,0.0934660894474
2019-06-04 13:00:09.000,-0.0734543198709,-0.0547273675218,9.85164153201,1010.114136,0.00068167673708,-0.00125860327307,-0.00027507869417,-31.9546613328,-1.4789773925,-24.6731398284,52.334541911,4.8674952371,-3.11865726675,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390776065985,-0.332419020469,-0.280966121349,-0.270741389444,-0.0560748264707,0.0937078418803
2019-06-04 13:00:09.250,-0.0696669961907,-0.0563970649991,9.85796743961,1010.114136,0.000200419753157,-0.000706156139833,-0.000288032544631,-31.9124017824,-1.39055821991,-24.8681157727,52.3345418767,4.867495203,-3.11869037117,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391002976643,-0.332628425533,-0.280823061485,-0.271025790462,-0.0557515581492,0.0931593436464
2019-06-04 13:00:09.500,-0.0600665470463,-0.0601947543124,9.86465188725,1010.11369725,0.000307284296932,0.000878312626829,0.00083526095617,-31.7387585512,-1.30567731991,-25.0645657192,52.3345418423,4.8674951689,-3.11872347558,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.39114583007,-0.33273014957,-0.280616016571,-0.271290904066,-0.05518515962,0.0921826142882
2019-06-04 13:00:09.750,-0.0645610766333,-0.0488427223904,9.86443447568,1010.1132585,-0.00112976864083,0.000741597230732,-5.77255385164e-05,-31.8435643668,-1.4668735569,-24.9459545607,52.334541808,4.8674951348,-3.11875658,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391028988794,-0.332837891826,-0.280601838292,-0.271048492384,-0.0557723794006,0.092949651035
2019-06-04 13:00:10.000,-0.0627520992883,-0.0396105752317,9.8573391878,1010.11281975,-0.000664174438783,-0.000389750080139,-0.00216057794718,-32.1233958726,-1.3215523814,-24.8404772759,52.3345417737,4.8674951007,-3.11878968442,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391093648229,-0.332687648546,-0.281054597855,-0.270572153007,-0.0560609709434,0.0939835217597
2019-06-04 13:00:10.250,-0.0527433954466,-0.0439004031483,9.84500013875,1010.112381,0.000729130573798,-0.00030313560998,-0.0016815173285,-31.9153494336,-1.2904060621,-24.9617391302,52.3345417393,4.8674950666,-3.11882278883,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391130799681,-0.332542761956,-0.280941071026,-0.270526697027,-0.0555489182665,0.0931397697653
2019-06-04 13:00:10.500,-0.0637826829164,-0.0462352163425,9.84808347633,1010.1123352,-0.000175750149516,-0.000201631355962,8.47675826079e-05,-31.9829333035,-1.48360785889,-24.9213786665,52.334541705,4.8674950325,-3.11885589325,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.39108182481,-0.332748116223,-0.28083707623,-0.270587809612,-0.0560007704152,0.0935470367851
2019-06-04 13:00:10.750,-0.0709685350038,-0.0499614791466,9.8583429417,1010.1122894,-0.000846495488351,0.00120764637162,0.00064383523041,-32.2490639312,-1.50182077196,-24.6284668106,52.3345416707,4.8674949984,-3.11888899767,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390858956914,-0.332583568559,-0.28129255752,-0.270254835987,-0.0565498140935,0.0948036824812
2019-06-04 13:00:11.000,-0.0566326540519,-0.0581925161363,9.85459131194,1010.1122436,6.52932077555e-05,0.00199774436003,0.000222312268427,-31.981293323,-1.47753305136,-24.6891912335,52.3345416363,4.8674949643,-3.11892210208,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390774476218,-0.332377279494,-0.28117832728,-0.270240800877,-0.0559784182467,0.0938844657207
2019-06-04 13:00:11.250,-0.0575273095448,-0.0625255432907,9.85852708108,1010.1121978,0.000373585440142,-0.000216286558904,0.000408038698127,-31.9344111277,-1.36432087429,-24.9296236055,52.334541602,4.8674949302,-3.1189552065,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391063170386,-0.332596410328,-0.280993986877,-0.270675982801,-0.0555790344123,0.0931892086959
2019-06-04 13:00:11.500,-0.0690395876186,-0.0610202987527,9.86638489496,1010.112152,-0.000967147619941,0.000278456504328,0.00109263905192,-32.1242912174,-1.22173602016,-24.7410701561,52.3345415677,4.8674948961,-3.11898831092,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390973700534,-0.332393337545,-0.281360277375,-0.270661414982,-0.0556840891407,0.0937406865388
2019-06-04 13:00:11.750,-0.0647154852763,-0.0448828508938,9.85754317243,1010.11192325,-0.000933373877283,0.00238253620313,3.79989971259e-05,-32.0306276903,-1.19946545213,-24.5762090176,52.3345415333,4.867494862,-3.11902141533,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.39073502795,-0.332073704752,-0.281407251769,-0.270372592479,-0.0556498136039,0.0937166148281
2019-06-04 13:00:12.000,-0.0662325373222,-0.0284427311231,9.85804828645,1010.1116945,0.000784926100739,0.000973611446934,-0.000792093188714,-32.0323988248,-1.24305350829,-24.7543170726,52.334541499,4.8674948279,-3.11905451975,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390948361665,-0.332471968488,-0.281029368039,-0.27063110855,-0.0558344373069,0.0936115533313
2019-06-04 13:00:12.250,-0.0766839149688,-0.0372663325982,9.87046040623,1010.11146575,0.000464641236143,0.000409119428885,0.000253207604442,-32.0654534603,-1.4073040209,-24.8061387324,52.3345414647,4.8674947938,-3.11908762417,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.39098310582,-0.332799620447,-0.280827036796,-0.270938325714,-0.0561093394426,0.0937055875065
2019-06-04 13:00:12.500,-0.0664159322755,-0.0479952763603,9.87328111236,1010.111237,4.53759413921e-05,0.00117445281646,1.71780971123e-06,-31.9332072108,-1.37868685708,-24.6988000002,52.3345414303,4.8674947597,-3.11912072858,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390763207355,-0.332471848966,-0.280980047372,-0.270744329055,-0.0557849946604,0.0934229281559
2019-06-04 13:00:12.750,-0.0544695153461,-0.0480042424726,9.87136523709,1010.110741,-0.000844510481006,0.000108108708644,-0.000153166473693,-31.8861679228,-1.1965408548,-24.7455529082,52.334541396,4.8674947256,-3.119153833,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390822616964,-0.332277282113,-0.281140105474,-0.270601529434,-0.0553299214375,0.0930694462338
2019-06-04 13:00:13.000,-0.0683335610307,-0.0572092973623,9.86309000392,1010.110245,-0.00353745040611,0.000267470082608,0.00100231517243,-32.0771683931,-1.32719720332,-24.8842338861,52.3345413617,4.8674946915,-3.11918693742,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391092144107,-0.332609192461,-0.281184614951,-0.270582591338,-0.0556504094167,0.0934776116559
2019-06-04 13:00:13.250,-0.0773590236846,-0.0547880634352,9.85758839256,1010.109749,-0.000805512770611,0.000966736189666,-3.23260127143e-05,-32.1791143039,-1.35107967996,-24.8358414552,52.3345413273,4.8674946574,-3.11922004183,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391092431262,-0.332593301973,-0.281256632839,-0.270522225528,-0.0558768776826,0.0938519923923
2019-06-04 13:00:13.500,-0.0676422748068,-0.0337119671005,9.86526777939,1010.109253,0.00245613942813,-0.000344487908249,-0.000804397785983,-31.8100934451,-1.1303434284,-24.7353952993,52.334541293,4.8674946233,-3.11925314625,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390790211451,-0.332157348125,-0.280981838192,-0.270836490311,-0.0551411612393,0.0925951478191
2019-06-04 13:00:13.750,-0.0658360440935,-0.0314220209825,9.86409887767,1010.10828025,-0.00211916561079,0.000117211277457,0.000666754990126,-31.6558501433,-1.22958003655,-24.8667991593,52.3345412587,4.8674945892,-3.11928625067,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390843939665,-0.33231851406,-0.28072212626,-0.270903291988,-0.0549359493912,0.0919462074062
2019-06-04 13:00:14.000,-0.0666135743131,-0.0377794358849,9.85994063397,1010.1073075,-0.00279370011552,0.00229367673519,0.000127712693067,-31.9701193913,-1.37834333744,-24.8085713797,52.3345412243,4.8674945551,-3.11931935508,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390911525485,-0.332473910222,-0.281077257604,-0.270304850293,-0.05561658318,0.0932942742636
2019-06-04 13:00:14.250,-0.0585453622886,-0.0334669839128,9.8672584899,1010.10633475,0.00229578097222,0.00140946911145,-0.00107752413948,-31.9427137167,-1.23424339197,-24.5070507473,52.33454119,4.867494521,-3.1193524595,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390522174804,-0.331922916004,-0.28137937839,-0.270005369025,-0.055515065934,0.093590276129
2019-06-04 13:00:14.500,-0.0582158855507,-0.0412123792101,9.86656243771,1010.105362,0.00148087519279,-0.000658622329258,0.000264928668406,-31.7563254187,-1.24645866262,-24.7092282189,52.3345411557,4.8674944869,-3.11938556392,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.390653401106,-0.33203285132,-0.281108282557,-0.270304121527,-0.0550417249228,0.0926040156146
