"Time (s)","Pressure (hPa)"
8.929206983E1,1.022321045E3
8.939205803E1,1.022321045E3
8.949204623E1,1.022316895E3
8.959203443E1,1.022293701E3
8.969202263E1,1.022348145E3
8.979201086E1,1.022328369E3
8.989199903E1,1.022311279E3
8.999198719E1,1.022356445E3
9.009197519E1,1.022402344E3
9.019196306E1,1.022367920E3
9.029195096E1,1.022312744E3
9.039193896E1,1.022294922E3
9.049192699E1,1.022289062E3
9.059191499E1,1.022305908E3
9.069190299E1,1.022321045E3
9.079189103E1,1.022314209E3
9.089187903E1,1.022328613E3
9.099186699E1,1.022337158E3
9.109185496E1,1.022345703E3
9.119184282E1,1.022352051E3
9.129183069E1,1.022375977E3
9.139181879E1,1.022381348E3
9.149180706E1,1.022372803E3
9.159179529E1,1.022361328E3
9.169178352E1,1.022338867E3
9.179177175E1,1.022328857E3
9.189175999E1,1.022098145E3
9.199174819E1,1.022173584E3
9.209173639E1,1.022205811E3
9.219172459E1,1.022251953E3
9.229171249E1,1.022303467E3
9.239170039E1,1.022331055E3
9.249168852E1,1.022364258E3
9.259167675E1,1.022313477E3
9.269166499E1,1.022261475E3
9.279165319E1,1.022249756E3
9.289164139E1,1.022286377E3
9.299162962E1,1.022330566E3
9.309161785E1,1.022353027E3
9.319160605E1,1.022332764E3
9.329159422E1,1.022363281E3
9.339158232E1,1.022356201E3
9.349157042E1,1.022361084E3
9.359155865E1,1.022353027E3
9.369154688E1,1.022351807E3
9.379153508E1,1.022358154E3
9.389152328E1,1.022354736E3
9.399151152E1,1.022331299E3
9.409149975E1,1.022309082E3
9.419148795E1,1.022345703E3
9.429147615E1,1.022338379E3
9.439146415E1,1.022302979E3
9.449145202E1,1.022226562E3
9.459144002E1,1.022118652E3
9.469142822E1,1.022175049E3
9.479141638E1,1.022204590E3
9.489140455E1,1.022276123E3
9.499139271E1,1.022351074E3
9.509138091E1,1.022372803E3
9.519136911E1,1.022340332E3
9.529135728E1,1.022294922E3
9.539134545E1,1.022271484E3
9.549133341E1,1.022267090E3
9.559132128E1,1.022298096E3
9.569130921E1,1.022328613E3
9.579129721E1,1.022320801E3
9.589128521E1,1.022309326E3
9.599127318E1,1.022299316E3
9.609126114E1,1.022307373E3
9.619124914E1,1.022309326E3
9.629119716E1,1.022309570E3
9.639118513E1,1.022318115E3
9.649117309E1,1.022333984E3
9.659116096E1,1.022350098E3
9.669114882E1,1.022372559E3
9.679113699E1,1.022337158E3
9.689112522E1,1.022343018E3
9.699111342E1,1.022370361E3
9.709110162E1,1.022402100E3
9.719108986E1,1.022385254E3
9.729107809E1,1.022406738E3
9.739106629E1,1.022354004E3
9.749105449E1,1.022371826E3
9.759104259E1,1.022418457E3
9.769103049E1,1.022456299E3
9.779101839E1,1.022382324E3
9.789100666E1,1.022351807E3
9.799099489E1,1.022323975E3
9.809098309E1,1.022308350E3
9.819097129E1,1.022327637E3
9.829095952E1,1.022342773E3
9.839094775E1,1.022376709E3
9.849093595E1,1.022361328E3
9.859092415E1,1.022342529E3
9.869091229E1,1.022335449E3
9.879090039E1,1.022327881E3
9.889088849E1,1.022328857E3
9.899087672E1,1.022335449E3
9.909086495E1,1.022357910E3
9.919085315E1,1.022356934E3
9.929084135E1,1.022350098E3
9.939082959E1,1.022335693E3
9.949081782E1,1.022334961E3
9.959080602E1,1.022218994E3
9.969079422E1,1.022300049E3
9.979078215E1,1.022289062E3
